Depth,Radiocarbon years BP,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Artemisia,Asteraceae,Betula,Brassicaceae,Callitriche,Carpinus,Caryophyllaceae,Centaurea,Centaurea cyanus,Chenopodium,Cistaceae,Consolida,Corylus,Corylus-type,Cyperaceae,Ericaceae,Fabaceae,Fagus,Fraxinus ornus,Jasione,Juniperus,Lamiaceae,Myriophyllum,Nuphar,Nymphaea,Olea,Ostrya,Phillyrea,Pinus,Pistacia,Plantago,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum,Potamogeton,Quercus,Quercus coccifera,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sarcopoterium,Sparganium,Taxus,Thalictrum,Tilia,Typha,Ulmus,Utricularia,Vitis,cf. Cannabaceae,cf. Cirsium,cf. Hottonia,cf. Liliaceae,cf. Primulaceae,cf. Rhamnaceae,cf. Scrophulariaceae,cf. Solanaceae,cf. Urtica
75,--/1594/--,2435/2089/1738,,,,,4,10,,,,,1,1,,,,,,,57,,,,,,,,12,,9,28,,,9,,1,,71,,,,14,9,,,2,,,,49,,,,,,,,,,,,,,,,
81,--/1749/--,2589/2256/1915,4,,,1,4,6,,3,4,5,,,,2,,,1,,21,2,1,,7,,,,46,,1,17,,,19,,,,13,,,,6,10,,,1,,,,87,,,,1,,,,,,,,,,,,
87,--/1904/--,2744/2423/2093,2,,,,2,25,,3,,,,,,3,,,3,,46,3,,,,,1,,9,,5,4,,4,5,1,,,38,,,,18,6,,,2,,2,1,73,,,,1,1,,,,1,,,,,,,
100,--/2239/--,3084/2784/2478,,,,,10,8,,,,1,1,,,2,1,,,,13,4,4,,,,,,2,,,14,,,8,,,,11,,,,12,11,,,1,,1,,41,,,,,,,,,,,,,,,,
106,--/2393/--,3242/2951/2656,,,,,3,14,,,,,1,4,,1,,,,,61,1,,,,,,1,5,,12,8,,,7,,,,49,1,,5,20,10,,,1,,,2,37,1,1,,,,1,,,,,,,,,,
118,--/2702/--,3560/3285/3010,,,,1,5,30,,1,3,1,1,3,,4,1,,2,,8,4,,,,,,,14,,1,,5,,14,,4,,97,,1,,17,12,2,,,,,3,21,,1,,,,,,,1,,,,2,,,
142,--/3321/--,4208/3952/3701,,,,,4,8,,,,,,1,,2,,,1,1,11,,,,,,1,,,,10,,,,2,,,,58,,,,23,20,1,,1,,1,,13,,,,2,,,,,,,,,,,,
156,--/3682/--,4589/4341/4092,1,,1,,3,2,,1,,1,,1,1,2,1,,4,,15,2,2,,,,,,9,,,1,,,10,,,,109,,1,1,9,11,,1,3,,10,,35,,,1,,,,,,,,,,,,,
168,--/3991/--,4917/4675/4420,,1,,2,3,7,,1,,1,,,,3,,,,,28,,,,1,,2,2,3,,11,6,2,,7,1,2,,91,1,,1,37,14,1,,3,,1,,42,,,,,,,,,,,,1,,,,
181,--/4326/--,5282/5036/4776,5,,,,2,1,,1,,,,,,,,,,,8,2,,6,3,,,,5,,,,2,,13,,,,51,,4,1,17,23,,,,,,,88,,,,,1,,,,,,,,,,,
194,--/4661/--,5657/5398/5132,1,,,1,2,1,,,,,,1,,,,,,,10,,,,,,4,,5,2,9,7,3,1,7,,3,,121,,,1,21,18,,,2,,,1,40,,,1,,,,,,,,,,,,,
200,--/4815/--,5832/5564/5295,,,,,2,4,5,2,,1,1,1,,2,,,1,,23,4,1,,1,,,,3,,9,15,2,1,11,1,1,,87,2,,,4,64,,,1,1,,3,15,,,,1,2,,1,,1,,,,,1,,
218,--/5279/--,6343/6061/5784,,,,1,,1,,,,,,,,2,,,,,92,1,,,,,4,,7,,46,2,4,,9,,2,,58,,,35,,37,,,1,,,,9,,,,,1,,,,,,,,1,,,
231,--/5614/--,6658/6406/6158,3,,,2,4,1,1,,,,1,,,8,,,,1,8,,,,1,,,,5,,,,1,,12,,1,,55,,,,9,94,,,1,,4,2,12,,,,,,,,,1,,,,,,,
256,--/6258/--,7312/7070/6842,,,5,1,1,3,8,,,,,1,,1,,,2,,5,3,,,1,,,,3,,1,,5,,5,2,1,,51,,,,12,142,,1,2,1,,1,12,,,3,,2,,,1,,,,,,6,1,
281,--/6903/--,8010/7733/7487,,,,1,1,4,2,3,,,1,,,2,,1,1,1,3,,2,,,,1,,,,,,5,,16,3,2,,34,,,,69,39,,,,,,,6,,,1,,2,,,,,,,,,,,
300,--/7392/--,8568/8238/7967,,,1,2,4,3,,3,,,,,,1,,8,2,,7,,,,,,,,,,,,,,7,4,,,32,,,,112,24,,,,1,,7,3,,,,,3,,,,,,,,,,,
306,--/7547/--,8748/8397/8115,,,,1,2,4,,,,,1,,,2,,10,,,6,,,,,,,,,,,,,,7,2,,,18,,,,1,161,,,,,,,2,,,,,1,,,,,,,,,,,
312,--/7702/--,8928/8556/8260,1,,4,,,5,1,1,,,,,,7,,16,1,,6,,,,,,16,,,,1,,,1,4,5,1,,47,,,,134,9,,,1,2,,2,6,,,1,,3,,,,,,,,,,,
318,--/7856/--,9110/8715/8402,1,,4,1,1,4,,2,,,1,,,3,,14,,,4,,,,,,8,,,,,,,,3,7,1,,40,1,,,127,6,,,4,6,,5,5,,1,1,,1,,,,,,,,,,,
325,--/8036/--,9324/8901/8566,,,1,,4,3,,4,,,1,2,,4,,5,,,7,,,,,,36,,,,,,,,3,5,,,46,,,,119,9,,,,,,3,10,,,,,2,,,,,,,,,,,
331,--/8191/--,9508/9061/8704,,,,1,18,33,5,1,,,,8,1,26,,,,,23,,,,,2,42,,1,,2,,1,,20,56,4,,202,,,,198,11,1,2,3,,1,1,25,,,3,,6,,,,1,4,,,,,2,
337,--/8346/--,9692/9220/8841,,,,,1,4,,1,,,,,,2,,,,,6,,,,,,28,,1,,1,,1,2,3,4,1,,35,,,,138,10,,,2,2,,1,7,,,2,,3,,,,,,,,,,,
343,--/8500/--,9877/9379/8977,,,,,3,2,,,,,,,,6,,,1,,8,,,,,,20,,,,1,,,,2,5,,,28,,,,133,1,,,,1,,2,9,,,,,,,,,,,,,,,,
350,--/8681/--,10092/9565/9134,,,,1,1,17,,1,,,1,2,,3,,,,,5,,,,,,36,,,,1,,,,2,14,,,51,,,,98,3,1,,,,,1,6,,,2,,1,,,,,,,,,,,
356,--/8835/--,10277/9724/9269,,,,,4,3,,1,,1,1,2,,7,,,,,7,,,,,,39,,,,,,1,,2,25,,,41,,,,40,31,,,2,,,,1,,,,,,,,,,,,,,,,
362,--/8990/--,10462/9883/9403,,1,,,1,3,,1,,,,,,4,,,,,8,,,,,,76,,,,,,,,1,8,,,31,,,,65,,,,1,1,1,,5,,,,1,,,,,,,,,,,,
368,--/9145/--,10647/10043/9536,,,,,,5,,2,,,,,,10,,,,,4,,,,,,51,,,,,,,,4,6,,,38,,,,83,5,1,,,,,,6,,1,,,4,,,,,,,,,,,
376,--/9351/--,10895/10255/9715,,,,,5,6,2,4,,,,1,,11,,,1,,9,,,,,,42,,,,1,,,,2,4,,,57,,,,64,2,2,,5,1,1,1,18,,1,,1,,,,,,,1,,1,,,
380,--/9454/--,11019/10361/9803,,1,,1,7,5,4,,,,,4,,12,,,,,8,,,,,,1,,4,,,,,,8,3,,,65,,,,68,7,,,6,1,,,47,,,1,1,,,,,3,,,,,,,
