,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,158.0,4703.335,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,162.0,4822.751,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,170.0,5061.583,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,173.0,5151.146,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,176.0,5240.708,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,187.0,5569.103,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,198.0,5897.498,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,209.0,6225.893,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,214.0,6375.163,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,224.0,6673.703,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,234.0,6972.244,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,245.0,7300.639,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,258.5,7703.668,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,269.0,8017.136,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,279.0,8315.677,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,288.0,8584.363,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,298.0,8882.904,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,9241.153,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,317.5,9465.059,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,325.0,9688.964,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,335.0,9987.505,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,345.0,10286.05,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,356.0,10614.44,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,366.0,10912.98,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,376.0,11211.52,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,382.5,11405.57,Calendar Chron,Lewden D.,2005-11-22,Linear interpretation with calibrated age (Calib 5.0.1),Precision: 1 sigma
