Depth,Sample age (cal BP),Abies,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Caryophyllaceae,Cedrus,Centaurea,Cichorioideae,Cistaceae,Corylus,Cyperaceae,Ephedra fragilis-type,Erica,Euphorbia,Fabaceae,Fraxinus,Hedera,Hypecoum,Lamiaceae,Monoletesspore,Myriophyllum,Olea/Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Quercus (deciduous),Quercus ilex-type,Rhamnus,Rumex,Sanguisorba,Secale,Sparganium-type,Tamarix,Thymelaeaceae,Ulmus,Urticaceae,Vitis,cf. Juniperus
0,--/-42/--,,7,2,,8,2,3,,5,,,,,,3,,4,10,2,,,,,,,,,3,230,,,25,,1,13,,,,,,,,,,,9
5,--/34.05263158/--,,1,,,11,1,1,,4,,,,,,,,,2,2,1,,,,,,,,3,235,,,31,,2,25,,,,1,,,2,,,1,10
10,--/110.1052632/--,,,1,,9,1,15,,3,,,,,2,1,,7,3,2,,,,,,,2,1,7,173,1,,44,,,40,,,,2,1,,3,,,,21
15,--/186.1578947/--,,,,1,12,,9,,2,2,,,,4,,1,5,3,5,,,,,,1,,,,179,,1,45,,3,36,,4,,5,1,,7,1,,2,19
20,--/254.3469388/--,,1,,,5,,,3,1,,,,,,3,3,3,,4,,,,,,,,,4,259,,,16,2,1,16,2,,,,,,4,,,,8
30,--/327.8163265/--,,2,,,5,,2,,,,,,,,,1,4,,2,,,,,,,1,,4,254,,1,24,,,26,,,,1,1,,,,,,6
40,--/401.2857143/--,,1,1,,,2,1,,,1,,,,,1,,2,,3,,,,,,,,1,3,276,1,1,12,,1,22,,,,2,1,1,1,,,1,11
50,--/474.755102/--,1,1,,,2,4,1,,,1,,,,,,,3,,,,,,,,1,3,1,1,259,2,1,27,2,4,34,,,,1,1,,,,,,9
58,--/533.5306122/--,,2,1,,2,,1,1,,1,,,,,,,4,,2,,,,,,,,,,261,3,2,24,2,4,34,,,,2,1,,,,,,5
60,--/548.2244898/--,,,,,4,1,3,,1,,,1,,,,,4,,,,,,,,,2,,,317,,,15,,3,9,,,,,1,,,,,,5
70,--/621.6938776/--,,,3,1,6,2,3,3,3,1,,,,,1,,9,,2,,,,,,,1,1,2,196,,,34,1,5,61,,,,2,,,,,,1,13
80,--/695.1632653/--,,1,3,2,14,2,,,,1,,,,1,,,8,,4,,,,1,1,3,,6,1,121,,1,51,,4,66,,,,3,,1,,,,,30
90,--/768.6326531/--,,,,1,6,1,2,,1,,,,,1,,,2,1,3,,1,,,,1,,,1,39,1,,29,1,,15,,,,2,,,3,,,1,7
95,--/805.3673469/--,,1,1,1,13,6,4,,,4,,,,,1,2,13,1,4,,,,,,1,,21,4,71,,1,70,3,2,57,,,,4,1,,6,,1,1,64
100,--/842.1020408/--,,,1,1,5,3,1,1,1,2,,,,2,2,,16,,4,,,,,,,,6,3,104,,1,43,1,,22,,,,8,,,1,,,,26
105,--/878.8367347/--,,1,1,,10,2,4,2,7,2,,,,2,1,1,3,1,9,,,,,,,,18,1,123,,3,69,1,1,44,,,,3,2,,,,,1,23
110,--/915.5714286/--,,,2,,6,2,,,2,2,,,,,,1,5,,7,,,,,,3,,12,1,45,,,22,,2,26,,,,6,,,,,,1,23
120,--/989.0408163/--,,1,2,2,17,1,,3,1,1,,2,,1,1,1,11,,7,1,,1,,,3,2,16,4,166,,5,54,,5,42,,1,1,1,1,,,,,2,29
130,--/1062.510204/--,,3,,,10,13,,,,1,1,,,,1,1,12,,7,,,,,,4,,27,6,154,,3,59,,1,52,,,,,,,,,,,32
140,--/1135.979592/--,,5,2,,16,,2,,,3,,1,,,,2,14,,7,1,,3,,,1,,38,5,115,,6,66,,13,74,,1,2,2,1,,,,,,30
150,--/1209.44898/--,,1,1,1,6,1,1,,2,2,,1,,,2,,2,,10,,1,2,,,5,,8,,138,,1,66,,3,93,,,,,,,,,,,10
160,--/1282.918367/--,,,1,1,10,4,1,1,,,,1,,2,3,1,12,,11,,,,,,,,6,,112,1,3,57,,5,84,,2,1,2,,,,,,,16
168,--/1341.693878/--,,,2,1,15,4,,1,3,,,1,1,,4,2,11,,10,,,,,,10,,9,2,130,2,2,57,,3,50,,,1,1,1,,,,,1,16
