Depth,Calendar yr BP,C14 BP,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Arbutus unedo,Artemisia,Asphodelus albus-type,Aster-type,Betula,Bistorta officinalis-type,Boraginaceae,Brassicaceae,Calluna vulgaris,Campanulaceae,Caryophyllaceae,Castanea,Centaurea cyanus,Centaurea nigra-type,Chaetomiumspore,Cichorioideae,Cistus ladanifer-type,Coniochaetaspore,Corylus,Cyperaceae,Cytisus/Genista-type,Daphne gnidium-type,Dipsacoideae,Erica arborea-type,Erodium,Fabaceae,Fraxinus,Fungi (type 18,Gelasinospora,Geranium,Glomus,Helianthemum-type,Ilex aquifolium,Juniperus-type,Lamiaceae,Liliaceae,Olea,Pinus pinaster,Pinus sylvestris/P. nigra-type,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media-type,Poaceae,Poaceae (Cerealia-type),Polypodiophyta (monolete),Populus,Pteridium aquilinum,Pteridophyta (trilete),Quercus (deciduous),Quercus (evergreen),Quercus suber,Ranunculaceae,Rhytidospora cf. R. tetraspora (type 171,Rosaceae,Rubiaceae,Rumex acetosa-type,Rumex acetosella-type,Salix,Sambucus,Saxifraga,Sordaria,Sporormiella,Taxus,Ulmus,Unknown (type 181,Urtica dioica-type,Viburnum
15,--/0/--,--/0/--,6,,2,4,1,2,,20,,3,1,,,2,3,1,,,1,5,1,1,,7,8,,,4,2,1,,,,,3,,,3,,,1,49,123,1,8,10,224,1,2,,5,3,23,3,1,,,,,17,30,,7,,,8,1,,,2,
20,--/186/--,--/175/--,11,,2,6,,4,,13,,,1,,,,4,3,,,1,5,2,,,7,5,,,7,,2,5,,,,5,2,,5,,,7,8,34,,4,4,353,1,2,1,3,,32,8,,,1,,,14,24,2,,,2,,1,1,,2,
25,--/355/--,--/317.5/--,11,,1,5,1,6,,7,1,1,4,,3,,9,5,,,8,6,,2,,13,11,,1,,,2,,2,2,,7,,1,1,,,4,22,44,,1,5,300,2,3,,4,1,29,6,1,,,1,1,16,41,2,,,6,6,,1,,4,
30,--/491/--,--/460/--,2,,5,2,,2,,14,,,1,,1,10,14,2,1,1,2,23,,,,11,2,,,3,,3,2,2,,,3,2,,3,,,1,3,10,,10,1,385,,5,,,,17,1,,,,,,12,17,,,,7,7,,,1,6,
35,--/600/--,--/587.7778/--,9,,1,5,,9,,12,,,1,,,3,6,4,,1,9,5,,1,,6,7,1,,4,,3,,,3,,1,1,,3,,,1,7,32,,9,5,289,,8,,2,,22,8,,,5,,,26,20,2,2,,7,29,1,1,,4,
40,--/686/--,--/703.0769/--,10,,5,4,,5,1,8,2,,2,,1,3,3,,,,9,9,,2,,9,4,,,5,,6,1,,1,,,3,,,1,1,1,11,17,1,2,3,371,2,4,,5,1,18,3,,,59,,,11,15,1,,,3,9,,,2,,
42,--/716/--,--/729.2308/--,7,1,1,3,,3,,7,,,5,,,2,5,8,,,11,5,1,,,4,4,1,,5,,1,,2,4,,1,8,,6,,,1,15,41,,11,19,345,1,5,,5,4,13,5,1,1,14,,1,36,26,2,,,12,27,,1,,19,
45,--/755/--,--/768.4615/--,4,,3,5,,10,,5,,,2,,2,3,8,1,,,3,7,,1,,8,3,1,,4,,4,1,,,,,,,1,1,,,9,10,,5,4,365,2,4,,,,15,5,,,,,1,15,25,1,,,5,21,,1,1,2,
50,--/810/--,--/833.8461/--,14,,1,5,,10,,15,1,,2,,,1,7,1,,,9,6,,,,23,2,4,,4,,1,,,3,,1,1,,3,,,4,25,11,1,6,7,300,1,13,,3,,29,7,,,1,,1,16,28,1,2,,8,35,,,,2,
53,--/839/--,--/873.0769/--,13,1,,4,1,9,,8,1,,1,,1,4,6,1,,,2,4,,,,15,3,1,,7,,5,3,,,,,1,,,,,,15,29,,6,3,307,,5,,7,,37,4,,,7,,1,8,26,2,,,4,8,1,,1,2,
55,--/857/--,--/899.2308/--,12,,1,3,,8,,13,,,1,1,,4,7,3,,,2,8,,1,,8,2,,1,3,,3,2,,2,,1,3,,4,1,,8,21,28,,5,13,278,2,2,,2,3,27,3,,,,,1,32,25,3,,,1,9,,3,,1,
60,--/900/--,--/964.6154/--,24,1,3,3,,5,,11,3,,1,,1,,10,1,,,2,5,1,,1,7,3,,,11,1,5,3,,,,,,,1,,2,1,11,69,,1,4,280,,1,,5,1,52,7,,,,,,37,29,4,,,3,4,,2,,2,
