Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
0,458/-36/-560,--/0/--,--/0/--,1,,1,,48,2,,1,,,,,4,1,,,,4,,1,18,,,,7,,,2,,,,,,8,1,1,1,,,,45,20,,,35,,,8,,1,,,,23,2,,
10,583/136/-340,--/1873/--,--/352/--,,,,,98,3,,1,,,,,5,,,,,2,1,1,11,,,,10,,,,,,,3,,4,1,,2,,1,,49,6,,1,44,,2,4,,,,,,17,1,,1
20,729/308/-111,--/2796/--,--/703/--,,,1,,101,3,1,,,,1,,13,1,,,,4,,,11,,,,14,1,,1,1,,,1,,,9,,,,6,,64,3,,2,52,,,2,,,,1,,30,,,
30,880/479/107,--/3535/--,--/1055/--,1,,1,,157,,,1,1,,,,17,,,,,,,,18,,,,40,,2,,1,,,2,,,8,,1,1,5,,19,2,1,3,80,,1,,,,,2,,138,2,,
50,1201/822/469,--/4749/--,--/1758/--,,1,,,93,,,,1,,,,15,,,,,1,,5,5,,,,20,,2,,,,,3,1,2,13,,,,3,,25,,,,94,,,1,,,,5,,,,,
70,1576/1166/762,--/5769/--,--/2461/--,,,,,36,,,,,,4,3,17,,1,1,,,,5,3,,,,47,,,,,,,1,1,,15,,,,1,1,7,,,,108,,,,,,,1,,2,,,
100,2270/1797/1302,--/7090/--,--/3515/--,4,,1,,45,1,1,2,,,,,39,1,,,,,1,24,3,2,,,17,2,2,1,1,,,3,,,16,,3,,1,,7,,,,41,,1,,,,,1,,1,,,
110,2538/2085/1610,--/7492/--,--/3867/--,23,1,,,34,1,1,1,,,2,,20,,,,,,,44,2,,,,20,,,,1,,,1,,,30,,2,,2,,25,,,,34,1,2,,,,,3,,,,,1
130,3077/2662/2223,--/8252/--,--/4570/--,31,,,,32,2,,,1,1,,,33,,,,,,,21,1,2,,,15,3,4,,,1,,1,,2,35,,1,,3,,30,1,,3,53,,,,3,,1,2,,,,,1
150,3628/3239/2841,--/8963/--,--/5089/--,39,3,,,64,,1,,,1,,,18,,,,,,,8,1,,,,6,4,3,1,4,,,6,,,20,,1,,1,,4,,,,68,,,,5,,2,4,1,,,1,2
170,4187/3815/3451,--/9636/--,--/5424/--,43,1,,,53,1,1,1,,,,,10,,,,,,,6,,,,,8,4,3,,2,,,2,,,20,,1,,1,,9,,,,71,,,1,5,,1,5,,1,,,1
