Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Anagallis-type,Androsace-type,Anthemis-type,Apiaceae undiff.,Artemisia,Asphodelus-type,Betula,Boraginaceae undiff.,Brassicaceae,Bupleurum-type,Buxus,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea solstitialis-type,Chrysosplenium,Cichorioideae,Cistus,Corylus,Cupressaceae-type,Cyperaceae,Equisetumspore,Ericaceae,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium,Hedera,Helianthemum,Helleborus viridis-type,Hippophaë,Ilex,Indeterminable/spore,Liliaceae,Lithospermum,Lonicera,Mentha-type,Myriophyllum spicatum-type,Nuphar,Olea,Ostrya,Phillyrea,Picea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polypodiophyta (monolete) undiff.spore,Polypodiophyta (trilete) undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Rosaceae undiff.,Rumex,Salix,Sambucus,Saxifragaceae undiff.,Scilla-type,Scrophulariaceae,Solidago-type,Sorbus,Tamarix,Thalictrum,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmaceae,Unknownspore,Urtica-type,Veronica-type,Viscum,Vitis
54.75,--/9659.8/--,59,42500,1,1.2,9,4,81,3,,,,3,3,,,,2,,1,,24,1,,,,,,,130,,4,,,,23,1,25,7,,5,,,,,3,,,,,,,,130,16,,3,1,6,,44,1,,,,1,,,,,19,393,3,3,,1,10,,,,,,,2,3,1,,,23,,,,1,9
54.85,--/9661.4/--,175,45500,1,1.2,6,13,153,2,,,1,18,2,,2,,1,,1,,22,,1,,,,4,,218,,11,,7,,66,,30,,,13,1,,,1,,,,,,3,1,,206,38,,9,,8,1,62,1,1,,,1,,,,2,58,861,2,2,2,1,11,,,5,2,4,,,10,,1,,35,3,,,,7
54.95,--/9663.1/--,72,42500,1,1,6,1,146,3,1,,,17,4,,10,,2,1,,,17,,,,,,1,1,178,1,7,,1,,20,1,27,,,5,,,,,4,,,,2,,,3,127,21,1,6,,12,,51,2,4,1,1,,1,,,,16,494,,2,2,,4,,,1,1,,,,9,1,,1,19,2,,,,2
55.05,--/9664.7/--,70,45500,1,1.4,4,5,89,3,,,,15,2,,1,,1,,,,9,,,,,,,,150,2,7,,4,,23,,17,,,3,,,,,7,,,,3,,,,106,8,,8,2,6,,60,,4,,3,1,1,,1,,21,400,1,1,3,,2,2,,1,,,,,10,,1,,19,,,1,,2
55.15,--/9666.4/--,54,42500,1,1,5,5,88,3,,,,16,,,1,,,1,1,,10,1,,,,,2,,158,1,3,,4,,21,,10,,,1,,,,,2,,,,,,,,103,5,,4,1,3,,56,1,2,,,,,,,,24,327,1,1,1,1,1,,,,,4,,,18,,1,,18,1,,,,6
55.25,--/9668.1/--,243,45500,1,0.8,6,2,68,4,,,,9,2,,1,1,2,,,,3,,,,,,4,,164,,3,,3,,42,1,18,,,6,,,,,3,,,,,1,1,2,8,10,,3,,6,,44,1,,,,,,,,1,45,519,,1,3,,2,,,1,2,3,1,,11,,3,1,11,2,,,,7
55.35,--/9669.7/--,221,42500,1,1,9,10,36,4,,,,8,4,,3,,1,,,,7,,,,,,1,,82,1,2,,3,4,24,1,14,,,13,,,,1,5,,,,,,,,39,5,1,7,,9,,23,,3,1,1,,,,1,,24,500,1,1,,,1,1,,1,,,,,12,,,,6,1,,2,,1
55.45,--/9671.4/--,144,42500,1,1,8,3,84,5,,,,11,1,,1,,1,,,,14,,,1,,,2,,208,3,4,,3,1,33,,5,,,10,,1,,,2,1,,,,1,,,106,7,,14,1,9,,51,,1,,,,,1,,,36,584,2,1,1,,3,,,,2,,,,22,,,,25,3,,,,5
55.55,--/9673/--,237,42500,1,1,3,5,67,2,,,,6,,,4,,2,,,,11,,,,,,2,,143,1,3,,4,,43,1,6,,,11,,,,,8,,,,,,,1,82,5,,8,1,12,,27,,1,,1,,,,,3,34,778,,,1,,2,,,,4,,,,20,,,1,14,,,,,6
55.65,--/9674.7/--,74,42500,1,1.2,1,3,101,2,,,,12,4,2,5,,5,,,3,14,,,,,,2,,181,2,3,,1,,34,,13,,,7,,,,,6,,,,,2,,1,125,15,,10,,11,,81,1,1,1,1,,,,,3,35,323,,2,,,,,,,1,,,,10,,2,,36,2,,,,
