Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Androsace-type,Anthemis-type,Apiaceae,Artemisia,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus betulus,Caryophyllaceae,Centaurea cf. C. cyanus-type,Centaurea solstitialis-type,Chrysosplenium,Cichorioideae,Cirsium,Corylus,Cupressaceae-type,Cyperaceae,Dipsacoideae,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia-type,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Helianthemum,Helleborus,Hippophaë,Indeterminable/spore,Mentha-type,Menyanthes trifoliata-type,Mercurialis-type,Nymphaea,Olea,Ostrya,Papaveraceae,Picea,Pinus,Plantago,Poaceae,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba subsp. sanguisorba,Quercus (deciduous),Quercus (evergreen),Ranunculus,Rhamnaceae,Rosaceae undiff.,Rumex,Salix,Sambucus,Saxifragaceae-type,Scilla-type,Scrophulariaceae,Scutellaria-type,Solidago-type,Taxus,Thalictrum,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmaceae,Unknownspore,Veronica-type,Vicia-type,Viola palustris-type,Viscum,Vitis
57.3,--/31110/--,585,42500,1,0.6,2,,,16,,1,7,47,16,1,,,2,11,,1,1,,1,1,30,16,,2,,,1,,,7,4,,8,2,,3,7,3,,2,,,,,1,32,3,180,,,2,,25,,5,,1,2,1,,1,,,,3,,5,,,,,,,,,,,
57.5,--/31112/--,399,42500,1,0.7,1,,1,21,,1,6,54,16,2,1,,,6,,,2,4,1,,37,41,1,3,,,,,,7,5,,11,1,,3,3,,,1,,,,,,34,7,264,1,1,,,28,2,,,1,4,1,1,,1,1,,1,,1,,,,,,2,1,,,,
57.6,--/31113/--,2437,96000,1,0.6,1,,,14,,3,12,54,2,6,,,,8,,1,,2,2,,20,36,,,2,,,,,3,1,,9,,,,6,,,3,,,1,,,40,3,208,,5,1,,11,,,,,2,,,,1,1,,1,,,,,,,,,,1,,,1
57.7,--/31114/--,802,42500,1,0.7,3,,3,26,,3,9,78,14,8,,,1,5,2,,,7,,,31,46,1,,,,,1,,7,1,,16,1,,3,10,,,1,,,,,,38,2,317,,2,,,35,,2,,,6,3,2,,1,1,,1,,4,,,4,,1,1,1,,,,
57.8,--/31115/--,1667,96000,1,0.7,1,,4,30,,4,13,93,20,1,,,,17,,,,8,2,,66,46,,1,3,,1,,,13,4,1,29,,1,6,7,,,5,,,,,,77,7,418,1,,,,47,,1,,1,4,1,,1,,1,1,5,,8,,,1,2,2,1,,1,1,,
57.9,--/31116/--,882,96000,1,0.7,2,,,11,1,1,4,60,13,5,,1,,3,1,2,,3,3,1,46,30,1,2,1,,,1,,15,2,,13,1,2,1,,1,,4,,,1,,,33,4,328,2,,,,32,,1,,,3,2,,,,,1,2,,4,1,,1,,2,,,,,,
58,--/31117/--,111,42500,1,0.6,1,,1,20,,3,5,36,14,2,,,1,7,2,1,4,4,1,1,37,113,,2,,,,,,8,,,11,,,5,2,,,3,,,,,,30,5,256,1,1,,,46,,,1,1,5,,2,,,,,2,,2,,,,,1,,,1,,2,
58.1,--/31118/--,311,42500,1,0.7,1,,4,17,,2,7,66,11,1,,,,16,1,,,4,2,,57,26,,,1,,1,,,15,2,,10,2,,3,7,2,,3,,,,,,29,4,276,,,,1,25,,1,,1,4,1,1,,1,,,1,,4,1,1,,,2,2,,,,,
58.2,--/31119/--,239,42500,1,0.6,1,1,1,22,,2,2,56,14,7,,,1,11,,,,5,,,39,10,,1,,,,,,17,2,1,11,,,,8,,,5,,,1,,,19,3,201,,,,,27,,5,,,2,1,,,,1,,1,,1,,,4,,1,,,,,,
58.3,--/31120/--,338,42500,1,1.1,,,,2,,,,6,1,1,,,,3,,,,1,,,5,,,,,,,,,1,,,1,,,1,1,,,,,,,,,1,1,16,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,
58.9,--/31121/--,113,42500,1,2,1,,1,4,,1,2,7,2,1,,,,3,,,,,,,,4,,,,,,,,2,,,1,2,,,,,,1,,,,,,6,1,31,,,,,3,,,,,1,,,,,,,2,,,,,,,,,,,,,
70,--/31173/--,365,103400,1,1,2,,1,20,,4,3,35,7,1,,1,1,,,,,,,1,21,8,,1,,10,,2,1,8,,,7,,,3,3,,1,,1,1,2,1,2,33,1,157,,3,,,32,,,,,2,7,,,,,,,1,3,,,1,1,,1,,,,,
