Depth,Calendar years BP,Sample quantity volume,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Androsace,Angiospermae undiff. (herbs),Anthemis-type,Apiaceae undiff.,Armeria,Artemisia,Betula,Boraginaceae,Brassicaceae,Bupleurum-type,Buxus,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium,Cistus,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae,Digitalis-type,Elatine-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Helianthemum,Helleborus,Hippophaë,Hypericum-type,Ilex,Indeterminable/spore,Liliaceae,Marrubium,Mentha-type,Menyanthes trifoliata-type,Mercurialis,Myriophyllum alterniflorum-type,Ostrya,Phillyrea,Picea,Pinus,Pistacia,Plantago,Poaceae,Polypodiophyta (monolete)spore,Populus,Potamogeton,Potentilla-type,Primulaceae undiff.,Quercus,Ranunculus,Rhamnaceae,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Taxus,Thalictrum,Tilia,Typha angustifolia,Ulmaceae,Urtica-type,Valeriana,Veronica-type,Vicia-type
74.65,--/37312.3/--,0.6,995,42500,1,3,1,,2,21,,1,6,8,,121,1,,,2,,,1,,1,7,,,1,,33,4,1,,1,,32,,,,5,1,,,18,4,,10,,,9,,,,,,1,1,,,49,,9,287,,,,1,,22,4,,,5,,1,,,,,,1,,1,,3,,1,1,,,,
75.05,--/37326.3/--,0.6,940,42500,1,3,3,,9,43,,2,24,9,,273,2,,4,,,,3,,4,15,1,,,,56,18,1,,,2,35,,,,11,3,1,,9,5,2,5,,,15,,,,,,,3,2,,61,,12,364,,,,,,27,1,,,6,3,,,,4,,,10,,,,3,,,,,,1,
75.25,--/37333.3/--,0.8,1013,96000,1,3,,,2,34,,,11,9,,208,3,,1,,1,,7,,1,5,1,,,,50,10,,,,2,,,,,10,2,,,23,7,,8,,,6,,,,,2,,,,,68,,14,361,,1,2,2,,18,,,1,8,1,,,,,1,,7,,,,2,,,1,,,,
75.35,--/37336.8/--,0.5,1607,96000,1,2,,,6,44,,,9,14,,161,2,,5,,,,13,,,5,,,,,80,11,,,,2,1,,,1,7,1,,,19,6,,4,,,9,1,,,,,,,,1,44,,14,327,,,,1,,26,,,1,5,1,,,,,,,3,,,,2,,,1,,1,1,
75.45,--/37340.3/--,0.5,905,42500,1,1,,,4,24,,2,12,8,,112,1,,2,,1,1,5,,3,11,5,,,,59,15,,,1,1,11,,,,15,2,1,,9,4,,5,,,19,1,,,,,,,,,55,,16,275,,,1,,,42,1,,1,4,,,,,,2,,3,,,,1,1,,2,,,,
75.55,--/37343.8/--,0.7,840,96000,1,3,1,,2,41,,,23,10,1,179,5,,1,,,,2,4,1,11,2,,,,68,9,,,3,2,,,1,,15,1,,,25,4,,5,,,17,,,,1,,,,,,44,,14,389,,,,1,,15,,,,15,,1,,,1,,,9,,,,4,,1,2,,,1,1
75.65,--/37347.3/--,0.6,545,42500,1,3,,,,14,,,13,2,,59,2,,,,,,4,,,7,2,,,,36,4,,,1,1,33,,,,7,2,,,3,3,,3,,,7,,,,,,,1,,,16,,4,185,,,,,,13,,,,3,,,1,,1,,1,4,,,,1,,,3,,,,
75.75,--/37350.8/--,0.7,903,96000,1,6,,,1,38,,,26,17,,219,10,,2,,2,1,17,,1,8,4,,,,58,20,,,2,6,,,,,27,2,,,30,3,,4,,,,1,,1,,,,2,,,64,,13,407,,,,2,,38,1,1,1,7,2,,,1,,,,4,,,,7,,1,1,,,,2
75.85,--/37354.3/--,0.5,727,42500,1,3,,,3,11,,,9,5,,67,2,1,1,,,,3,,1,6,1,,,,48,5,,,,,34,,,,1,,,1,5,2,,6,,,13,,,,,,,,,,13,,3,94,,1,1,,,13,,,,5,,,,,,,,3,,,1,1,,,1,,,,
75.95,--/37357.8/--,0.6,417,42500,1,,,,,23,,,5,3,,72,2,,1,,1,,5,,1,2,1,,,,45,12,,,,,,,,,2,10,,,10,1,,5,,,8,,,,,,,2,,,22,,13,217,,,,,,17,1,,3,2,,1,,1,,,,1,,,,6,,,2,,,1,
