,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,1.0,341.371,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,8.0,354.6935,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,15.0,368.0161,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,23.0,383.2419,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,31.0,422.2328,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,40.0,478.25,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,48.0,528.0431,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,55.0,593.175,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,63.0,987.975,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,72.0,1432.125,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,80.0,1709.151,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,110.0,2547.25,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,2826.616,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,125.0,2966.299,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,130.0,3105.982,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,135.0,3245.666,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,140.0,3385.349,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,147.0,3583.376,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,152.0,3731.297,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,157.0,3879.217,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,162.0,4027.138,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,167.0,4175.059,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,177.0,4470.899,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,187.0,4766.741,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,197.0,5062.582,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,207.0,5358.423,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,217.0,5654.264,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,227.0,5950.105,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,239.0,6305.114,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,249.0,6600.956,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,259.0,6833.2,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,269.0,7031.2,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,280.0,7249,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,290.0,7447,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,7645,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,7843,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,318.0,7987,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,327.0,8122,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,332.0,8197,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,339.0,8316.919,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,349.0,8509.544,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,360.0,8721.432,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,369.0,8894.794,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,379.0,9067.52,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,389.0,9203.291,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,399.0,9339.062,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,409.0,9474.833,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,414.0,9542.719,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,439.0,9882.146,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,449.0,10017.92,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,460.0,10167.27,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,470.0,10303.04,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,480.0,10438.81,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,491.0,10588.16,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,501.0,10723.93,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,511.0,10859.7,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,520.0,10981.89,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,530.0,11117.66,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,540.0,11253.43,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,551.0,11402.78,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,562.0,11552.13,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,573.0,11701.48,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,583.0,11837.25,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,588.0,11905.13,Calendar Chron,Lewden D.,2006-02-13,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,596.0,0,,,,,
,603.0,0,,,,,
,617.0,0,,,,,
,627.0,0,,,,,
,634.0,0,,,,,
,641.0,0,,,,,
,648.0,0,,,,,
,655.0,0,,,,,
,662.0,0,,,,,
,668.0,0,,,,,
,678.0,0,,,,,
