,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,24.0,1.0,633.0,669.0,597.0,uncorrected radiocarbon date
,51.5,1.0,1146.0,1176.0,1116.0,uncorrected radiocarbon date
,120.0,1.0,1536.0,1570.0,1502.0,other
,199.5,1.0,1863.0,1903.0,1823.0,uncorrected radiocarbon date
,313.5,1.0,2315.0,2363.0,2267.0,uncorrected radiocarbon date
,390.0,1.0,3188.0,3225.0,3151.0,other
,451.5,1.0,4034.0,4082.0,3986.0,uncorrected radiocarbon date
,551.5,1.0,5492.0,5538.0,5446.0,uncorrected radiocarbon date
,679.5,1.0,8210.0,8270.0,8150.0,uncorrected radiocarbon date
,797.5,1.0,9700.0,9760.0,9640.0,uncorrected radiocarbon date
,815.0,1.0,10295.0,10354.0,10236.0,other
,889.5,1.0,11120.0,11230.0,11010.0,uncorrected radiocarbon date
