,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,2.0,2007.552,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,15.0,2226.25,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,28.0,2444.948,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,35.0,2562.708,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,48.0,2781.406,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,60.0,2983.281,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,70.0,3151.51,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,78.0,3286.094,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,92.0,3521.615,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,111.0,3841.25,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,120.0,3992.656,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,131.0,4177.708,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,148.0,4541.355,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,161.0,4837.711,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,170.0,5042.88,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,187.0,5430.422,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,190.0,5498.812,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,203.0,5795.167,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,212.0,6000.336,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,217.0,6114.319,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,226.0,6319.488,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,236.0,6547.454,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,251.0,6889.402,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,267.0,7254.148,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,281.0,7573.3,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,294.0,7869.655,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,301.0,8029.231,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,307.0,8166.011,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,316.0,8371.18,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,330.0,8690.332,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,346.0,9055.077,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,357.0,9305.84,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,359.0,9351.433,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,365.0,9488.212,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,371.0,9624.991,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,377.0,9761.771,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,386.0,9966.94,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
,401.0,10308.89,Calendar Chron,Lézine A.M.,2005-10-28,Linear interpolation with calibrated age (Calib 5.0.1),Precision : 1 sigma
