,"Method [undefined]","Depth (cm) [undefined]","thickness [undefined]","Material dated [undefined]","14C age (yr BP) [undefined]","error [undefined]","labnumber [undefined]","deltac13 [undefined]","notes [undefined]"
,14C,41.0,,Carbonate,5120.0,120.0,A-2267,,
,14C,118.0,,Charcoal,4090.0,500.0,SMU-1024,,
,14C,118.0,,Carbonate,6320.0,70.0,SMU-1022,,
,14C,190.0,,Sapropel,7470.0,380.0,A-2786,,
,14C,204.0,,Carbonate,6460.0,90.0,WSU-2599,,
,14C,204.0,,Sapropel,6510.0,120.0,A-2871,,
,14C,211.0,,Sapropel,5980.0,300.0,AA-102,,
,14C,211.0,,Carbonate,6810.0,130.0,A-2265,,
,14C,215.0,,Sapropel,6620.0,170.0,A-2868,,
,14C,215.0,,Carbonate,7180.0,90.0,WSU-2614,,
,14C,291.0,,Carbonate,7980.0,160.0,A-2257,,
,14C,303.0,,Carbonate,7680.0,130.0,WSU-2610,,
,14C,303.0,,Sapropel,8350.0,140.0,A-2866,,
,14C,341.0,,Charcoal,7730.0,210.0,AA-104,,
,14C,341.0,,Sapropel,8200.0,190.0,A-2874,,
,14C,345.0,,Charcoal,7860.0,310.0,AA-252,,
,14C,345.0,,Carbonate,9850.0,90.0,WSU-2603,,
,14C,345.0,,Sapropel,10280.0,220.0,A-2837,,
,14C,353.0,,Charcoal,9430.0,80.0,TO-415,,
,14C,358.0,,Carbonate,9090.0,110.0,WSU-2601,,
,14C,358.0,,Sapropel,9650.0,200.0,A-2872,,
,14C,361.0,,Sapropel,9340.0,200.0,A-2253,,
,14C,361.0,,Carbonate,10060.0,300.0,A-2252,,
,14C,361.0,,Charcoal,8820.0,90.0,TO-414,,
,14C,363.0,,Charcoal,8880.0,70.0,TO-413,,
,14C,363.0,,Carbonate,9060.0,810.0,A-2250,,
,14C,363.0,,Charcoal,9640.0,700.0,SMU-1223,,
,14C,364.0,,Charcoal,9700.0,200.0,A-2251,,
,14C,365.0,,Charcoal,8450.0,170.0,AA-460,,
