,"Depth (cm) [cm]","Sample Age (cal yr AD) [cal yr AD]"
,9.5,2001.8775510204082
,29.5,1974.9387755102043
,39.5,1961.4693877551024
,49.5,1948.0
,59.5,1911.822393822394
,69.5,1875.6447876447878
,79.5,1839.4671814671817
,89.5,1803.2895752895756
,99.5,1767.1119691119695
,109.5,1730.9343629343634
,119.5,1694.7567567567573
,129.5,1658.5791505791512
,139.2,1622.4015444015452
,149.5,1586.223938223939
,159.5,1550.046332046333
,169.5,1513.8687258687269
,179.5,1477.6911196911208
,189.5,1441.5135135135147
,199.5,1405.3359073359086
,209.5,1369.1583011583025
,219.5,1332.9806949806964
,229.5,1296.8030888030903
,249.5,1224.4478764478781
,269.5,1152.092664092666
,279.5,1115.9150579150598
,299.5,1043.5598455598476
,329.5,1009.233644859813
,349.5,1007.5514018691588
,379.5,1005.0280373831774
,399.5,1003.3457943925232
,449.5,1001.4112149532707
