,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,2.0,0,,,,,
,9.0,0,,,,,
,15.0,0,,,,,
,28.0,0,,,,,
,40.0,0,,,,,
,46.0,0,,,,,
,52.0,0,,,,,
,59.0,5593.234,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,79.0,5704.407,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,94.0,5787.786,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,105.0,5848.931,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,107.0,5860.048,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,109.0,5871.166,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,111.0,5882.283,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,121.0,5937.869,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,131.0,5993.455,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,141.0,6049.042,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,149.0,6093.51,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,157.0,6137.979,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,169.0,6204.683,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,179.0,6260.269,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,191.0,6326.973,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,199.0,6371.441,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
