,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,Depth (cm),Sample age (cal yr BP),,AM Lézine,,linear interpolation between 2 dated samples,
,9,1208,,AM Lézine,,linear interpolation between 2 dated samples,
,19,1485,,AM Lézine,,linear interpolation between 2 dated samples,
,39,2039,,AM Lézine,,linear interpolation between 2 dated samples,
,59,2593,,AM Lézine,,linear interpolation between 2 dated samples,
,79,2979.462,,AM Lézine,,linear interpolation between 2 dated samples,
,99,3310.079,,AM Lézine,,linear interpolation between 2 dated samples,
,119,3640.695,,AM Lézine,,linear interpolation between 2 dated samples,
,139,3971.312,,AM Lézine,,linear interpolation between 2 dated samples,
,159,4301.928,,AM Lézine,,linear interpolation between 2 dated samples,
,179,4632.544,,AM Lézine,,linear interpolation between 2 dated samples,
,199,4963.161,,AM Lézine,,linear interpolation between 2 dated samples,
,219,5250.325,,AM Lézine,,linear interpolation between 2 dated samples,
,239,5484.381,,AM Lézine,,linear interpolation between 2 dated samples,
,259,5718.438,,AM Lézine,,linear interpolation between 2 dated samples,
,279,5952.494,,AM Lézine,,linear interpolation between 2 dated samples,
,299,6186.55,,AM Lézine,,linear interpolation between 2 dated samples,
,319,6420.606,,AM Lézine,,linear interpolation between 2 dated samples,
,339,6654.663,,AM Lézine,,linear interpolation between 2 dated samples,
,359,6888.719,,AM Lézine,,linear interpolation between 2 dated samples,
,379,7122.775,,AM Lézine,,linear interpolation between 2 dated samples,
,394,7298.317,,AM Lézine,,linear interpolation between 2 dated samples,
,419,7590.888,,AM Lézine,,linear interpolation between 2 dated samples,
,439,7824.944,,AM Lézine,,linear interpolation between 2 dated samples,
,459,8059,,AM Lézine,,linear interpolation between 2 dated samples,
,479,8216.082,,AM Lézine,,linear interpolation between 2 dated samples,
,499,8373.164,,AM Lézine,,linear interpolation between 2 dated samples,
,519,8530.246,,AM Lézine,,linear interpolation between 2 dated samples,
,539,8687.328,,AM Lézine,,linear interpolation between 2 dated samples,
,559,8844.41,,AM Lézine,,linear interpolation between 2 dated samples,
,579,9001.492,,AM Lézine,,linear interpolation between 2 dated samples,
,599,9158.574,,AM Lézine,,linear interpolation between 2 dated samples,
,619,9315.655,,AM Lézine,,linear interpolation between 2 dated samples,
,639,9472.737,,AM Lézine,,linear interpolation between 2 dated samples,
,659,9629.819,,AM Lézine,,linear interpolation between 2 dated samples,
,679,9786.901,,AM Lézine,,linear interpolation between 2 dated samples,
,699,9943.983,,AM Lézine,,linear interpolation between 2 dated samples,
,719,10101.07,,AM Lézine,,linear interpolation between 2 dated samples,
,739,10258.15,,AM Lézine,,linear interpolation between 2 dated samples,
,759,10415.23,,AM Lézine,,linear interpolation between 2 dated samples,
,780,10580.17,,AM Lézine,,linear interpolation between 2 dated samples,
,799,10729.39,,AM Lézine,,linear interpolation between 2 dated samples,
,819,10886.48,,AM Lézine,,linear interpolation between 2 dated samples,
,839,11043.56,,AM Lézine,,linear interpolation between 2 dated samples,
,859,11200.64,,AM Lézine,,linear interpolation between 2 dated samples,
,880,11365.58,,AM Lézine,,linear interpolation between 2 dated samples,
,899,11514.8,,AM Lézine,,linear interpolation between 2 dated samples,
,919,11671.88,,AM Lézine,,linear interpolation between 2 dated samples,
,939,11828.97,,AM Lézine,,linear interpolation between 2 dated samples,
,960,11993.9,,AM Lézine,,linear interpolation between 2 dated samples,
,979,12143.13,,AM Lézine,,linear interpolation between 2 dated samples,
,999,12300.21,,AM Lézine,,linear interpolation between 2 dated samples,
,1019,12457.29,,AM Lézine,,linear interpolation between 2 dated samples,
,1039,12614.38,,AM Lézine,,linear interpolation between 2 dated samples,
,1049,12692.92,,AM Lézine,,linear interpolation between 2 dated samples,
,1069,12850,,AM Lézine,,linear interpolation between 2 dated samples,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
