,"Method [undefined]","Deoth cm) [undefined]","Material dated [undefined]","14C age (yr BP) [undefined]","error [undefined]","basis [undefined]","enriched [undefined]","labnumber [undefined]","deltac13 [undefined]","notes [undefined]"
,14C,0.0,dung,3810.0,60.0,,,,,
,14C,15.0,plant fragment,8720.0,110.0,,,,,
,14C,25.0,plant fragment,8640.0,70.0,,,,,
,14C,25.0,plant fragment,8600.0,90.0,,,,,
,14C,53.0,plant fragment,8690.0,50.0,,,,,
,14C,115.0,plant fragment,8850.0,110.0,,,,,
,14C,115.0,plant fragment,8800.0,100.0,,,,,
,14C,125.0,plant fragment,8880.0,100.0,,,,,
,14C,160.0,plant fragment,9350.0,70.0,,,,,
,OSL,205.0,sand,61000.0,10000.0,,,,,
