BIOME,BIOME_NAME,BIOME_RECLASSIFY,,,,,
1,Tropical & Subtropical Moist Broadleaf Forests,forest,,,,,
2,Tropical & Subtropical Dry Broadleaf Forests,forest,,,,,
3,Tropical & Subtropical Coniferous Forests,forest,,,,,
4,Temperate Broadleaf & Mixed Forests,forest,,,,,
5,Temperate Conifer Forests,forest,,,,,
6,Boreal Forests/Taiga,,,,,,
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","grasslands, shrublands,woodlands & savanna",,,,,
8,"Temperate Grasslands, Savannas & Shrublands",steppe,"grasslands, shrublands,woodlands & savanna",,,,
9,Flooded Grasslands & Savannas,wetland and lake,,,,,
10,Montane Grasslands & Shrublands,steppe,forest,"grasslands, shrublands,woodlands & savanna",,,
11,Tundra,,,,,,
12,"Mediterranean Forests, Woodlands & Scrub",forest,"grasslands, shrublands,woodlands & savanna",,,,
13,Deserts & Xeric Shrublands,xeric and desert,,,,,
14,Mangroves,Mangroves,,,,,
,Lake,wetland and lake,,,,,
,,,,,,,
