"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ficus","Ziziphus","Scrophulariaceae","Thymelaeaceae","Polygalaceae","Primulaceae","Rumex","Fabaceae","Campanulaceae","Urticaceae","Boraginaceae","Malvaceae","Ranunculaceae","Brassicaceae","Polygonum","Papaveraceae","Teucrium","Cistus","Ericaceae","Pinus","Lamiaceae","Centaurea","Juniperus","Plantago","Lemna","Olea","Sarcopoterium","Apiaceae","Acantholimon","Prunus","Rosaceae","Tamarix","Caryophyllaceae","Rubiaceae","Typha","Alismataceae","Scabiosa","Cyperaceae","Poaceae (Cerealia)","Helianthemum","Myrtus","Lonicera","Asteraceae","Phillyrea","Artemisia","Liliaceae","Poaceae","Quercus coccifera","Amaranthaceae","Pistacia palaestina","Dipsacoideae","Euphorbiaceae","Zygophyllaceae","Ephedra fragilis","Rhus","Fraxinus","Rhamnus","Crataegus","Cercis","Arbutus","Acer","Juglans","Fraxinus ornus","Vitis","Platanus","Populus","Salix","Ulmus","Hippophaë","Hedera","Nerium","Laurus","Elaeagnus","Styrax","Orobanchaceae","Pistacia atlantica","Quercus ithaburensis","Dinoflagellata"
50,NA,NA,70,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,8,10,10,12,12,13,13,13,15,15,15,16,17,19,19,22,22,22,28,29,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82.15054,NA,NA,75,NA,4,NA,1,2,2,2,1,2,1,2,2,NA,2,2,3,NA,NA,NA,5,NA,4,5,4,4,4,NA,3,3,8,10,10,12,10,8,8,13,10,13,15,13,15,19,17,22,17,15,24,29,26,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,80,NA,5,NA,1,2,2,2,1,2,1,2,2,NA,2,2,3,NA,NA,NA,5,NA,4,5,4,2,2,NA,3,3,7,7,8,9,10,6,6,11,8,13,10,13,15,13,17,15,17,15,24,22,26,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327.1429,NA,NA,83,NA,6,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,2,NA,NA,NA,2,NA,2,4,2,1,1,NA,2,2,7,7,8,9,7,2,2,11,2,11,10,10,12,13,12,15,10,11,15,22,17,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431.9048,NA,NA,85,NA,5,NA,1,2,2,2,1,2,1,2,2,NA,2,2,3,NA,NA,NA,5,NA,4,5,4,2,2,NA,3,3,8,9,10,11,10,6,6,13,8,13,12,13,15,15,17,17,17,15,24,24,26,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536.6667,NA,NA,87,NA,4,NA,1,2,2,2,1,2,1,2,2,NA,2,2,3,NA,NA,NA,5,NA,4,5,4,4,4,NA,3,3,6,7,8,9,10,8,8,11,10,13,10,13,15,13,17,15,17,15,24,22,26,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641.4286,NA,NA,89,2,2,2,4,4,4,5,3,6,4,4,3,2,4,6,5,2,2,3,6,3,8,8,9,8,11,3,5,5,5,6,7,7,19,11,12,8,15,22,7,17,27,11,27,13,27,22,42,17,42,1,2,2,1,1,1,1,1,1,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746.1905,NA,NA,91,15,NA,6,6,5,5,11,16,8,6,8,6,5,16,11,7,4,4,5,8,5,18,9,20,11,46,6,7,7,10,11,15,12,17,15,18,13,26,42,13,15,25,15,25,16,25,29,39,26,39,NA,NA,NA,NA,3,3,3,3,2,3,3,15,11,16,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
850.9524,NA,NA,93,11,NA,4,5,4,4,7,14,6,5,6,6,8,13,8,6,NA,NA,NA,9,NA,15,11,15,9,42,NA,5,5,13,14,18,16,16,13,16,18,22,35,18,13,23,22,22,26,22,22,34,32,36,NA,NA,NA,NA,4,5,6,4,3,4,6,13,9,13,2,3,3,4,3,4,3,3,2,2,2,2,4,NA
955.7143,NA,NA,95,2,1,3,4,3,3,2,4,4,3,4,4,4,4,3,4,NA,NA,NA,8,NA,10,9,10,5,28,NA,4,4,4,8,8,5,11,11,15,10,13,18,11,8,13,11,12,13,8,8,25,22,27,1,1,1,1,3,3,3,3,2,3,3,8,2,5,1,1,1,2,2,2,2,2,1,1,1,1,1,NA
1060.476,NA,NA,97,4,5,1,2,1,1,4,7,3,1,2,3,NA,6,5,3,1,NA,1,2,1,12,4,11,2,35,1,3,3,15,22,13,15,8,3,2,22,8,23,36,4,11,27,8,31,5,5,22,52,25,4,5,4,6,NA,NA,NA,NA,NA,NA,NA,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165.238,NA,NA,99,6,4,1,2,1,1,5,8,3,1,2,3,NA,7,6,3,3,2,4,3,4,13,5,13,2,36,4,3,3,12,20,10,11,10,3,2,18,8,24,32,8,18,25,12,28,8,7,25,48,28,3,4,3,5,NA,1,1,NA,NA,NA,NA,7,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270,NA,NA,101,5,2,2,4,3,3,4,7,5,2,4,4,1,6,5,4,5,5,6,5,6,12,9,12,4,35,6,4,4,10,16,7,7,13,5,4,14,10,23,22,12,20,22,20,25,11,8,35,38,38,1,2,1,2,1,2,2,1,1,1,1,6,4,7,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
