"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Poaceae (Cerealia-type)","Cannabaceae","Unknown (monolete)","Ephedra","Quercus ilex-type","Buxus","Cistus","Fabaceae","Plantago","Quercus robur-type","Unknown (trilete)","Cyperaceae","Pinus","Asteroideae","Pseudoschizaea","Cichorioideae","Poaceae","Sparganium-type","Apiaceae","Amaranthaceae","Ericaceae","Polygonum","Geraniaceae","Artemisia","Corylus","Typha latifolia-type","Rubiaceae","Lamiaceae","Olea","Thalictrum","Vitis","Thymelaea","Tamarix","Phillyrea","Caryophyllaceae","Tilia","Potamogeton","Coriaria myrtifolia","Alnus","Hedera","Pistacia","Ligustrum","Betula","Ranunculaceae","Myrtaceae","Brassicaceae","Fagus","Lythrum","Rumex","Helianthemum","Ulmus","Lygeum-type","Juglans","Rosaceae","Juniperus","Dinoflagellata","Convolvulus","Lotus","Carpinus","Centaurea-type","Urticaceae","Myriophyllum","Malvaceae","Nymphaea","Rhamnus","Salix","Euphorbia","Nuphar","Populus","Abies","Dipsacoideae","Crassulaceae","Boraginaceae"
2358,3062,1695,100,1,1,1,2,2,3,3,4,5,5,6,10,10,11,14,16,19,33,35,57,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2458,3138,1815,125,NA,NA,2,3,8,NA,4,NA,1,1,4,15,12,7,13,4,10,127,22,NA,205,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2657,3292,2058,175,NA,NA,NA,NA,19,2,NA,3,2,7,NA,3,14,7,NA,NA,10,148,201,2,72,NA,NA,2,2,7,8,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2836,3431,2276,220,1,NA,2,1,13,NA,NA,1,44,2,NA,54,21,12,NA,13,31,165,183,4,89,2,NA,4,NA,21,9,11,18,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2896,3476,2348,235,NA,NA,2,3,48,3,1,16,31,7,2,19,21,25,20,2,22,14,30,19,205,NA,2,NA,2,NA,NA,4,64,NA,NA,2,NA,9,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2955,3522,2420,250,1,NA,5,3,34,NA,6,7,21,10,6,8,4,35,9,2,6,21,16,30,185,1,2,14,3,NA,3,NA,31,NA,2,NA,4,8,NA,NA,NA,3,6,6,1,NA,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3015,3569,2494,265,NA,NA,5,NA,14,2,6,2,4,NA,11,10,17,22,10,16,6,1,11,7,35,NA,1,1,1,NA,4,NA,15,NA,NA,NA,3,2,1,1,NA,NA,3,NA,9,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3075,3615,2566,280,2,NA,4,NA,39,1,7,11,14,7,7,15,6,18,19,3,16,5,14,8,104,NA,1,7,1,1,NA,1,19,2,3,NA,NA,3,1,NA,2,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3134,3661,2638,295,1,NA,NA,NA,12,NA,NA,15,13,1,NA,24,68,8,2,6,7,77,3,110,45,NA,NA,7,2,NA,2,4,25,NA,2,NA,4,3,NA,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3194,3707,2711,310,4,NA,5,3,25,NA,9,15,22,9,9,19,13,31,8,5,19,2,14,35,106,2,3,6,16,NA,1,2,17,1,4,NA,4,3,NA,NA,NA,NA,8,2,1,NA,2,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
