Depth (cm) [cm],Gramineae,Cyperaceae,Randia,Paullinia,Gardenia,Hymenocardia,Proteaceae,Compositae,Rosaceae?,Tapinanthus,Papilionaceae,Utricularia,Combretum,Elaeis,Jussiaea,Liliaceae,Amaranthus,Bombax,Indéterminés,Filicinées
0,37,60,,,,,,,,,,,,,,,,,,
10,38,60,,,,,,,,,,,1,1,,,,,,1
20,55,42,,,,,,,,,,,1,1,,1,,,,
30,80,19,,,,,,,,,,,,,,1,,,,
40,87,13,,,,,,,,,,,,,,,,,,
50,95,3,,,,,,,1,,,,,,,,,,,
60,91,6,,,,,,,,,,,,,,,,1,,
70,45,11,1,1,,,,,2,,,,,,1,,1,1,1,
80,44,12,,2,,,,,,,,,,,1,,,,,
90,43,11,1,3,1,,,,,,,,,,1,,,,,
100,38,13,12,4,1,,,,,2,,,,,,,,,,
110,32,2,35,5,4,1,,2,,2,,,,,,1,,,,
120,29,2,37,6,4,3,3,2,1,,,,,,,,,,,
130,26,1,38,5,,1,,2,1,,,1,,,,,1,,,
140,34,2,34,4,,1,1,1,2,,2,1,,,,,,,,
150,38,4,26,3,,,,,,,,,,,,,,,,
