"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Sordaria-type","Plantago major/P. media","Anthemis-type","Centaurea nigra-type","Ligustrum vulgare-type","Rosa-type","Pedicularis sylvatica-type","Unknown","Sporormiella-type","Gentianaceae","Cichorioideae","Potentilla-type","Lonicera periclymenum-type","Cedrus","Olea europaea","Juniperus-type","Fraxinus angustifolia-type","Plantago lanceolata-type","Ranunculus","Quercus ilex-type","Quercus pyrenaica-type","Cyperaceae","Poaceae","Pinus","Pollen concentration","Lycopodium spike","Cercophora-type","Bistorta officinalis-type","Aster-type","Erica arborea-type","Scrophulariaceae","Rumex acetosa-type","Ericaceae undiff.","Apiaceae","Populus","Paronychia-type","Artemisia vulgaris-type","Betula pubescens-type","Herniaria glabra-type","Sagina procumbens-type","Pistacia","Plantaginaceae","Secale","Calluna vulgaris","Plantago coronopus-type","Sambucus nigra-type","Sanguisorba minor-type","Viburnum lantana-type","Cistus-type","Unknown (monolete)","Brassicaceae","Poaceae (Cerealia-type)","Lotus-type","Pteridium aquilinum","Campanulaceae","Podospora-type","Viburnum opulus-type","Alnus glutinosa-type","Amaranthaceae","Arenaria serpyllifolia-type","Genista-type","Parnassia palustris","Allium-type","Cirsium-type","Rhinanthus-type","Urtica pilulifera","Unknown (trilete)","Thymelaeaceae","Urtica dioica-type","Illecebrum verticillatum-type","Spergula arvensis-type","Moehringia trinervia-type","Liliaceae undiff.","Rubiaceae","Scilla-type","Fabaceae undiff.","Hypericum perforatum-type","Sparganium erectum-type","Ulmus","Crocus","Eryngium campestre-type","Vitis vinifera","Resedaceae","Corrigiola litoralis-type","Filipendula vulgaris-type","Erica tetralix-type","Trifolium-type","Caryophyllaceae undiff.","Sedum-type","Helianthemum-type","Ophioglossum-type","Pseudoschizaea","Silene vulgaris-type","Vicia/Lathyrus-type","Rosaceae","Fagus sylvatica","Salix","Sanguisorba officinalis","Centaurea cyanus-type","Stachys-type","Polygonum aviculare-type","Phillyrea angustifolia-type","Prunus-type","Daucus carota-type","Rhamnus","Alisma plantago-aquatica-type","Hypericum elodes-type","Echium vulgare-type","Cryptogramma crispa","Crataegus-type","Bupleurum","Convolvulaceae","Sorbus-type","Seseli libanotis-type","Ilex aquifolium","Equisetum","Lythrum portula-type","Succisa pratensis-type","Heliotropium europaeum-type","Ranunculus arvensis-type","Hedera helix-type","Geranium molle-type"
-62,NA,NA,1,"13911, 2","1, 1.1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","4","4","5","6","13","14","22","31","320","61361.0546875","169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-58,NA,NA,4,"13911, 2","0.9, 1","","2","","","","1","","1","1","","3","1","","2","3","1","1","4","1","8","8","21","38","224","98157.796875","97","1","1","1","1","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-51,NA,NA,8,"13911, 2","0.9, 1","1","1","","","","","","1","39","","1","","","","","","","","1","5","3","18","129","162","46591.8671875","209","1","","","","","1","5","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-44,NA,NA,12,"13911, 2","0.7, 1","2","","1","","","","","2","11","","3","1","","","6","3","1","","2","4","6","26","110","1, 152","63754.546875","197","","","","","","5","","2","","","","","","4","1","1","1","1","1","1","1","1","1","1","2","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-38,NA,NA,16,"13911, 2","0.8, 1","","","4","","","","","","35","1","18","3","","","4","4","1","2","8","5","5","15","107","1, 127","53127.4375","199","","","","","","5","1","6","","","1","","","1","","","","","","","1","","","","","1","","4","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-31,NA,NA,20,"13911, 2","0.9, 1","1","","1","","","","","","10","","39","5","","1","5","2","2","1","","3","6","14","180","86","78050.6875","141","","","","5","1","4","2","","1","","","","","4","","","2","","","","","","","","2","","1","","","","","","","2","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-23,NA,NA,24,"13911, 2","0.9, 1","2","","2","","","","","","2","","31","1","","","3","2","2","2","7","3","10","27","145","104","62208.3125","162","1","","1","1","","5","2","","","","1","","","1","","","2","","","","","","","","","","","","2","","","","","1","","6","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-15,NA,NA,28,"13911, 2","0.9, 1","","1","4","","1","","","","3","","19","","","","3","3","1","2","5","3","4","14","169","41","93058.6953125","97","","","1","","1","9","4","3","","","2","","","8","","","3","","","","","","","","1","2","","2","2","","","","","1","","4","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-7,NA,NA,32,"13911, 2","0.8, 1","5","","","","","","","1","12","6","6","1","","","4","1","","1","2","2","3","28","110","151","49335.5234375","215","1","","","","","3","","4","","","","","","2","","1","","1","1","","","","1","1","1","","","","","","","","","1","1","","","","1","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,NA,NA,36,"13911, 2","0.9, 1","3","","","","","","","","14","","9","","","","3","3","","1","5","2","11","15","62","154","75852.1640625","108","","","2","1","","4","4","1","","","1","","","3","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
