"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Apiaceae","Pinus","Amaranthaceae","Asteraceae (echinate)","Abies","Cichorioideae","Erica","Cyperaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Cistus","Quercus canariensis/Q. pyrenaica","Alnus","Cedrus atlantica","Poaceae","Mercurialis","Ephedra fragilis","Artemisia","Centaurea","Fraxinus","Daphne gnidium","Brassicaceae","Plantago","Plumbaginaceae","Caryophyllaceae","Pistacia","Asphodelus","Helianthemum","Boraginaceae"
102,NA,NA,7,1,1,1,1,2,2,2,3,25,48,59,74,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,17,5,2,NA,NA,3,3,NA,2,3,85,40,37,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,NA,27,NA,NA,NA,1,3,2,NA,5,NA,22,51,30,129,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,NA,NA,37,7,NA,NA,7,2,NA,6,NA,34,57,54,17,98,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,NA,NA,47,NA,NA,NA,3,NA,NA,4,3,NA,54,49,8,86,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,NA,NA,53,NA,NA,NA,4,NA,NA,4,NA,6,48,38,12,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1318,NA,NA,63,NA,NA,NA,5,NA,NA,NA,NA,NA,56,45,NA,62,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1515,NA,NA,73,1,NA,NA,3,NA,NA,NA,NA,NA,19,28,NA,66,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1706,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,42,NA,76,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,NA,NA,93,6,NA,NA,2,NA,NA,NA,NA,NA,91,180,NA,182,2,11,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,5,22,40,NA,63,NA,8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
