Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acacia groupe I,Acacia groupe II,Amaranthaceae/Chenopodiaceae,Ambrosia,Artemisia,Balanites,Blepharis,Borreria,Boscia,Cadaba,Capparis,Celtis,Centaurea,Cleome,Combretaceae,Commicarpus,Commiphora,Compositae,Corchorus,Cruciferae,Cyperaceae,Ephedra,Fenestrae,Gramineae,Grewia,Hyphaene,Indetermines,Indigofera,Justicia,Lannea,Maerua,Merremia,Mitracarpus,Oldenlandia,Olea,Peristrophe,Phyllanthus,Piliostigma,Ruellia,Salvadora,Sterularia,Tamarix,Tribulus,Typha,Ziziphus
6469.471,276,,,,20,,,,,,,,,,,,,,6,,,,18,,,1064,,,,,,,,,,,,,,1,,,,,1,4,
6695.529,285,,1,,9,,1,2,,,,,,14,,,,,4,,,,78,,,583,,,,4,,2,,,,3,,,,4,,,,,,36,
6996.941,297,2,,2,28,2,2,4,2,,6,1,3,16,,4,12,,3,1,,,327,,,716,4,1,1,4,,19,4,,1,2,3,1,1,2,,2,,,1,24,
7223,306,10,2,7,28,1,1,3,,2,3,9,,65,,,72,,4,5,,,260,1,2,1326,1,1,1,7,1,3,4,1,,,1,,2,14,,,1,1,,22,
7398.824,313,9,2,,42,2,,,8,,2,,,39,,,49,,,6,,,448,3,,2424,8,,,2,,4,,,,11,2,,1,6,,,,,,62,
7599.765,321,,1,,15,,,2,,,4,,,7,1,,12,,,4,,,203,2,,793,5,,,,,,9,,,,,,,3,,5,,3,,24,
7825.824,330,2,,,4,,,2,,,,,,7,,,6,,,,,,248,3,,632,5,,,,,2,12,,,,,,,,,2,,6,,98,2
8026.765,338,,2,1,32,,3,4,2,,,7,1,,,1,10,,,4,3,,315,,,581,9,,,5,,2,10,,,,,2,,9,,1,,,,217,
8227.706,346,1,,,13,,,2,,,,,,,,,13,,,,,,209,,,463,,3,,,,,8,,,,,,1,3,,5,,1,1,82,
8453.765,355,,2,,11,,,,1,,,,,1,,,5,,1,,,,168,1,,467,2,7,,1,,1,2,,,2,,,,5,,,,,,26,
8704.941,365,,,,196,,,8,20,,22,,6,45,,,29,,,,,4,1824,4,5,2036,7,,,10,,3,1,,,,,,2,13,,9,,,,144,
8905.883,373,,,3,31,3,,1,1,,1,4,,30,,,25,,3,4,,,260,2,,470,,1,,,,5,5,,3,8,,,,4,1,,,,1,79,
9147.255,381,,,,20,2,,,,,,,5,4,,,8,,,4,,,197,,3,398,3,,,,,,5,,,4,,,,4,,6,,,,128,
9394.404,389,2,,,8,1,,,,,,,,1,,,,,,1,,,107,,,193,,,,,,,2,,,,,,,2,,1,,,,41,
9641.553,397,,,,9,,,1,,,,,,8,,,,,,,,,78,,,387,,,,2,,,,,,4,,,,2,,1,,,,228,
9981.383,408,3,,1,20,,,4,,2,4,,,,,5,,,4,,,,405,,,501,3,,,2,,3,,,,,,2,1,8,,1,,1,,113,
10228.53,416,4,,,18,,,,,4,5,,,3,,1,,,4,2,,,232,2,4,498,5,,,,,4,1,,,,,,,3,,3,,,,282,
0,426,,,,33,,,1,,1,,,,9,,,4,,,5,,,293,,1,613,2,,,3,,5,,,,,3,,,,,,,,,143,
0,435,,,,63,,,,1,,,,,5,,,,,,1,,,262,1,,340,1,,,,,,,,1,,,,,,,,,,,115,
0,459,,,,23,,,8,,,,,,,,,,,,3,,,392,3,1,318,,,,,,4,,,,,,,,,,1,,,,161,
0,464,,,,31,,,1,,,3,2,1,6,,,,,,2,,,355,,,272,,,,3,,,4,,,,,,,,,,,,,92,
0,470,,1,,55,,,3,,1,1,,,3,,,,1,,,,1,427,1,,286,,1,1,,,,,,,,,,,,1,,,,,141,
0,476,2,,1,11,,,4,,,,,2,,,,,,,2,,,205,2,,335,,,,,,1,1,,,,,,,,,,,2,,27,
