"age_NA","ageolder_BP","ageyounger_BP","depth","Corylus","Ulmus","Alnus","Ostrya/Carpinus orientalis-type","Varia","Polypodiaceae","Polypodium vulgare","Artemisia","Cichorioideae","Cyperaceae","Indeterminable","Juglans","Brassicaceae","Fallopia convolvulus-type","Caryophyllaceae","Asteroideae","Cupressaceae","Poaceae","Pinus","Amaranthaceae","Phillyrea","Plantago lanceolata-type","Aspiromitus punctatus","Ephedra fragilis-type","Anemone-type","Anthoceros laevis","Malvaceae","Geranium-type (reticulate)","Pteridium","Geranium-type (striate)","Fagus","Ranunculus acris-type","Poaceae (Cerealia-type)","Ophioglossum","Vitis","Quercus pubescens/Q. robur-type","Olea-type","Betula","Polygonum aviculare-type","Sparganium-type","Knautia arvensis-type","Apiaceae","Rubiaceae","Anogramma","Triticum-type","Erica","Plantago sp.","Quercus ilex/Q. coccifera-type","Fraxinus ornus","Carpinus betulus","Ephedra distachya-type","Erodium-type","Salix","Pistacia","Rosaceae","Caltha","Hedera","Plantago coronopus-type","Fraxinus excelsior-type","Ericaceae","Arbutus","Platanus","Pteris","Dryopteris"
NA,NA,NA,3,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,5,7,13,15,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16,28,2,6,NA,9,1,14,15,16,20,14,11,NA,2,3,17,NA,73,6,20,1,2,2,3,4,4,7,7,7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,1,NA,3,NA,1,NA,4,3,5,31,14,19,9,NA,3,3,2,63,36,22,7,1,1,NA,1,NA,1,1,4,NA,1,1,2,2,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,2,1,NA,NA,4,6,9,6,12,19,49,18,12,NA,37,14,1,146,84,84,NA,1,1,NA,NA,NA,28,7,45,NA,1,6,5,NA,NA,2,6,1,1,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,9,1,10,NA,3,NA,3,7,15,18,14,9,2,2,NA,1,NA,69,33,110,NA,1,NA,1,2,1,24,6,4,NA,1,NA,NA,NA,1,6,2,8,NA,NA,NA,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,6,2,8,NA,12,2,3,20,8,20,6,9,NA,NA,2,5,NA,69,4,127,NA,1,NA,NA,1,2,35,NA,3,NA,NA,15,NA,NA,1,5,6,NA,1,NA,NA,2,1,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,18,7,2,6,NA,2,13,8,57,68,80,30,1,3,NA,12,30,3,144,127,23,NA,1,1,NA,1,5,3,NA,130,NA,NA,1,1,NA,NA,12,4,2,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,2,4,12,7,13,NA,NA,11,12,43,50,3,9,3,4,32,27,34,17,164,2,1,NA,1,7,NA,1,NA,43,NA,NA,NA,2,NA,3,11,5,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9,8,2,2,NA,12,2,9,41,6,27,23,7,2,NA,4,7,1,49,9,126,NA,1,5,NA,10,NA,16,1,15,NA,NA,1,2,1,1,4,7,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,7,4,9,NA,7,2,4,10,28,77,28,12,9,NA,6,13,21,95,25,74,1,NA,4,NA,5,NA,16,2,416,NA,NA,1,3,1,250,9,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,NA,NA,NA
NA,NA,NA,1,33,NA,4,2,11,5,6,11,28,16,36,34,42,3,7,23,20,195,60,145,3,3,1,NA,7,NA,10,1,36,NA,NA,1,NA,1,11,10,12,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
