"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudoschizaea","Caryophyllaceae","Euphorbia","Salix","Thalictrum","Vitis","Fabaceae","Juglans","Polygonum","Convolvulus","Unknown (trilete)","Unknown (monolete)","Betula","Corylus","Fagus","Rumex","Alnus","Artemisia","Ericaceae","Quercus ilex-type","Sparganium-type","Phillyrea","Quercus robur-type","Pistacia","Cichorioideae","Apiaceae","Pinus","Amaranthaceae","Cyperaceae","Poaceae","Asteroideae","Plantago","Olea","Lamiaceae","Carpinus","Thymelaea","Poaceae (Cerealia-type)","Juniperus","Ranunculaceae","Ephedra","Myriophyllum","Asphodelus","Persicaria amphibia","Buxus","Ulmus","Fraxinus","Typha latifolia-type","Tilia","Hedera","Geraniaceae","Abies","Helianthemum","Malva","Rubiaceae","Nymphaea","Monocotyledoneae","Zygnemataceae","Cistus","Dinoflagellata","Cannabaceae","Brassicaceae","Ligustrum","Rhamnus","Epilobium","Acer","Rosaceae","Lygeum-type","Poterium sanguisorba","Scabiosa"
3936,4537,3316,615,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,7,7,8,9,9,10,11,11,11,13,17,19,19,22,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4149,4673,3608,660,1,NA,NA,NA,2,NA,NA,NA,2,NA,3,NA,NA,4,NA,NA,2,4,3,10,3,2,9,13,7,16,7,23,16,21,20,23,132,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4362,4808,3898,705,4,2,NA,NA,NA,3,NA,NA,3,NA,1,NA,NA,6,3,1,6,4,7,9,6,5,9,8,6,12,13,6,35,23,16,34,123,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4574,4945,4187,750,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,1,NA,3,6,10,2,3,8,10,2,7,11,13,24,28,9,6,93,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4787,5085,4474,795,1,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,1,1,NA,2,2,1,2,7,2,1,2,4,14,3,11,6,14,29,15,17,93,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5047,5262,4816,850,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,4,1,NA,1,11,5,7,NA,NA,7,14,7,21,4,7,6,11,13,14,158,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5094,5296,4877,860,3,1,NA,NA,NA,NA,5,1,NA,NA,3,NA,2,18,2,1,7,3,15,9,14,NA,6,6,5,23,2,6,19,14,27,11,239,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141,5331,4938,870,7,2,NA,NA,NA,NA,NA,NA,8,NA,17,2,1,6,2,3,2,6,5,9,11,NA,3,3,6,17,2,3,6,19,39,29,78,NA,NA,3,NA,NA,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5188,5367,4998,880,2,1,NA,NA,NA,1,4,NA,9,NA,7,1,NA,5,NA,2,4,2,4,4,11,NA,1,NA,6,24,9,4,14,28,42,42,89,NA,NA,2,NA,1,NA,7,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5236,5404,5057,890,4,2,NA,NA,NA,1,3,NA,1,NA,9,1,1,1,NA,1,3,4,1,6,6,NA,6,1,3,14,NA,4,5,15,27,31,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
