"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Crassulaceae","Vitis","Acer","Juniperus-type","Polygala","Astragalus-type","Juglans regia","Teucrium","Sideritis","Gelasinospora","Salix","Bupleurum","Scabiosa","Berberis","Alchemilla","Armeria-type","Thalictrum","Typha angustifolia","Ephedra fragilis-type","Lamiaceae (hexacolpate)","Helleborus foetidus","Indeterminable (unknown)","Botryococcus","Mougeotia","Ononis-type","Bryophyta (trilete)","Ulmus","Juncus","Asteroideae","Spirogyra (psilate)","Artemisia","Cyperaceae","Prunus-type","Helianthemum","Centaurea nigra-type","Quercus (evergreen)","Lamiaceae (tricolpate)","Brassicaceae","Rhamnus","Pinus pinaster","Riccia cf. R. sorocarpa (type 165, HdV)","Spirogyra (type 132, HdV)","Cichorioideae","Lamiaceae","Plantago lanceolata-type","Poaceae","Quercus (deciduous)","Fungi undiff.","Genista-type","Amaranthaceae","Polyadosporites","Asteraceae","Zygnema","Fraxinus angustifolia-type","Zygnemataceae","Fallopia convolvulus/F. dumetorum","Charcoal","Pinus nigra-type","Lycopodium spike","Alnus","Primula","Olea","Pteridophyta (monolete)","Pistacia","Daphne","Fungi","Pteridium aquilinum","Paronychia-type","Hypecoum","Betula","Pedicularis","Rubiaceae","Papaver","Poaceae (Cerealia)","Unknown (type 128, HdV)","Erica arborea","Allium-type","Closterium","Taxus","Erodium","Asphodelus","Arbutus","Corylus","Liliaceae","Phillyrea","Fabaceae","Cistus","Ephedra major subsp. major","Adiantum capillus-veneris","Pseudoschizaea","Polypodium","Cheilanthes"
97.8,NA,NA,1,37,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,6,6,9,10,10,10,10,10,10,11,11,13,13,13,15,16,16,16,16,17,17,17,18,20,20,25,45,63,74,116,135,272,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475.6,NA,NA,4,52,4,1,4,1,6,NA,NA,2,4,1,1,2,NA,NA,11,NA,NA,3,3,1,2,1,9,NA,2,9,12,3,6,2,4,2,15,3,2,8,8,31,12,8,7,2,65,2,38,14,21,10,62,24,4,21,4,52,58,123,105,88,303,16,1,1,1,1,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743.7,NA,NA,8,50,13,NA,3,NA,1,NA,NA,NA,6,NA,NA,2,NA,1,6,NA,NA,1,NA,4,1,NA,21,3,NA,2,23,2,NA,11,1,11,12,8,NA,8,16,3,NA,1,10,2,8,21,10,7,36,4,36,18,6,20,32,40,56,49,138,169,120,32,NA,NA,NA,1,2,NA,NA,NA,NA,6,1,1,1,1,3,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840.3,NA,NA,10,34,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,7,NA,32,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,17,NA,NA,93,1,2,NA,3,3,24,18,NA,18,78,54,103,38,NA,NA,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,80,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040.3,NA,NA,14,47,2,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,21,NA,NA,27,NA,14,NA,NA,2,NA,NA,2,5,NA,NA,1,1,38,2,NA,130,NA,2,NA,13,NA,65,NA,2,1,55,109,89,41,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,89,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253.6,NA,NA,18,20,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,9,6,NA,NA,15,NA,NA,26,NA,18,NA,NA,NA,NA,2,NA,NA,NA,NA,14,NA,31,NA,NA,86,3,2,NA,12,2,57,NA,NA,NA,34,62,104,36,NA,NA,NA,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364.3,NA,NA,20,43,16,NA,NA,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,17,2,NA,NA,4,NA,NA,16,1,21,6,NA,NA,NA,11,1,6,2,NA,22,2,23,3,NA,122,17,2,NA,5,NA,39,11,8,14,30,113,142,24,NA,NA,NA,11,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,79,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,NA,NA,22,36,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,2,NA,NA,8,12,2,17,NA,NA,NA,18,NA,1,NA,2,26,10,17,NA,NA,18,7,2,NA,4,21,25,54,16,76,59,66,170,40,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583.2,NA,NA,24,32,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,9,6,7,1,12,NA,NA,8,37,11,34,NA,NA,NA,33,NA,NA,NA,2,14,47,18,NA,NA,31,9,NA,NA,8,18,26,211,14,302,77,77,213,22,1,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,26,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,NA,NA,28,31,5,NA,NA,NA,7,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,1,NA,2,6,NA,11,NA,1,1,11,NA,NA,8,41,13,14,3,NA,NA,49,4,1,NA,6,7,29,11,13,NA,51,13,NA,NA,13,29,19,100,12,171,50,80,223,32,1,NA,NA,12,2,NA,7,NA,NA,NA,1,NA,NA,NA,NA,12,20,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2339.8,NA,NA,30,31,14,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,NA,NA,15,NA,2,7,14,NA,NA,8,33,17,8,2,NA,NA,26,NA,13,4,17,4,18,12,NA,NA,36,27,NA,NA,9,10,20,78,10,131,31,100,248,18,1,NA,NA,2,NA,9,8,NA,1,NA,1,NA,NA,NA,NA,19,18,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
2425.5,NA,NA,32,44,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,4,NA,NA,NA,12,NA,1,7,8,16,8,NA,NA,NA,3,NA,7,3,13,8,8,4,NA,NA,19,2,NA,NA,4,6,11,20,6,36,103,91,234,32,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2510.5,NA,NA,34,28,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,3,11,NA,NA,10,NA,5,18,NA,2,NA,3,NA,21,NA,12,5,7,4,NA,NA,16,6,NA,NA,NA,7,14,42,5,49,50,89,221,46,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
