depth,age MA BP,Indigofera*,Entada*,Olea capensis,Justicia flava*,Rhus* natalense,Pteridophyte trilete,Ilex mitis,Hymenodictyon floribundum,Celastraceae,Hallea* rubrostipulata,Dombeya*,Allophylus,Shirakia* elliptica,Maerua*,Fabaceae,Tamarindus,Apiaceae,Vernonieae,Justicia* odora,Alchemilla,Commiphora africana,Podocarpus,Cornulacca,Artemisia,Ericaceae,Thymeleaceae,Combretaceae,Erhetia,Acacia III,Cyperaceae,Aphania* senegalensis,Lannea*,Monocotyledonae,Prunus africana,Nyctaginaceae,Euphorbia,Acanthaceae,Poaceae,Ekebergia*,Aerva* lanata,Acanthus*,Typha,Rubiaceae,Helioptropium steudneri*,Moraceae,Croton*,Rhamnaceae,Pteridophyte trilete botrychium,Acacia I,Balanites aegyptiaca*,Achyranthes* aspera,Hirpicium*,Asteraceae cichoriae,Phyllanthus* amarus,Nuxia/Dobera,Sterculia,Digera muricata,Faidherbia albida,Cyphostemma*,Onagraceae,Myrtaceae,Ficus,Borassus* includes Hyphaene,Capparis fascicularis*,Sapindaceae,Solanum,Barleria,Albizia,Cruciferae,Syzygium guineense,Tribulus,Olea europaea ssp. africana,Alchornea,Celosia* trigyna,Abutilon*,Cissus* quadrangularis,Cyathula* orthocantha,Chrystiana africana,Acalypha,Sapotaceae,Clematis,Suada* monoïca,Paronychia*,Amaranthaceae,Pistacia,Bridelia ferruginea,Plantago lanceolata,Diospyros,Celtis,Caucanthus,Laurembergia,Commelina* benghalensis,Ipomoea*,Macaranga,Trichilia,Hypoestes*,Convolvulus*,Justicia* anselliana,Euclea,Rhizophora,Asteraceae tubuliflorae,Aloe*,Zanthoxylum* usambarense,Pentadesma,Pteridophyte monolete,Asystasia,Buxus hildebrandtii,Tamarix,Plantago africana*,Hymenocardia,Polycarpaea*,Juniperus procera,Chenopodium,Stoebe kilimandscharica,Dodonaea viscosa,Phoenix reclinata,Not determined,Salvadora* persica,Lantana* ukambensis,Anthospermum,Loranthaceae,Vepris* nobilis,Boscia*,Anthocerotaceae,Pavetta,Rumex,Dichrostachys cinerea,Delonix elata,Ephedra,Anogeissus,Hagenia abyssinica,Polygala*,Myrica,Pteridophyte Lygodium,Tiliaceae,Cassia didymobotrya,Pinus,Urticaceae,Mallotus* oppositifolius,Carduus*,Centaurea*
79.99,1.652241272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
80.67,1.665939172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
84,1.733018596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,18,0,1,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86.01,1.773507978,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
87.39,1.801306659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,31,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.48,1.923983443,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96.01,1.97494769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,11,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98.39,2.022890342,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104.47,2.145365687,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,19,0,0,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
107.01,2.196531374,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
