Depth (cm),Acacia,Alchornea,Alnus,Anthocerotaceae,Artemisia,Barleria,Blepharis,Borreria,Caesalpinioideae,Capparis,Cassia,Celtis,Cf Batopedina,Cf Cordia,Cf Crudia,Cf Maesa,Cf Oligocodon,Cf Syzygium,Chenopodiaceae/Amaranthaceae,Cissus,Cleistanthus,Commiphora,Cruciferae,Cupressaceae,Cyperaceae,Dodonaea,Ebenaceae,Echium,Elaeis guineensis,Ephedra,Euphorbia,Fagonia,Gomphrena,Gramineae,Heliotropium,Hymenodictyon,Hyphaene,Ilex,Indetermines,Ipomaea,Lannea,Liguliflorae,Lippia,Macaranga,Maerua,Malpighiaceae,Palmae,Papilionoideae,Peristrophe/Hypoestes,Phoenix,Phyllantus,Pinus,Plantago,Polycarpaea,Pteridophytae,Quercus,Rhizophora,Salix,Salvadora persica,Sapotaceae,Tamarix,Tribulus,Tubuliflorae,Typha,Urticaceae,Vernonia,Xeromphis
201,,1,,,,,,,,,,1,,,,,,1,14,,,,,,32,,,,,1,,,,69,,,,,8,,,3,,,1,,,,,,,,,,3,,2,,,,,,2,2,18,,
401.000031,,,,,,1,,,,,1,,,,,,,1,28,,,,,,31,,,,1,5,,,,75,,,1,,9,,,,,,,1,,,,,,,,2,4,,6,,,,,,1,1,33,,
500,,,,,,,,,,,,1,,,,,,,13,,,,,1,25,,,,,5,1,,,79,,,,,5,,,,,,,,,,,,1,,,2,5,,1,,,,,,1,2,18,,
550,,,,1,,,,,,,,3,,,,1,,,19,,,,,2,50,1,,,,9,,,,73,,,,,8,,,,,,1,,,,,,,,,1,,,1,,,1,,,,1,28,,
710,,2,,,,,,1,,1,,4,,,,,,2,18,,,,,,26,,1,,,8,1,,,57,,,,,11,1,,,,,,,,,,,,1,,,2,,4,,,,,,1,,26,,
800,,,,,,,,,,,,1,2,,,,,,13,,,2,,2,17,1,,2,,2,,,,58,,,,1,,,,,,,,,1,,,,,,,1,13,2,3,,1,,,,1,1,17,,1
875,,,,,,,1,,,,1,1,,,,,,2,13,,,,,,36,,,,,6,,,,79,,,,,7,,,,,,,,,1,1,,,,,,4,,2,,1,,,,1,2,19,,
914.000061,,,,,,,,,,,,2,,1,,,,1,8,,,,,,41,,,,,12,1,2,,56,,,,,1,,,,,,,,,,,,,,,,4,,4,,,,,,2,,22,,
978,,1,,,,,,,,,,,,,,,,1,3,,,,,,17,1,,,,3,1,,,74,,,,,3,,,,,,,,,,,,,,,,3,,9,,,,,,1,1,6,,
1064,,1,,,,,,,,,,5,,,,,,1,16,,,1,,,48,1,,,,12,2,,,105,,1,,,9,,,1,,1,,,,,,,,,,1,6,,11,,,,1,,2,1,30,,
1169,,1,,1,,,,,,,,4,,,,,,2,12,,,,,,25,,,,,2,,,,90,,,1,,5,,,,,,,,,,,,,,,,4,,6,,,,1,,1,1,14,,
1219,1,,,,,,,,,,,2,,,2,,,,15,,,,,1,20,,,,,4,,1,,44,,,,,1,,,,,,3,,1,,,1,,,1,,6,,,,1,,,,1,1,21,,
1319,,,,1,,,,,,,,,,,,,,,7,,,,,,45,,,,,2,,,,104,,,,,2,,,2,1,,,,,,,2,,1,,,24,,7,,,,2,,,,11,,
1375,2,,1,,,,,,,,,3,,,,,,,28,,,1,2,,24,,,,,2,1,,,126,,,1,,9,,,1,,2,1,,,,,,,1,,,3,,4,,,,,,3,1,33,,
1434,,,,,,1,,,1,,,,,,,,,1,5,1,,,,,26,,,,,4,,,1,50,1,,,,2,,1,,,2,,,,,,,,,,,3,,9,,,1,,,,,9,,
1519,,,,,,,,,,,,,,,,2,1,,4,,,,,1,38,,,,,10,,,,94,,,,,1,,,,,2,,,,,,,,,1,,12,,10,,2,,,1,1,2,15,2,
1591,,,,,,,,,,,,,,,,,,,34,,,,,,27,,,,,1,,,,68,,,,,5,,,,,,,,,,,1,,,,1,8,,1,,,,,,2,,35,,
1670.000122,,,,,,,,,,,,3,,,,,,,16,,,,,1,24,,,,,3,,,,72,,,,,6,,,,,,,,,,,,,,,2,5,,4,1,,,,,2,,19,,
1744,,1,,1,,,,,,,,2,1,,,,,,15,,1,,1,3,44,,,,,1,,,,72,,,,,1,,,,,1,,,,,,,,,,1,17,,4,,1,,,,2,,17,,
6419,,,,,,,,,2,,,,,,,,,,5,,,,,1,14,,,,,,,,,86,,,,,4,,,1,,,,,,,,,,,,,6,,29,,,,,,2,,6,,
15050,,1,,,1,,,,1,,,1,,,,,,,10,,,,,2,12,,,,,1,1,,,49,,,1,,7,,,,,,,,,1,,,1,2,,,2,,36,,1,,,,1,,11,,
