"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Polygonum","Vitis","Pinus","Caryophyllaceae","Olea","Amaranthaceae","Quercus canariensis/Q. pyrenaica","Quercus ilex/Q. coccifera","Erica","Cupressus","Apiaceae","Cyperaceae","Asteraceae (echinate)","Helianthemum","Cistus","Alnus","Valerianella","Cichorioideae","Lamiaceae","Daphne gnidium","Ephedra fragilis","Cedrus atlantica","Artemisia","Brassicaceae","Rhamnus","Betula","Asphodelus","Poaceae","Centaurea","Salix","Cannabis","Myrtaceae","Scabiosa","Fraxinus"
0,NA,NA,4,2,8,12,15,22,30,39,40,47,50,69,125,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,14,2,NA,3,2,7,6,9,12,17,23,36,60,43,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,24,5,5,1,5,11,10,6,5,48,57,43,193,63,5,19,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,34,5,1,NA,NA,5,2,6,NA,22,23,23,118,29,NA,8,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,44,NA,1,NA,NA,NA,6,2,6,47,19,16,61,35,NA,9,3,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,54,7,1,NA,NA,20,10,11,20,54,24,23,27,45,NA,12,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,64,19,NA,2,13,50,10,33,54,65,39,54,69,67,6,28,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,79,16,NA,NA,6,24,11,36,61,63,28,85,40,54,NA,17,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,NA,NA,89,18,1,NA,9,16,13,9,21,55,24,15,43,43,1,15,NA,NA,1,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,NA,99,4,1,NA,3,9,5,28,41,59,40,31,47,53,3,30,NA,NA,6,NA,NA,11,1,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,NA,109,31,7,3,4,26,11,51,48,48,45,33,15,63,2,24,NA,NA,35,NA,NA,15,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,119,11,5,NA,15,9,9,30,24,60,40,34,20,72,NA,15,NA,NA,9,NA,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,NA,129,27,NA,1,NA,6,27,24,19,49,14,27,23,60,2,17,NA,NA,NA,NA,NA,3,NA,15,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,NA,NA,139,10,NA,NA,7,13,15,31,24,35,14,24,10,46,NA,40,NA,NA,3,NA,NA,NA,NA,16,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,NA,NA,149,27,NA,NA,17,8,9,52,23,35,29,24,11,26,1,24,NA,NA,2,1,NA,3,NA,50,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,NA,159,3,NA,NA,7,9,27,42,29,8,40,42,15,52,4,6,NA,NA,NA,NA,2,NA,NA,28,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
