sample_name,depth,Triletes,Aerva-type javanica,Monoletes,Combretum-type molle,thickness,Hagenia abyssinica,Rananculus oreophytus-type,Dodonaea viscosa,Cyperaceae,Cruciferae,Amaranthaceae,Olea africana,Euphorbia hypericifolia,Caryophyllaceae,Ericaceae,Clematis,Plantago africana-type,Alchemilla,Chenopodiaceae,Tubuliflorae,Gramineae,Uebelinia-type,Celastraceae,Papilionoideae,Plantago lanceolata,Celtis africana-type,Barbeyaceae,Podocarpus,Umbelliferae,Euclea,Juniperus procera,Monocotyledoneae,Olea hochstetteri-type,Ilex mitis,Rumex,Anthospermum,Helichrysum-type,Schefflera volkensii,Syzygium,Urticaceae,Lythrum,Cerastium octandrum,Euphorbia-type,Combretaceae,Teclea-type,Macaranga kilimandscharica,Cussonia,Balanites aegyptiaca-type,Pappea capensis,Indetermines,Myrica salicifolia,Prunus africana,Allophylus,Celosia-type trigyna,Artemisia,Acalypha,Basilicum-type polystachyon,Plantago coronopus-type,Celosia-type argentea,Trifolium-type acaule,Crepis-type,Cerastium afromontanum-type,Ricinus communis,Xyris,Vernonieae,Digera-type muricata,Gentianaceae,Commiphora africana-type,Myrsine africana,Apodytes dimidiata,Thalictrum,Swertia lastii-type,Rubus pinnatus-type,Typha,Pentanisia-type ouranogyne,Hebenstreitia dentata,Polyscias fulva,Laurembergia tetrandra,Silene-type burchellii,Tribulus,Liguliflorae,Nuxia
,0,1,1,7,1,1,18,5,2,691,3,2,5,1,5,27,3,1,132,2,3,30,2,1,9,2,1,1,50,2,2,11,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,1,,1,15,,9,597,,,11,,,20,,,82,4,3,38,,,,,1,,25,,4,5,7,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,1,5,,9,683,,2,7,,,41,,,116,,14,45,,1,1,,,,43,10,,19,,,,,,,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,1,,1,11,,3,326,,1,13,,1,17,,,69,,2,35,,,,,,,17,2,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,1,13,,4,637,,2,8,,,34,,,101,,7,52,,,,,1,,23,4,,18,,,,2,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,2,,2,,1,16,,1,891,,4,14,,1,70,,,162,2,16,80,,,1,,1,,58,2,1,23,9,,,2,2,,,,,,,,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,1,,1,6,,3,324,,,9,,2,52,,,52,,3,43,,,1,,,,11,6,,5,5,,,,,,,,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,,,,1,4,,1,329,,,8,,,33,,,46,,2,35,,,,,1,,8,1,,5,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,1,,1,1,,,224,,,1,,,32,,,26,,3,21,,,1,,,,4,4,,5,3,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,,3,,1,,,,214,,1,1,,,31,,,35,,3,34,,,,,,,7,10,1,2,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,,,,1,2,,3,287,,1,4,,,73,,,40,,4,19,,,,,,,15,2,,5,8,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,,1,,1,5,,1,577,3,3,10,,2,88,,,76,,9,63,,,4,,3,,27,,2,4,73,,,2,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,,,,1,4,,,422,,1,4,,,61,1,,44,,3,35,,1,1,,,,13,5,,2,13,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,,,,1,,1,3,341,,1,3,,,70,,,51,,3,20,,,3,,,,13,7,,2,8,,,,,,,,,,4,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,,,,1,1,,,244,,,1,,,49,,,35,,5,15,,,,,,,7,,,4,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,,1,1,,,229,,,2,,,77,,,9,,5,21,,,5,1,,,6,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,,,,1,3,1,4,218,,,,,,60,,,26,,16,17,,,1,,,,21,6,,2,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,,1,,1,4,,1,272,,1,3,,,63,,,32,,16,37,,,4,,2,,16,3,,3,1,,,,,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,,1,3,,2,254,,1,,,1,52,,,28,,10,26,,,,,,,24,4,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,1,3,,1,9,7,1,335,7,2,1,,,30,1,,68,,13,26,,,2,,,,30,2,,1,6,,,1,,,2,,,,3,,1,,,,,,1,,,,,,,,2,1,4,1,,,,,,,,,,,,,,,,,,,,,
,42,1,,,,1,3,,3,363,,1,4,,,112,,,77,,21,48,,,4,,,,24,4,,4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
