Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe i,Acacia groupe iii,Achyranthes aspera,Adansonia digitata,Adenia-type,Aerva javanica-type,Aerva lanata-type,Aizoaceae/Ficoidaceae,Alchornea,Allophylus africanus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Ammannia-type,Anacardiaceae,Anthocerotaceae,Anthocleista,Anthostema senegalense,Antidesma venosum,Aphania senegalensis,Artemisia,Ascolepis,Asparagus-type,Blighia sapida,Bridelia micrantha,Canthium-type,Capparis tomentosa-type,Caryophyllaceae,Cassia-type,Cayratia-type,Ceiba pentandra,Celastraceae,Celosia argentea,Celosia trigyna,Celtis integrifolia,Centaurea perrottetii-type,Chrysobalanus/Parinari,Cissus-type,Cocculus pendulus,Cochlospermum,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Commelina forskalaei-type,Commiphora,Commiphora africana,Convolvulaceae,Cordia,Crossopteryx-type,Cyperaceae,Detarium,Dialium guineense,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Ephedra,Eriocaulon-type,Erythrococca africana,Euphorbia,Euphorbia hirta-type,Euphorbiaceae,Ficus,Galiniera-type,Galium-type,Garcinia,Gardenia,Gardenia imperialis,Gentianaceae,Gramineae,Harungana madagascariensis,Hemizygia bracteosa,Hibiscus-type,Hymenocardia,Indeterminables,Indetermines,Ixora brachypoda-type,Jussiaea-type,Justicia striata-type,Kohautia,Landolphia-type,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Liguliflorae,Lophira alata,Lotus arabicus-type,Lycopodiaceae,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Mallotus,Maytenus senegalensis,Merremia-type,Micrococca mercurialis,Mitracarpus villosus,Mitragyna inermis-type,Monocotyledonae,Monoletes,Moraceae,Myrianthus serratus,Myrtaceae,Naucleae,Nymphaea lotus-type,Ormocarpum-type,Pancovia bijuga,Papilionaceae,Phoenix reclinata-type,Phyllanthus,Phyllanthus amarus-type,Phyllanthus reticulatus-type,Polycarpaea,Polycarpon prostratum,Polygonum senegalense-type,Potamogeton,Priva-type,Prosopis/Entada,Pteridophyta indeterminees,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rumex,Salacia senegalensis,Salix,Salvinia,Sapindaceae,Sapium,Sapotaceae,Scrophulariaceae,Securinega virosa,Solanaceae,Solanum-type,Spermacoce radiata-type,Spermacoce-type,Sphenoclea,Sterculia-type,Syzygium,Tabernaemontana-type,Tamarix senegalensis,Tapinanthus-type,Tetracera alnifolia,Tiliaceae,Tinospora bakis,Treculia africana,Trema,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vahlia,Vitex doniana,Ximenia americana,Xyris-type,Zanthoxylum,Zanthoxylum zanthoxyloides
449.771,1,,,,,,,,,49,,,4,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,1,3,1,,,,,,,476,,,,,,3,,,,,,,2,,,,,,,471,,,,,7,2,2,,,,,3,2,,2,,,,2,,1,,,,,11,,,549,,,,,,,,,3,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,3,,,,17,,,,3,,,,,,,1,1,20,2,,,,,,,,1
690.2977,28,,1,,1,,,1,,5,,,3,1,,,,,,,,,2,,,,,,,,,,,,1,2,,,,,,1,,3,,,,1,,,,624,1,,1,,,,,,,,,,,,,,,,,84,,,,,3,,,,,,,2,1,,,,,,,,,,,,,4,1,,27,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,1,,3,,,,,,,,2,3,,,,,,,,,
966.458,59,,1,,,,,4,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,507,,,,,,,,,,,,,1,,,,,,,109,,,,,,,,,,,,2,2,,,,,,,3,,,,,,3,2,,134,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,1,1,,,,,,,,2
1144.626,79,,1,,,,,1,,18,1,,3,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,,,,696,1,,,,1,1,,,,,,,,,,,,,,54,,,,,,2,,,,,,1,1,,,,,,,1,,,,,,12,1,,301,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,8,1,,,14,,,,3,,,,,,,4,,,,,,,,,,,1
1322.794,99,,,,,,,3,,1,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,310,,,,,,2,,,,,,1,,,,,,,,85,,,,,,1,13,,,,1,,1,,,,,,1,,,,,,,2,,,312,,,,,1,,,,,,,,1,,,,,,,,,,1,9,,,,,1,,,,,,,5,,,,5,,,,1,,,,,,,,3,1,,,,,,,,,
1500.962,119,,,,,,,3,,2,1,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,458,1,,,1,2,,,,1,,,,,,,,,,,47,,,,,4,1,,,,,,1,,,,,,,1,,,,,,,12,,,189,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,
1679.13,139,,,,,,,2,,5,,,1,,,1,5,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,127,1,,,,1,,,,,,,16,1,,8,,,,,1,,,,,,1,3,,455,,,,,,,,,,11,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,16,,,,3,,,,,,,1,1,1,,,,,,,,,10
1857.298,159,,,,,,,2,,3,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,483,1,,,,,,,,,,,,,,,,,,,103,,,,,4,,,,,1,,1,,,,,,,1,2,,,,1,,1,,,103,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,20,,,,1,1,,,,,,,,,,,,,,,,,
2035.466,179,1,,,,,,1,,1,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,441,,,,,,,,,2,,,,1,2,,,,,,57,,,,,,5,,,,1,,4,,,,,,,,2,,,,,,,,57,81,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,3,1,,,,,,,,1
2203.608,199,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,186,,,,,,1,,,1,,,,,,,,,,,15,,,1,,3,,,,,,,1,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,1,,,,,,,,3,,,,,,,,,,
