"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Apiaceae","Vitis","Acer","Liliaceae","Lamiaceae","Rosaceae","Lysimachia","Persicaria maculosa-type","Galium-type","Buxus","Phillyrea","Artemisia vulgaris-type","Centaurea solstitialis-type","Matricaria-type","Paliurus","Ranunculus repens-type","Nymphaea","Typha latifolia","Potamogeton","Plantaginaceae","Vicia-type","Olea","Scrophularia/Verbascum","Thymus/Mentha","Poterium sanguisorba","Polypodium","Corylus","Cichorioideae","Lythrum","Fabaceae","Juglans","Plantago lanceolata-type","Rumex acetosa-type","Humulus/Cannabis","Poaceae (Cerealia-type)","Fraxinus ornus","Fagus","Brassica-type","Lotus-type","Polygonum aviculare-type","Salix","Quercus coccifera-type","Cladium mariscus","Pteridium","Platanus","Artemisia herba-alba-type","Amaranthaceae","Juniperus","Ostrya/Carpinus orientalis","Sparganium-type","Dryopteris-type","Pinus","Quercus robur-type","Castanea","Poaceae","Cyperaceae","Betula","Boraginaceae","Potentilla-type","Lemna","Helianthemum","Convolvulus","Hedera","Capsella-type","Solanum dulcamara","Ranunculus sect. Batrachium-type","Equisetum","Pediastrum duplex","Caryophyllaceae","Ericaceae","Carpinus betulus","Plantago coronopus-type","Pistacia","Urtica dioica-type","Hypericum perforatum-type","Pseudopediastrum boryanum","Asteroideae","Myriophyllum spicatum/M. verticillatum","Alnus","Campanula-type","Filipendula","Clematis-type","Fraxinus excelsior","Trifolium-type","Rumex acetosella","Ulmus","Caltha","Polygonaceae","Xanthium","Menyanthes trifoliata","Thalictrum","Rumex hydrolapathum","Bupleurum-type","Centaurea cyanus-type","Plantago media-type","Picea","Verbena","Papaver","Centaurea scabiosa-type","Helleborus","Matthiola","Rhinanthus-type","Plantago maritima-type","Ophioglossum","Rhamnaceae","Tilia","Valeriana","Theligonum","Sambucus nigra-type","Celtis","Fagopyrum","Scrophulariaceae","Populus","Myriophyllum alterniflorum","Artemisia","Euphorbia","Ranunculaceae","Anemone","Teucrium","Valerianella","Alisma","Loranthus","Stachys-type","Linum","Knautia","Aconitum-type","Lomelosia rotata-type","Cousinia","Dipsacoideae","Ephedra fragilis-type","Noaea-type","Oleaceae","Isoëtes","Viburnum-type","Allium","Brassicaceae","Asphodelus","Taxus","Cornus sanguinea","Geranium","Centaurea","Iris","Cirsium/Gundelia","Ephedra distachya-type"
85,568,-388,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,8,11,14,14,15,25,35,54,55,59,76,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,801,-86,20,2,2,5,1,NA,NA,NA,2,NA,5,1,1,14,NA,2,1,1,46,4,48,NA,1,2,1,1,2,NA,15,1,1,1,8,25,11,7,7,11,25,2,1,3,8,8,80,NA,7,17,14,27,43,55,NA,47,90,8,285,115,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,10,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,955,114,30,1,2,NA,1,NA,NA,1,NA,NA,2,NA,NA,6,NA,NA,NA,1,18,3,44,NA,NA,1,2,NA,1,NA,5,2,2,NA,4,15,NA,2,2,9,4,2,NA,2,1,3,22,5,4,10,10,18,22,18,22,52,67,8,158,99,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,1,1,3,3,6,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,1265,515,50,2,3,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,19,3,190,NA,1,NA,NA,2,2,NA,7,5,NA,2,NA,8,NA,3,7,NA,19,NA,NA,3,9,6,258,NA,7,NA,10,36,21,34,27,63,96,10,196,124,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,8,4,3,NA,NA,4,5,5,13,NA,NA,NA,5,NA,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,1576,915,70,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,15,1,7,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,2,3,2,NA,5,6,16,1,NA,NA,NA,1,14,2,3,4,3,7,14,20,NA,22,49,4,80,32,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,2,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,1733,1116,80,1,NA,2,NA,1,NA,NA,NA,NA,1,NA,1,9,NA,NA,1,3,7,4,78,NA,NA,3,NA,NA,NA,NA,4,1,1,2,4,14,5,6,3,6,4,NA,NA,NA,NA,1,131,3,5,4,7,10,18,27,22,35,52,5,112,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,2,1,15,1,3,11,NA,NA,3,NA,2,NA,NA,1,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1778,2043,1512,100,2,1,3,NA,NA,1,NA,NA,NA,1,3,1,10,NA,2,NA,1,58,3,60,1,NA,1,NA,1,NA,NA,6,1,1,2,10,9,9,4,11,15,22,1,1,1,1,5,81,7,7,2,12,17,46,47,22,46,104,5,202,127,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,NA,1,8,3,14,23,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2134,2356,1905,120,5,1,5,NA,NA,NA,1,1,NA,2,2,2,15,6,1,NA,NA,151,4,58,NA,NA,1,2,3,1,NA,9,7,1,NA,9,13,21,14,15,6,28,2,1,4,7,NA,137,9,12,6,15,19,66,99,61,100,146,9,334,223,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,NA,6,NA,NA,10,2,23,35,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,1,NA,NA,3,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,2678,2299,140,1,4,4,NA,NA,NA,3,1,NA,2,NA,2,5,2,4,NA,NA,41,1,3,NA,NA,NA,NA,NA,1,NA,7,3,1,2,12,9,12,5,5,18,97,NA,NA,9,5,5,12,15,11,3,11,5,63,155,500,50,184,5,180,95,6,NA,2,NA,1,NA,NA,3,1,NA,1,NA,4,2,5,NA,7,NA,1,NA,3,44,60,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,3,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2847,3006,2684,160,2,1,4,2,1,NA,1,NA,NA,1,NA,5,NA,4,NA,NA,NA,5,1,18,NA,NA,NA,NA,1,3,NA,7,NA,1,2,3,1,NA,3,NA,4,8,NA,NA,2,4,4,36,1,3,NA,6,1,27,88,134,56,140,7,116,42,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,NA,NA,1,2,3,NA,NA,NA,NA,7,4,22,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
