"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cistaceae","Ephedra fragilis-type","Betula","Apiaceae","Alnus","cf. Juniperus","Quercus (deciduous)","Plantago","Cyperaceae","Asteroideae","Ruppia","Pistacia","Erica","Artemisia","Cichorioideae","Amaranthaceae","Quercus (evergreen)","Poaceae","Pinus","Olea","Corylus","Sparganium-type","Vitis","Lamiaceae","Poaceae (Cerealia-type)","Armeria","Myrtaceae","Caryophyllaceae","Centaurea","Buxus","Tamarix","Potamogeton","Brassicaceae","Asphodelus","Abies","Euphorbia","Salix","Scrophulariaceae","Ulmus","Urticaceae","Galium-type","Cistus","Lemna-type","Castanea","Fabaceae","Solanaceae","Ranunculaceae","Cyperus","Fraxinus","Myriophyllum","Thymelaea","Malvaceae","Typha latifolia-type","Echium","Rhamnus","Borago","Carpinus","Acer","Coriaria","Ephedra distachya-type","Fagus","Prunus","Rosaceae","Cannabaceae","Rumex","Populus","Iridaceae","Campanulaceae","Arbutus","Limonium","Secale","Sedum","Alisma","Calystegia","Mercurialis","Tilia","Trapa","Pedicularis","Rubiaceae","Scabiosa"
0,NA,NA,0,1,1,2,2,2,2,2,3,4,4,4,5,5,6,6,22,22,26,53,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,10,1,11,1,4,1,1,2,2,10,8,NA,15,18,8,13,24,52,13,41,82,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,20,NA,9,NA,4,NA,5,1,3,11,5,NA,3,9,5,17,39,31,32,48,68,NA,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,NA,30,NA,4,1,1,1,2,2,1,11,4,NA,NA,6,4,8,17,22,12,35,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,NA,40,1,12,NA,2,2,10,NA,8,11,7,1,3,11,6,8,48,58,42,51,75,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,NA,NA,50,NA,12,3,4,2,11,7,14,9,8,NA,5,9,10,16,32,60,49,30,44,NA,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,NA,NA,60,2,9,1,11,5,14,3,14,7,11,13,4,12,9,32,30,57,55,16,107,1,4,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,NA,NA,70,4,13,NA,7,2,11,NA,11,12,8,NA,5,13,16,21,27,83,39,23,98,1,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,NA,NA,80,2,7,2,4,NA,11,2,4,19,10,4,10,24,10,50,50,21,72,8,22,NA,2,NA,NA,NA,NA,NA,1,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,NA,NA,90,1,3,1,4,NA,2,NA,3,15,23,2,4,36,4,99,60,18,70,11,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,NA,NA,100,2,9,NA,2,1,10,1,19,15,14,12,10,15,8,56,35,19,99,15,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,NA,NA,110,3,5,NA,5,NA,9,2,15,9,9,23,10,16,8,28,33,12,70,19,45,2,4,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,NA,NA,120,2,4,1,6,3,6,9,31,11,13,3,47,28,14,24,19,30,68,31,124,NA,11,NA,NA,6,1,NA,1,NA,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,1,2,2,2,3,6,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,NA,NA,130,1,3,1,14,1,2,4,19,19,17,NA,17,58,12,74,14,24,78,19,47,NA,14,NA,NA,3,NA,2,1,NA,NA,5,NA,1,5,NA,NA,7,1,1,2,NA,7,NA,3,5,NA,NA,10,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678,NA,NA,140,4,2,2,9,2,3,12,32,20,13,2,43,41,12,33,23,28,48,36,83,NA,20,NA,NA,5,1,3,NA,NA,NA,1,NA,4,2,NA,NA,3,1,3,1,NA,4,NA,3,5,3,5,6,3,14,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1792,NA,NA,150,3,NA,1,17,2,4,3,26,20,17,NA,25,44,8,47,15,19,72,21,63,2,13,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,8,1,NA,3,NA,NA,2,NA,6,NA,3,6,NA,1,7,NA,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,160,4,3,NA,18,1,4,2,31,12,15,NA,15,35,9,37,35,15,67,21,21,2,5,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,2,NA,7,NA,1,4,1,1,1,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2128,NA,NA,180,2,3,3,18,NA,8,6,36,16,23,NA,15,22,14,30,26,20,72,18,18,NA,6,NA,NA,5,1,2,1,NA,2,NA,NA,NA,9,1,1,2,1,NA,4,1,7,NA,1,4,3,2,8,NA,11,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2238,NA,NA,190,1,1,NA,10,3,4,3,21,18,17,NA,11,23,10,20,22,10,61,8,22,NA,1,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,3,1,NA,2,NA,NA,4,NA,6,NA,NA,2,1,2,5,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2347,NA,NA,200,8,5,2,8,1,6,5,14,28,11,NA,23,33,14,16,38,25,93,40,80,7,10,NA,1,7,NA,NA,NA,NA,NA,3,NA,NA,11,1,NA,6,NA,NA,NA,NA,8,NA,NA,4,NA,2,8,4,4,NA,NA,NA,NA,NA,1,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2456,NA,NA,210,2,1,1,5,4,4,8,8,25,15,NA,13,36,7,21,18,12,73,42,32,1,3,NA,NA,7,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,1,NA,NA,1,NA,8,NA,1,2,NA,NA,14,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2563,NA,NA,220,3,1,1,4,1,2,6,12,18,13,NA,7,33,6,34,10,13,67,24,25,1,3,NA,NA,4,1,NA,NA,NA,NA,4,NA,2,5,NA,NA,3,NA,NA,1,NA,5,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2670,NA,NA,230,4,1,NA,5,1,1,2,7,16,13,NA,11,24,3,26,7,9,65,19,18,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2776,NA,NA,240,3,1,NA,17,2,3,5,9,22,25,NA,9,35,6,31,10,14,43,13,25,3,2,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,5,1,NA,4,NA,NA,3,NA,7,NA,NA,3,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2881,NA,NA,250,9,4,2,15,3,3,7,13,35,15,NA,9,48,10,26,15,21,65,26,87,6,5,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,10,3,NA,5,NA,NA,NA,NA,6,NA,NA,3,2,NA,13,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2986,NA,NA,260,7,2,2,17,1,1,6,22,29,14,NA,10,53,11,46,26,35,85,46,112,2,5,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,13,4,NA,7,NA,1,3,NA,7,NA,NA,1,NA,NA,13,1,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3089,NA,NA,270,3,2,1,20,3,3,7,27,26,19,1,13,56,9,34,21,22,87,42,67,4,1,NA,NA,4,NA,NA,NA,NA,NA,7,NA,NA,8,4,NA,2,NA,NA,1,NA,12,NA,1,2,NA,1,10,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3171,NA,NA,278,8,2,NA,4,1,2,7,13,24,15,NA,5,35,9,17,18,17,70,41,33,NA,2,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,7,4,NA,4,NA,NA,1,NA,9,NA,NA,1,NA,NA,6,1,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3192,NA,NA,280,5,4,NA,7,2,1,5,8,27,18,1,2,67,4,40,17,30,61,35,27,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,7,1,NA,NA,NA,NA,3,NA,15,NA,NA,2,NA,NA,4,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3294,NA,NA,290,6,2,NA,9,1,1,4,14,21,26,NA,2,67,6,37,18,27,63,23,14,8,4,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,12,1,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3395,NA,NA,300,2,5,2,6,NA,4,4,12,28,17,NA,3,53,2,18,11,26,43,43,4,5,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,13,5,NA,NA,NA,NA,2,NA,4,NA,NA,3,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3495,NA,NA,310,5,NA,NA,4,5,25,6,13,32,21,NA,12,69,3,33,20,21,81,75,5,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3594,NA,NA,320,5,1,NA,2,1,20,6,7,21,16,NA,6,32,4,26,12,10,37,73,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,8,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3692,NA,NA,330,1,1,NA,1,1,19,1,8,25,8,NA,6,83,1,18,8,6,59,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3790,NA,NA,340,4,1,1,11,1,23,6,30,11,12,2,11,27,13,27,18,20,62,22,24,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3887,NA,NA,350,3,1,NA,2,1,24,7,15,18,19,NA,4,107,4,11,11,28,78,70,37,7,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3983,NA,NA,360,1,3,1,3,1,8,1,10,22,19,NA,2,102,5,12,6,11,40,38,7,3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4078,NA,NA,370,2,1,NA,1,1,6,8,13,26,28,NA,2,148,2,8,9,12,37,28,20,3,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4172,NA,NA,380,1,1,NA,2,NA,4,3,7,11,17,NA,3,78,4,7,5,11,38,11,14,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4266,NA,NA,390,2,1,3,4,1,6,2,19,21,16,NA,2,114,2,12,16,20,83,10,42,4,1,1,NA,2,NA,NA,NA,NA,NA,5,2,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4358,NA,NA,400,2,5,1,4,3,4,5,10,20,45,NA,1,83,2,13,10,12,43,9,32,5,1,NA,3,NA,NA,NA,1,NA,NA,1,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4450,NA,NA,410,NA,4,1,6,4,5,6,7,17,37,NA,3,81,4,7,7,17,48,11,95,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4541,NA,NA,420,1,3,1,5,1,3,13,13,14,29,NA,3,83,3,8,11,31,35,18,115,5,3,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4631,NA,NA,430,1,10,1,6,4,8,5,14,20,38,NA,8,78,9,10,11,19,58,12,70,5,3,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4720,NA,NA,440,1,4,1,10,NA,6,7,34,37,32,NA,7,81,1,6,7,24,70,16,51,2,5,NA,NA,4,NA,NA,NA,2,4,1,NA,NA,13,5,NA,3,NA,2,NA,NA,NA,NA,2,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4808,NA,NA,450,1,3,NA,5,1,5,2,14,18,20,NA,3,31,1,4,10,10,46,6,6,NA,4,NA,NA,2,NA,NA,NA,NA,3,2,NA,NA,6,1,NA,2,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4896,NA,NA,460,NA,1,NA,7,2,7,4,19,13,28,NA,NA,34,2,13,4,11,49,12,17,3,2,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4983,NA,NA,470,3,3,NA,12,1,7,6,35,14,30,NA,4,38,3,15,2,10,86,6,11,2,7,NA,NA,5,NA,NA,1,NA,NA,3,NA,2,2,1,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5068,NA,NA,480,1,2,NA,11,2,11,4,36,7,39,NA,NA,26,1,13,3,10,83,4,10,2,6,NA,NA,1,NA,NA,NA,1,NA,2,NA,3,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5153,NA,NA,490,1,3,1,17,1,8,3,31,11,43,NA,NA,25,1,3,4,21,69,8,7,2,4,NA,NA,6,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5238,NA,NA,500,2,14,NA,24,2,20,10,42,15,57,NA,1,45,1,7,5,20,125,22,8,1,7,NA,NA,7,NA,NA,2,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,5,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
5321,NA,NA,510,1,9,NA,18,NA,8,7,21,15,26,NA,4,37,1,6,5,11,88,9,11,1,NA,NA,NA,2,NA,NA,2,2,2,4,3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
5403,NA,NA,520,1,10,NA,31,1,19,7,42,16,51,NA,2,53,3,15,8,21,93,27,15,NA,4,NA,NA,2,NA,NA,NA,1,8,3,6,2,9,1,NA,1,NA,NA,2,3,NA,NA,NA,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
5485,NA,NA,530,1,8,2,36,4,32,3,44,28,57,NA,3,39,3,4,12,19,99,31,14,4,4,NA,NA,5,NA,NA,NA,2,5,3,3,NA,6,1,1,NA,NA,NA,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
5566,NA,NA,540,4,11,1,32,4,34,4,28,31,82,NA,9,28,4,7,8,17,97,31,9,7,NA,NA,NA,4,NA,NA,3,NA,11,5,NA,NA,7,2,NA,NA,NA,1,4,NA,NA,NA,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5646,NA,NA,550,1,10,1,12,2,32,3,32,14,49,NA,5,16,1,11,2,13,52,20,4,2,3,NA,1,7,NA,NA,1,NA,8,1,NA,NA,2,NA,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5725,NA,NA,560,3,4,NA,14,2,34,2,35,18,55,NA,3,17,1,6,6,6,38,26,2,1,2,NA,NA,3,NA,NA,1,NA,8,2,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
