"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Vitis","Fabaceae","Asteraceae","Brassicaceae","Pteridophyta undiff.","Artemisia","Corylus","Cichorioideae","Alnus","Amaranthaceae","Angiospermae undiff. (herbs)","Vaccinium","Spermatophyta undiff. (trees)","Varia","Salix","Ranunculaceae","Rosaceae","Juniperus","Ostrya","Rumex/Oxyria-type","Plantago","Quercus coccifera","Quercus","Fagus","Cyperaceae","Poaceae","Pinus sylvestris-type","Carpinus betulus","Pteridium","Fraxinus","Acer"
-41,NA,NA,0,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,5,7,7,11,11,16,16,20,22,31,37,150,218,246,NA,NA,NA,NA
78,NA,NA,10,5,4,1,2,6,1,3,4,3,4,3,5,3,4,3,4,7,5,10,8,17,16,41,30,59,41,223,287,198,1,4,5,NA
197,NA,NA,20,2,15,1,9,13,1,NA,21,5,9,2,7,27,3,1,2,13,5,6,7,38,10,96,49,110,37,243,267,144,5,3,7,NA
315,NA,NA,30,2,62,2,19,83,NA,4,27,2,39,2,14,43,4,8,6,15,6,17,10,45,21,360,39,108,45,680,143,126,6,2,2,2
434,NA,NA,40,2,2,1,NA,2,NA,NA,1,2,3,2,NA,NA,NA,NA,1,1,NA,3,NA,12,NA,5,1,46,7,38,102,272,NA,1,NA,NA
553,NA,NA,50,5,7,1,3,12,NA,NA,4,3,9,5,6,7,1,1,1,6,19,8,NA,24,6,10,10,121,38,229,293,143,5,4,NA,1
741,NA,NA,60,62,3,NA,1,1,3,3,3,3,2,1,5,7,NA,1,2,3,NA,NA,NA,13,3,1,1,58,38,103,19,143,1,3,NA,NA
929,NA,NA,70,103,2,NA,4,NA,NA,5,6,4,NA,3,NA,3,NA,1,3,1,3,6,NA,7,1,1,3,40,14,29,35,161,2,NA,NA,NA
1118,NA,NA,80,82,1,NA,1,NA,NA,3,1,1,1,3,NA,1,NA,NA,1,1,NA,NA,1,7,2,NA,NA,37,13,28,77,207,1,1,NA,NA
1306,NA,NA,90,36,3,1,3,12,NA,16,4,6,1,12,1,10,2,1,3,2,13,3,8,20,3,10,3,88,71,320,336,131,4,2,NA,NA
1494,NA,NA,100,26,NA,3,3,4,2,5,3,3,3,6,1,3,1,NA,1,NA,2,1,14,11,2,2,NA,54,51,68,162,198,NA,1,NA,NA
1682,NA,NA,110,80,5,2,NA,1,2,100,2,32,NA,1,2,3,1,11,2,1,6,1,4,1,2,1,1,51,25,55,38,160,NA,NA,NA,NA
1918,NA,NA,120,61,1,1,2,1,5,286,3,82,1,3,NA,13,1,39,4,8,3,2,8,8,11,4,1,55,18,90,31,145,NA,1,NA,NA
2059,NA,NA,130,98,2,NA,2,3,3,467,4,112,4,4,NA,14,1,52,4,7,6,1,NA,5,4,2,NA,70,4,38,14,124,3,NA,NA,NA
2247,NA,NA,140,59,4,1,4,11,1,554,1,139,6,4,2,14,NA,33,2,6,6,2,8,10,1,5,1,84,6,43,14,151,1,NA,NA,NA
2436,NA,NA,150,87,7,NA,3,10,1,356,6,103,10,3,4,12,NA,35,4,10,1,3,5,11,3,1,NA,64,16,68,21,127,NA,NA,6,1
