Depth (cm),Acacia,Acer,Alnus,Apiaceae,Artemisia,Betula,Brassicaceae,Calligonum,Castenea,Celtis,Centaurea jacea-type,Chenopodiaceae/Amaranthaceae,Cistus,Combretaceae,Convolvulus-type,Corylus,Cyperaceae,Echiochilon,Echium,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Erica,Erodium,Euphorbiaceae,Fagus,Galium,Gramineae,Gymnocarpos,Gymnosporia,Gypsophila,Helianthemum,Heliotropium,Indetermines,Isoetes,Juniperus,Knautia,Lamiaceae,Liguliflorae,Liliaceae,Linum,Malvaceae,Monechma,Olea,Papilionoideae,Phillyrea,Pinus,Pistacia,Plantago,Plumbaginaceae,Polycarpon,Polycnemum-type,Polygonum,Quercus ilex-type,Quercus pubescens-type,Ranunculaceae,Rhus,Rosaceae,Rumex,Salix,Sanguisorba minor-type,Tamarix,Teucrium,Thymelaea,Tilia,Tubuliflorae,Typha,Ulmus
25,,1,,3,139,1,2,1,,,,110,,,,2,11,,,4,38,,9,,,,2,9,9,,,1,,9,,7,,,1,,1,,,,1,,126,,1,3,,15,,2,,,,,4,,,,,1,,4,,3
45,,,1,1,100,1,1,3,,,,108,,2,,1,8,,,14,37,,7,,,,,3,3,,,,,8,,7,,,,,,,,,,,202,,1,,1,17,,1,,,,,,1,1,,,,1,4,,1
65,,,,,67,,3,,,,,122,,,,3,20,,,8,68,1,5,,,,,16,,,,1,,8,,9,,,,,,,,2,,,146,,,2,,21,,4,,,,,,,,,,,,5,,1
85,,,,1,103,,1,,,,,147,,,,2,11,,,6,30,,1,,,,,14,,,,,,16,,2,,,3,,,,,2,,,148,,1,1,1,28,,4,,,,,,,2,,,,,5,,
105,,,,1,84,6,4,1,,,,150,,,,4,14,1,,9,82,,6,,,,,7,2,,,1,,9,,,,1,2,,,,,,,,138,,1,1,,10,,3,,,,,,,,,1,,,4,,
125,,1,,2,79,1,3,1,,,,175,,1,,,27,,,1,81,,2,,,,,13,1,,,,,10,,2,,,2,,,,,,,,107,,,1,1,15,,,6,,,,,,,,,,,10,,
145,,,,2,72,,6,,,,1,125,,2,,,35,,,8,63,,2,,,,,9,,,1,,1,19,,4,,,2,,,,,,1,,112,,1,2,4,22,1,4,3,,,,1,,1,1,,,,10,,
165,,,,7,77,,5,,,,,161,,,,2,25,,,7,80,,4,,,,,7,2,,4,3,,7,,4,,,3,,,,,,1,,115,,2,,,11,1,8,,,,,3,,,,,,,7,,
185,,,1,6,82,,1,2,,,1,158,,,,2,30,,,3,51,,1,,,,,12,,,,,,19,,4,,,2,,,,,,2,,127,,1,2,3,27,,12,,,,,,,,,,,1,8,3,
205,2,,,3,69,,3,2,,,,175,,,1,2,40,,1,3,59,,3,2,,,,18,,,,2,,17,,8,,,3,1,,,,,,,112,,,,1,14,,4,,,,,,,,,1,,,8,2,
