depth,Cal age BP,Ophioglossum,Apiaceae,Typha,Asphodelus,Quercus ilex-type,Cyperaceae,Heliotropium,Liguliflorae,Ephedra fragilis-type,Rhus-type,Tubuliflorae,Brassicaceae,Polypodium,Indetermines,Isoetes,Ericaceae,Artemisia,Chenopodiaceae/Amaranthaceae,Quercus pubescens-type,Gramineae,Pinus,Plantago,Fagus,Olea,Rumex,Euphorbia,Helianthemum,Alnus,Polycnemum-type,Acer,Corylus,Betula,Juniperus,Polycarpaea,Pteridophytae,Pistacia,Boraginaceae,Cedrus,Centaurea jacea-type,Ziziphus,Maerua,Ephedra distachia-type,Plumbaginaceae,Rosaceae,Balanites,Tamarix,Myrtus,Polygonum,Onagraceae,Echium,Cistus-type,Cucurbitaceae,Cleome,Euphorbiaceae,Linum,Sanguis minor,Linociera,Resedaceae,Crotalaria,Gypsophilla,Caylusea,Calligonum,Ulmus,Gymnocarpus,Echiochilon,Rhamnus,Trichodesma,Salix,Polycarpon,Celosia,Tilia,Papilionoideae,Phaseolus,Mollugo,Phyllanthus,Ranunculaceae,Arbutus,Liliaceae,Haloragaceae,Oenothera,Antidesma-type,Ostrya,Polygala,Vitis,Galium,Erodium,Gisekia,Phillyrea,Clematis,Moltkia,Juglans,Acanthus,Mercurialis,Hyphaene,Limoniastrum,Ballotus,Solanum,Borago,Lamiaceae,Linaceae,Echinops,Veronica,Lannea,Warionia,Cadaba,Proteaceae,Celtis,Encephalartos,Tribulus,Lythraceae
2,,,,,,,1,1,3,,,4,,,1,4,,6,9,1,4,12,1,1,2,1,1,1,3,1,1,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9100,1,,,,6,1,,9,,1,12,9,,,4,1,20,55,,5,19,,1,1,3,2,,,1,,,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18300,,,,,,1,,1,6,,3,4,,5,3,,27,30,1,8,10,,,,,,1,,,,,,,,,,,1,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,1,,1,4,5,,2,3,,1,,1,19,20,,,29,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,2,17,7,20,,15,3,3,6,1,1,77,70,4,5,118,1,,,1,,,,,,2,,3,,,,,,,,,8,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,10,,3,16,17,2,38,9,,2,2,1,52,103,2,11,114,1,,,1,,,1,,,1,,1,,,,,,,,,9,,,,2,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,29500,,1,1,1,3,3,1,5,10,,8,3,,2,,1,89,83,1,2,28,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,1,1,1,16,7,4,22,39,,47,19,2,4,5,1,104,150,1,15,139,3,,,1,,,,,,1,,7,,,,,,,,,5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,9,,,11,7,,24,6,2,2,1,,81,75,3,7,46,,1,,,1,,,,,,1,3,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,2,7,,3,3,,3,,,33,37,,,11,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,2,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
