depth,Cyperaceae,Liguliflorae,Ephedra fragilis-type,Rhizophora,Tribulus,Cassia-type,Maerua,Rhus,Chenopodiaceae/Amaranthaceae,Indetermines,Terminalia,Calligonum,Gramineae,Combretum,Pinus,Euphorbiaceae,Erica,Brassicaceae,Artemisia,Typha,Balanites,Plantago,Tubuliflorae,Acacia,Tamarix,Boscia,Phillyrea,Ephedra distachya-type,Heliotropium,Rubiaceae,Myrica,Meliaceae,Butyrospermum,Gymnocarpus,Quercus ilex-type,Commiphora,Phyllanthus,Alchornea,Oleaceae,Mitracarpus,Lannea,Celtis,Tilia,Macaranga,Sterculiaceae,Juniperus,Nyctaginaceae,Centaurea jacea-type,Indigofera,Helianthemum,Gypsophila,Corylus,Polycnemum-type,Vitis,Thymelaea,Olea,Capparis,Celastraceae,Paronychia,Xyridaceae,Cleome,Isoetes,Pteridophytae,Zygophyllum,Rhizophora mangle,Polycarpon,Polycarpaea,Canthium,Bridelia,Isoberlinia,Ziziphus,Erodium,Betula,Gaertnera,Polygonum,Gymnosporia,Alnus,Picea,Ceiba,Sphagnum,Rumex,Blepharis,Salvadora,Utricularia
21,37,7,5,3,1,3,4,1,402,8,4,1,74,1,8,3,1,1,18,1,1,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,81,6,2,4,,1,2,1,349,6,1,,80,5,4,4,,,14,1,1,,61,1,2,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,119,,5,1,,,4,,306,5,,4,91,3,6,,,,12,,,,30,,,,,,,,,1,1,1,1,1,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,91,4,7,11,,2,5,,239,4,4,2,166,2,5,3,1,2,14,2,,2,34,2,,1,1,,,,1,,,,3,1,1,1,,1,,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,63,3,7,1,,1,,2,216,6,3,,52,,2,1,,,9,1,1,,17,,,,4,,,,,,1,,,,,1,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,92,1,15,7,1,,,4,249,8,1,1,187,4,5,5,1,1,21,5,1,2,39,,,,2,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,63,9,11,8,1,,,1,273,2,1,,147,,9,3,,6,20,3,1,1,29,1,,,,,1,,,,,,,,1,2,,4,,,,,2,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,37,4,9,3,,,3,1,212,3,,1,104,,11,4,,,12,1,2,,28,3,,,1,,,,,,1,1,,,1,1,1,1,,,,,1,,,,,,1,1,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,31,4,11,9,,3,,2,339,3,,2,157,1,9,2,1,,37,6,2,2,31,3,,,1,,,,,,1,1,1,,,2,,2,,2,,,,,1,1,1,,,,,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
111,7,4,11,5,,2,,2,348,7,1,1,116,1,5,1,,3,32,2,,3,18,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
121,91,,19,5,,,,2,333,6,3,,102,2,9,2,,2,27,3,,,14,,1,,2,3,,,,,,,1,,2,1,,2,,,,,1,,,,,,,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
121,61,,10,1,,,,2,176,4,3,,57,1,7,2,,1,11,2,,,4,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,
131,21,4,15,4,,1,,2,432,,,1,122,3,16,1,,1,42,1,,2,34,,,1,1,,,,,,3,,,,,,,,,3,,,1,,1,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
141,5,2,12,4,2,1,,3,480,4,,,49,2,4,5,,,27,1,,1,26,1,,,1,,,,,,1,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,
151,75,5,28,1,,,2,8,260,,,2,73,,5,,,,15,1,,,9,,,,1,,,,,,,2,1,,1,2,3,,,,,,,,,1,,,,,46,1,,,,,1,,,2,4,,,,,,1,1,,,,,,,,,,,,,,
161,35,10,16,3,,,1,3,308,8,2,,70,2,6,2,,2,44,3,1,,8,,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
171,21,9,11,4,,2,2,4,475,3,1,2,135,2,7,,,3,43,3,1,2,32,1,,1,,,1,,4,,,1,,,,,,,,1,,,1,,,2,1,1,,,,,,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
