depth,Estimated age BP,Justicia/Monechma,Butyrospermum,Alchornea,Centaurea perrottettii-type,Plantago (Africa),Compositae Liguliflorae,Urticaceae (Africa),Acacia/Parkia,Betula,Phyllanthus,Sapotaceae/Meliaceae,Celastraceae/Hippocrateaceae,Trilete psilate spores,Sterculiaceae,Borreria,Cyperaceae (Africa),Rhizophora,Celtis (Africa),Compositae Tubuliflorae,Polycarpon,Typha angustifolia-type,Caryophyllac./Chenopodiac./Amaranthac.,Gramineae (Africa),Ochna,Tiliaceae,Artemisia (Africa),Maerua-type,Indeterminata/Varia,Monolete psilate spores,Balanites,Combretaceae/Melastomataceae,Rhamnaceae (Africa),Boscia-type,Quercus,Elaeis guineensis,Myrica (Africa),Monolete verrucate spores,Ephedra fragilis-type,Trilete verrucate spores,Lannea,Commiphora,Antidesma-type,Cleome,Macaranga-type,Pistacia,Pinus,Pteris,Hymenocardia,Cassia-type,Heliotropium,Isoberlinia-type,Bridelia,Tribulus,Canthium,Trichodesma,Capparis,Rhus (Africa),Euphorbia (Africa),Thymelaeaceae (Africa),Bombax,Salvadora persica,Myrtus,Alnus,Polycarpaea-type,Lophira,Cedrus,Gaertnera,Ephedra distachya-type,Isoetes,Solanum (Africa),Calligonum,Juniperus (Africa),Peristrophe,Linaceae,Lycopodium (Africa),Rumex,Aizoaceae,Sapium-type,Sebaea,Jatropha,Helianthemum,Papilionoideae,Myriophyllum,Loranthaceae (Africa),Blighia-type,Blepharis,Rotala,Erica (Africa),Rubiaceae (Africa),Zanthoxylum
202,,1,1,13,2,1,1,1,1,1,2,2,1,13,7,1,115,9,4,5,2,8,29,287,1,1,19,6,8,47,2,19,7,1,2,2,1,5,12,4,3,1,1,1,2,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,1,3,6,,,3,,1,,,1,,8,7,2,46,,2,16,,,3,173,,,5,3,2,40,7,9,,1,,3,1,2,10,2,3,,,,,,8,9,1,1,2,1,1,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,2,2,,,1,,4,,3,3,,17,3,,46,10,2,5,4,,6,161,,,6,4,2,40,,7,2,,3,,2,2,2,3,4,,,,,,2,2,,2,2,,,,,2,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,2,1,,,,,,,,2,,17,5,,10,,1,4,,,1,72,,,3,1,1,19,1,2,1,,,,,3,,8,2,,,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,2,,1,1,2,,,,3,1,11,11,,7,9,2,7,,1,5,134,,,7,2,5,12,,14,,1,,1,5,,,2,,1,,,,,,5,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,74000,,2,3,,1,,,,,,,,16,4,,2,,,3,,,2,67,,,4,1,,23,,3,1,2,,,,4,,2,,,,,,,1,6,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,1,,,9,,,1,,1,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,14,,,,,,,,,,15,,,,,,15,,,,,,,,2,1,4,,,,,,,1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
260,84000,,,5,,,,,1,,1,1,,21,9,,9,2,1,5,,26,6,107,,,21,,1,56,,18,,1,5,1,5,4,4,,1,,,1,1,,2,7,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
267,,1,3,1,1,,2,,5,,,1,,14,14,1,56,7,2,4,,4,16,265,,1,3,7,7,76,1,19,1,4,,6,1,4,21,2,5,,1,2,1,,5,15,,3,,,,,,,,5,,,,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
272,,,5,7,,,2,1,3,,,1,,21,28,,26,19,6,15,,2,13,131,,,10,9,5,78,,48,2,1,4,3,3,7,2,1,7,3,1,1,,,2,10,,3,,,,,,,1,5,1,,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,,,,,
278,98000,,2,4,1,,,,,,,1,,47,7,1,16,10,,1,,,6,122,,,,3,1,98,4,19,,5,,1,1,12,4,6,2,,,1,,,3,29,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
