"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Typha/Sparganium","Viburnum","Trifolium-type","Helianthemum","Olea","Thymelaeaceae","Buxus","Cistus","Paronychia-type","Myrtus","Isoëtes","Fraxinus","Juniperus","Aster","Pinus pinaster-type","Unknown (monolete)","Salix","Pinus","Phillyrea","Plantago maritima-type","Plantago lagopus-type","Thalictrum","Amaranthaceae","Cichorioideae","Poaceae (Cerealia-type)","Silene","Rumex","Plantago coronopus-type","Ranunculaceae","Quercus ilex-type","Spergula","Anthemis","Alnus","Quercus","Artemisia","Quercus suber-type","Caryophyllaceae","Bupleurum","Lythrum","Apiaceae","Poaceae","Erica arborea-type","Rubiaceae","Cyperaceae","Corylus","Vitis","Polygonum aviculare","Myriophyllum alterniflorum-type","Daphne gnidium","Ulmus","Brassicaceae","Asteroideae","Crassulaceae","Asphodelus","Lamiaceae","Potamogeton-type","Pistacia","Centaurea","Hedera","Ephedra fragilis-type","Scrophularia-type","Fabaceae","Lotus","Hypericum","Cladium-type","Osmunda regalis","Echium","Linaria-type","Thelypteris palustris-type","Ononis-type","Nymphaea","Myriophyllum verticillatum-type","Liliaceae-type","Cistus salviifolius","Linum usitatissimum-type","Linum maritimum-type","Alisma","Acer","Lemna","Rosaceae","Ophioglossum lusitanicum","Cirsium","Filipendula","Cedrus","Mentha","Silene-type","Verbascum","Polypodium","Genista-type","Atriplex","Betula","Abies","Vicia-type","Arceuthobium","Boraginaceae","Centaurium","Colchicum","Cuscuta","Scabiosa","Prunus","Erodium","Matthiola","Euphorbia","Campanulaceae","Selaginella denticulata","Valerianoideae","Odontites","Dipsacoideae","Galeopsis","Poterium sanguisorba","Solanum dulcamara","Unknown (trilete)","Ononis","Primula","Vitex","Hippophaë","Polycarpon-type","Cornus sanguinea","Lygeum spartum","Centaurea nigra","Theligonum cynocrambe","Filago","Carlina-type","Cerastium","Typha latifolia","Ulex","Rumex conglomeratus","Hedysarum","Geranium","Rumex hydrolapathum-type","Calligonum","Asplenium-type","Poaceae (Cerealia)","Theligonum","Calluna","Sagina","Fedia"
303,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,5,5,5,6,6,7,7,7,9,11,16,20,20,25,41,50,62,66,84,138,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,NA,NA,15,8,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,1,NA,NA,3,10,5,NA,NA,7,1,NA,1,8,NA,3,5,NA,14,NA,NA,NA,27,7,40,1,NA,3,8,65,67,69,142,1,1,1,1,1,2,2,3,6,10,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,NA,NA,25,13,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,11,3,1,NA,6,NA,1,4,NA,NA,3,6,NA,10,NA,NA,8,14,12,39,NA,NA,4,9,54,35,67,280,NA,NA,NA,2,NA,2,NA,NA,NA,17,10,5,1,1,2,4,4,5,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2410,NA,NA,35,12,NA,NA,NA,5,NA,NA,NA,2,NA,4,3,NA,NA,4,3,8,10,NA,NA,1,NA,6,4,5,NA,1,1,2,24,NA,NA,18,35,8,24,1,NA,1,31,57,119,24,43,NA,3,4,33,NA,6,5,7,NA,3,4,16,12,NA,NA,3,7,4,8,33,1,1,2,2,2,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3077,NA,NA,45,2,NA,NA,NA,6,NA,NA,1,NA,3,6,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,1,20,7,NA,NA,9,62,4,4,5,NA,16,40,76,43,51,50,NA,NA,NA,14,NA,NA,1,3,NA,NA,1,2,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,8,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3779,NA,NA,55,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,24,1,18,33,NA,NA,NA,NA,5,3,NA,NA,17,5,20,23,NA,NA,25,31,2,44,NA,NA,22,24,78,38,123,35,7,NA,4,NA,NA,10,10,2,NA,5,13,20,NA,NA,NA,4,NA,10,12,15,NA,1,NA,3,NA,1,NA,NA,7,NA,NA,NA,4,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4481,NA,NA,65,35,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,8,1,230,5,84,30,1,NA,2,NA,2,2,2,NA,3,NA,44,8,NA,2,28,96,14,138,NA,NA,352,35,184,27,86,272,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12340,NA,NA,75,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,172,8,7,103,NA,NA,NA,NA,11,7,NA,NA,13,4,14,3,NA,NA,10,4,29,17,4,NA,37,27,64,4,58,297,2,NA,3,NA,NA,5,12,5,NA,7,27,22,NA,NA,2,4,6,14,8,16,NA,4,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,7,2,27,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12515,NA,NA,85,19,NA,NA,NA,4,NA,NA,NA,4,NA,5,NA,2,NA,122,NA,1,112,NA,NA,NA,3,1,2,NA,NA,9,4,5,NA,NA,NA,3,4,11,NA,1,NA,6,6,94,NA,6,135,NA,NA,NA,NA,NA,NA,18,NA,NA,2,2,4,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,18,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12700,NA,NA,95,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,60,NA,8,30,NA,1,NA,3,1,1,NA,NA,1,4,4,NA,NA,NA,NA,11,6,NA,1,NA,34,1,110,NA,3,90,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,1,27,1,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
