"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Thalictrum","Tilia","Typha latifolia","Ulmus","Fabaceae","Brassicaceae","Geraniaceae","Quercus ilex-type","Clematis-type","Artemisia herba-alba-type","Capsella-type","Centaurea scabiosa-type","Fraxinus excelsior","Ranunculaceae","Carpinus betulus","Ephedra fragilis-type","Polypodium","Cyperaceae","Plantago undiff.","Centaurea solstitialis-type","Thymus/Mentha","Ophioglossum","Artemisia","Juniperus","Abies","Alnus","Apiaceae","Amaranthaceae","Plantago lanceolata-type","Caryophyllaceae","Dryopteris-type","Poaceae (Cerealia-type)","Ostrya/Carpinus orientalis","Corylus","Asteroideae","Cichorioideae","Poaceae","Polygonum aviculare-type","Unknown","Pteridium","Quercus robur-type","Pinus","Potentilla-type","Acer","Pistacia","Rumex acetosa-type","Sanguisorba-type","Helianthemum","Sparganium-type","Cladium mariscus","Fraxinus ornus","Pseudopediastrum boryanum","Fagus","Vitis","Liliaceae","Dipsacoideae","Galium-type","Brassica-type","Tamarix","Ephedra distachya-type","Calligonum","Ericaceae","Campanulaceae","Lemna","Centaurea undiff.","Buxus","Hedera","Cornus mas/C. sanguinea","Rosaceae","Ranunculus","Xanthium","Hypericum perforatum-type","Matricaria-type","Olea","Plantago coronopus-type","Fallopia convolvulus-type","Triglochin","Hippophaë","Solanum dulcamara","Plantago maritima-type","Pseudopediastrum kawraiskyi","Nymphaea","Scilla-type","Lythrum","Myriophyllum spicatum/M. verticillatum","Thelypteris palustris","Celtis","Picea","Humulus/Cannabis","Equisetum","Phillyrea","Boraginaceae","Taxus","Filipendula","Ranunculus repens-type","Rumex hydrolapathum","Scrophularia/Verbascum","Plumbaginaceae","Ranunculus sect. Batrachium-type","Caltha","Armeria/Limonium","Gentianaceae","Rhamnaceae","Plantago media-type","Botrychium","Euphorbia","Pseudopediastrum brevicorne","Alisma","Persicaria maculosa-type","Asphodelus","Isoëtes","Bupleurum-type","Daphne","Rhinanthus-type","Stachys-type","Ligustrum","Pediastrum longicorne","Trifolium-type","Potamogeton","Onosma-type","Muscari","Convolvulus","Rumex undiff.","Platanus","Butomus","Teucrium","Myriophyllum alterniflorum","Malvaceae","Knautia","Vicia-type","Viburnum-type","Lotus-type","Sambucus nigra-type","Cotoneaster-type","Castanea","Onobrychis-type","Valeriana"
6866,7259,6442,312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,5,6,6,7,7,8,8,10,11,11,13,13,15,25,36,63,93,105,170,262,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6916,7289,6510,340,NA,7,1,2,20,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,NA,1,8,1,NA,1,8,NA,6,13,4,NA,10,2,3,7,7,35,8,6,16,30,18,50,107,130,182,1,1,1,1,1,1,2,2,3,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6952,7311,6558,360,3,3,1,1,NA,2,16,NA,NA,NA,NA,NA,3,NA,NA,3,1,NA,NA,10,4,2,1,4,8,4,6,14,4,14,7,1,25,15,28,7,7,26,54,61,42,105,150,235,NA,NA,1,7,4,NA,1,3,NA,NA,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6988,7333,6607,380,3,12,NA,1,NA,2,5,NA,NA,2,NA,NA,NA,NA,1,1,9,1,NA,8,4,4,2,NA,4,125,2,21,2,8,8,4,3,1,48,26,4,8,29,39,43,48,283,66,NA,NA,NA,3,NA,NA,2,NA,3,10,5,2,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7031,7359,6665,404,NA,16,NA,1,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,33,NA,NA,4,4,10,3,5,33,3,19,4,1,33,4,28,26,4,14,56,56,40,39,129,176,NA,NA,NA,1,NA,NA,14,5,1,3,2,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7113,7410,6776,450,NA,63,NA,1,3,16,2,NA,NA,NA,NA,NA,2,NA,NA,NA,7,1,NA,21,NA,1,3,NA,13,4,3,71,5,13,6,2,15,3,55,26,7,13,471,60,19,16,123,39,NA,NA,NA,12,NA,NA,21,1,9,2,10,9,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,1,5,39,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7202,7468,6899,500,1,7,NA,1,3,16,NA,NA,NA,1,NA,NA,NA,NA,2,NA,12,NA,NA,56,NA,NA,NA,NA,7,3,5,41,2,20,2,NA,16,NA,28,8,NA,NA,435,2,8,9,157,92,NA,NA,1,3,NA,NA,294,18,4,2,17,2,NA,NA,1,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,3,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7288,7524,7017,548,NA,1,NA,13,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,7,NA,1,NA,1,11,1,17,25,NA,42,1,NA,12,2,56,13,5,2,181,3,34,57,267,253,NA,1,NA,1,1,NA,3,3,3,2,NA,4,NA,NA,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7346,7565,7098,580,2,6,NA,4,NA,25,NA,NA,NA,2,2,NA,NA,NA,15,NA,26,NA,NA,17,NA,2,1,NA,6,3,20,71,4,57,3,NA,38,NA,129,57,2,3,742,NA,53,12,417,224,NA,NA,2,4,2,NA,8,NA,5,NA,3,15,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7381,7591,7148,600,1,NA,NA,13,1,25,NA,NA,NA,1,NA,NA,1,NA,2,NA,11,NA,NA,12,NA,2,NA,NA,7,1,20,29,13,62,2,NA,167,4,63,42,6,NA,347,NA,8,6,226,292,NA,NA,NA,3,2,1,5,NA,3,NA,3,6,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
