Sample Age (cal yr BP) [cal yr BP],depth,Sample name [undefined],Burial label [undefined],Cedrus,Cupressus ,Pinus,Ephedra ,Alnus,Betula,Carpinus,Corylus,Carpinus oient./Ostrya,Quercus deciduous,Quercus ilex type,Platanus,Asclepiadaceae,Boscia-type,Cadaba-type glandulosa,Cadia purpurea-type - Fabaceae,Capparis,Cassia-type,Celtis,Combretum-type,Commiphora,Ficus - Moraceae,Hyphaene-type,Maerua-type,Myrica humilis-type ,Myrtus,Nerium,Olea ,Phoenix,Pistacia,Populus,Rhus-type,Salvadora persica-type,Tamarix,Ziziphus-type,Poaceae,Poaceae undiff. (> 40 micron),Panicum-type,Cyperaceae,Acalypha,Aerva-type,Apiaceae ,Artemisia,Aster-type,Centaurea-type,Ambrosia-type maritima,Vernonia-type,Cichoriae undiff.,Asteraceae indiff.,Caryophyllaceae indiff.,Celosia-type trygina,Cornulaca monacantha-type,Chenop./Amaranth. undiff.,Cleome,Dialium type - Caesalpiniaceae,Euphorbia-type,Heliotropium,Boraginaceae undiff.,Brassicaceae,Boerhavia-type,Commicarpus-type,Galium-type,Lamiaceae,Liliaceae (incl. Gloriosa type e Allium t.),Lotus,Fabaceae (Crotalaria),Fabaceae (cf. Ormocarpum),Fabaceae (Indigofera),Fabaceae indiff.,Pancratium-type (Amaryllidaceae),Plantago ,Polycarpea-type,Polygonum,Sideritis type,Solanum-type,Spergula-type,Thymeleaceae,Tribulus ,Urticaceae (Laportea-type),Zygophyllum,Callitriche (Halorrhagaceaea),Hydrocharitaceae (Otterlia cf.),Juncus,Lemna,Nuphar,Nymphaea,Potamogeton,Typha domingensis-type,Typha latifolia-type,Not identified,Not determinable,Pteridophyta,Concentricystes
5712,P-540,1a,G3-B5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,121,,,6,,,,,3,,,,,,1,,,3,,,,,,,,,,2,6,,,,,1,,4,,,,,,,,3,,,,1,,,,,,,4,14,,
5712,P-540,1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,,,3,,,,,,,,,1,,,,72,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,3,,,,,,,,1,,,2,,
,,2a,G3-B6,,,,,,,,,,,,,,,,,,,,2,,,,,1,17,,,,,,,,,,23,,,8,1,,,,3,,,1,,,,,41,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,1,,,,,,,2,1,,1,7,,
,,2b,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,21,1,,2,,,,,1,,,1,,,,,48,2,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,4,1.01010101,7.01754386,
,,2c,,,1,2,,,,,,2,,1,,,,,,1,,,1,,1,,,2,,,,,,,,,,1,25,1,,3,,,,1,1,,,,,,,,,5,,,,,,,1,,,,,,,,,2,,2,,,,,,,,,,,,1,,,,3,2,,6,7,,
,,2d,,,,,,,,,,,,1,,,,,,,,,,,,,,2,128,,,,,,,2,,,41,2,3,2,,,,,,,,,1,,,,4,4,,,,,1,,,,,,,,2,,,,,6,,,,,,,1,,,,,,,,,,,3,2,3,1,
4956,P-594,3a,G1-B8 B9 B10,,1,,,,,,,,,,,1,,,1.004,,,,,,1.004,,,,,,,,,,,,,1,176,,6,25.1,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,1.004,,4,1,,,,,,,8,,,,6.777,,,,,,,13.052,1,,
4956,P-589,3b,,,,,,,,,,,1.12,1.96,,,,,,,,,,,6,1,,,,,,,1,,,,,,222,1,1,22.12,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,10,,,,,,,1,1,,,3.64,,,,,,,3.12,,,
4956,,3c,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1.723404255,,5,,,110,1.944,7,23.004,,,,,3,1,,,1,,,105,12,23,,,,,2,,,,,1,1,,,,,3,,,,,,,,,,12,1,,,2.916,,,,,,,7,7,,
,,4a,G1-B18,,,,,,,,,,,,,,,1,0.975,1,,,1,,2.925,,,,,,,,,1.533018868,,,,,241,4,1,27.95,,,,,,,,,1,,,,12,2,,,,,,,10,,,,1,,,,,,,4,3,,,,,,3,3,,,,3.25,,,,,,,2,1,5,2
,,4b,,,,1,,,,,,,1,,1,,,1,,,,2,,,4,,,1,,,,,,,,,,,249,1,3,52.8,,,,,1,1,,,,,,,7,,,,,,1,,,,1,,,,,,,,,7,,,,,,,,2,2,,,6.336,,,,1,,,5.928,8,,
,,4c,,,,2,,,,,,,,,,2,,,0.912,,,1,,,5.168,,,1,,,,,,,,,,3,214,2,,26.144,,,,,,,1,,,,,,23,,,,,,,,,1,,,,0.912,,,,,,5,,,,,,,,,2,,,6.992,1,,,,,,6,5,3,2
,,4d,,,,,1,,,,,,,,,,,,,,,,,1,1.94,,,,,,,,,,,1,,,154,,,25,,3,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,6,2,,
,,4e,,,,,,,1,,,,,,,,,,,,,,,,1.098,,,,,,,,,,,,,,185,,,15.006,,,,1,1,,,,1.098,,,,145,,,,,,,,,1,,2.928,2,,,,,,,3,,,,,,,,,2,,,2.928,,,,,,,2,4,,
,,5,G3-B21,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,1,98,1,,14,,,,,4,,,,9,,,,37,16,,,,,,,1,,,1,2,,,1,,,1,2,,,,,,,,,2,,,1,,,,4,,,8,21,,
,,6,G3-B29,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,176,9,,32,,,,,,,,,1,,,,4,5,,,,,,,,,,,6,,,,,,,2,,,,,,,1,,,,,6,,,,2,1,3,,10,,
5418,P-543,7a,G3-B36,,,2.107,,,,,,,,,,0.903,,,,,,,,,3.01,,,,,,,,,,,0.903,,0.903,220.934,,9.03,31.003,,0.903,,,0.903,,,,2.107,,,2.107,11.137,0.903,,,,,0.903,,,,,,0.903,,,,,0.903,,0.903,,,,,,,,2.107,,,,3.311,,,,,,,5.117,4,,
5418,P-543,7b,,,,0.942,,,,,,,,,,,,,,,0.942,,0.942,,1.884,1.884,,,,,,1.884,0.942,,,,,1.884,211.95,1.884,0.942,16.014,,,,0.942,,,1.884,,,,,,44.902,0.942,,,,,1.884,,,,,,0.942,,,,,,,,,,,,,,,1.884,,,,1.884,,,,0.942,3.14,,9.734,4,,
