Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acanthaceae,Alchornea,Amaranthaceae/Chenopodiaceae,Annonaceae,Antidesma,Apiaceae,Apocynaceae,Araliaceae,Artemisia,Balanites,Betula,Bombax,Borassus/Hyphaene,Borreria,Brassicaceae,Bridelia,Butyrospermum,Capparis,Caryophyllaceae,Cassia,Celtis,Centaurea,Chrozophora,Cissampelos mucronata-type,Clematis,Combretaceae,Commiphora,Compositae,Connaraceae,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Ephedra,Euphorbiaceae,Ficus,Gramineae,Hymenocardia,Indeterminables,Indetermines,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Lycopodium,Macaranga,Menispermaceae,Mitragyna,Monoletes,Moraceae,Morelia senegalensis,Nyctaginaceae,Nymphaea,Olea,Papilionoideae,Parinari,Phoenix,Phyllanthus,Phyllanthus reticularus-type,Piliostigma,Podocarpus,Polycarpaea,Polygala,Polygonum senegalense-type,Rubiaceae,Salvadoraceae,Securinega virosa,Syzygium,Triletes,Typha,Uapaca,Vernonia,Vitex,Ximenia americana,Ziziphus
2844.677,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,298,,,1,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
3004.723,105,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,9,1,,,,,,435,,1,1,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
3164.768,110,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,510,,,1,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
3324.814,115,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,42,,,,,,,524,,,,,,,,137,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
3484.859,120,2,,16,3,,,,2,,,,,,1,,,,,,,,1,,,,,1,,1,,52,,,,,2,,440,,1,2,,,,,78,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,
3644.905,125,,,14,6,1,,,,,2,,,,,,,,,,,,3,,,,,,,,,87,1,,,,,,388,,,4,,,,,66,,,,,,,,,,,,1,,,,,,,,,1,,1,1,4,,,,,
3804.95,130,,,16,4,,,,1,,,,,,,,,,,,,,4,,,1,,,,,,77,5,,,,,,401,,,1,,,,1,53,,3,,,,,,,,1,,,,,,,,,,3,2,,,,5,,,,,
3964.995,135,,,56,5,,,,3,,,1,,,1,,,1,,,,,7,,,1,,4,,1,,67,2,,,1,,,278,,,10,,2,4,,54,,3,,1,,,,7,,1,,1,,,,,,1,,5,,,7,,9,,,,,
4163.711,140,,1,64,10,,,,4,,2,1,,,,3,,,,1,,,7,,,1,,16,,,,100,1,,,,1,,287,1,,10,,,1,,105,,,,,,1,1,2,,1,,,,,,,,,,2,,1,7,,3,,,,,1
4366.724,145,,,53,4,,,,1,,4,,,,,,,,,,,,3,,,,,6,,,,84,3,,,,1,,327,,,4,,,,,96,,1,,1,,,,1,,,,,1,,,,,,,,,,7,,9,3,,,1,
4569.737,150,,,33,7,,,,,,1,,,,,,,,1,,,,,,1,,,6,,1,1,94,2,,,,,1,346,,,7,,,,,94,,,,,,2,,2,,,,,,,,,,,,,,,6,,7,2,,,,
4772.75,155,,,26,8,,,1,,,1,,,,,,,,,,,,3,,,,,5,,3,,68,5,,1,,1,,390,,,4,,,,,92,,,,,1,2,,,,,,,,,,,,,,,1,,2,,7,3,,,,
4975.763,160,,,21,3,,,,,,,,,,,,,,,,,,3,,,,,8,,,,59,1,,,,,,304,,,3,,,,,87,,,,,,4,,,,,,,,,,,,,,,,,17,1,4,11,,,,
5178.776,165,,,30,5,,,,,,,,,1,,1,,,,,,2,,,,,,11,,1,,65,2,,2,,,,361,,,13,,,1,,68,,,1,,,16,,1,,1,,,,1,,,,,,,,,9,,2,7,,,,
5381.789,170,1,,15,12,,,,,,,,,3,,,,,,,,,3,,,,,16,,,2,81,,1,,,,,329,,,8,,,,,183,,,,1,,20,,1,,1,,,1,,,,,,,1,1,,19,,1,11,,,,
5587.167,175,,,16,2,,,,,,,,,,,,,,,,,,8,,,1,,13,,,,56,4,,,,,,323,,,13,,,1,,96,,,,3,,23,,1,,,,1,,,,,,,,,,,19,,3,21,,1,,
5768.506,179,,,16,2,,,,,,1,,,1,,,,,,3,,,7,,,,,8,,,,52,2,,1,,,,239,,,13,,,1,,87,,,,3,,6,,,,,1,1,,,,,,,,,2,,40,1,2,21,,,,
5904.51,182,,,27,,,1,,,,,,,,,,,,,,,,2,,,1,,9,,,2,73,7,,7,,,,329,1,,11,1,,,1,285,,,,5,,3,,7,,,,,,,,,,,,3,3,,26,1,1,26,,2,,
6085.85,186,1,,15,1,,1,,,,,,,,,,,,,,1,,2,,,1,,8,,,,69,3,1,3,,,,339,1,,12,,,1,,109,,,,,,9,,,,2,,,,,,,,,,,,,20,1,,32,,2,,2
6221.854,189,,,24,2,,,,,,1,1,,,,,,,,1,,,10,,,,,16,,,1,81,1,,35,,1,,429,,,14,1,,2,,164,,,,5,,6,,,,,1,,2,,,,,,,1,,,23,,,35,,,,
6403.192,193,2,,24,1,,,,,,,,,,,,,,,,,,1,,,2,,17,,,,118,3,,4,,,,277,2,,8,,1,,,160,,,,1,,2,,3,,1,1,,3,,,,,,,,,1,27,,1,31,,1,,
6539.197,196,,,18,,,1,,,,,,,,,,,,,,,,4,,,,,5,,,1,73,3,,1,,1,,379,,,7,,,,,148,,,,1,,1,,,,,,,,,,,,,,,,,9,1,,35,1,,,
6720.536,200,1,,12,3,,2,,,,2,,,,,,,,,,,,3,,,,,10,,,,74,4,,2,,,,319,,,12,2,,1,,87,,1,,3,,,,,,,,1,,,,,,,,,,,33,,,36,,2,,
6856.54,203,,,22,,,2,,,,1,,,1,,,,,,,,,1,,,1,,19,,,2,84,7,,1,,1,,290,,,15,,,,,248,,,,1,,,,,,,,1,1,,,,,,,,,,48,,,29,,3,,
7037.878,207,,,20,5,,2,,,,1,,,,,1,,,,1,,,7,,,2,,8,,2,1,56,2,,1,,,,329,,,4,,,,,80,2,,,1,,,,,,,,,2,,,,,,,,,,29,,5,17,,,,
7173.883,210,,,19,3,,,,1,,,,,,,,,,,1,,,5,,,4,,2,,,1,92,5,,3,,,,346,,,8,1,,,3,137,,,,2,,,,,,,1,,1,,,,,,1,,2,,20,,1,30,,4,,
7355.222,214,,,20,2,,,,,,1,,,,,,,,,,,,1,,,1,,6,,,1,83,3,,,,1,1,316,,1,4,,,1,,82,,,,6,,,,,,,,,6,,,,,,,1,1,1,20,,1,26,,6,,
7491.226,217,,,45,2,,1,,,,2,,,,,,,,,,,,4,,,1,,3,,,2,74,1,,1,1,,,316,,,,,,,1,104,1,,1,,,,,1,,,,1,5,,,,,,,,,,28,,,15,,,,
7672.565,221,,,50,2,,,,1,,,,,,,,,,,2,,,5,,,1,,3,,1,5,60,3,1,,,1,,320,,1,15,,,,,94,,,,1,,,,,,1,1,,6,,,,,,,,,,31,,3,21,,,,
7808.569,224,,,46,1,,,,,1,,,,,,,,,,,,,,,,2,,3,,1,1,67,,,,,,,350,,1,5,,,,1,92,,,,1,,,,,,,,,4,,,,,,,,,,7,1,4,7,,4,,
8035.243,229,,,16,1,,,,,,,,,,,,,,,,,,4,,,1,,4,,,1,62,1,,,,,,279,,,5,,,,1,90,,,,3,,,,,,,,,2,,,,,,,,,,8,,2,27,,,,
8171.247,232,,,25,1,,,1,,,,,,1,,,,,,,,,2,,,1,,12,,1,3,75,2,,10,,1,,309,2,,3,,,,,62,,,,6,,6,,2,,,,,,1,,,,,,,,2,26,,4,23,,2,,
8352.586,236,,,32,3,,,,,,,,,1,,,,,,,,,2,,1,1,,5,,,8,51,2,,1,,,,356,,,4,,,,1,113,,,,1,,,,,,,,1,3,,,,1,,,,,,9,,2,13,,1,,
8488.59,239,,,44,2,,,,,1,,,,,,,,1,,,,,4,,,1,,1,,,9,88,,,,,,,309,,,5,,,2,2,109,,,,7,,,,,,,,,,,,,,,,1,,,15,1,,17,,,,
8669.929,243,,,18,2,,,,,,,,,,,,,,,,,,2,,,2,,7,,,10,62,1,,,,,,383,1,,,,,,,65,1,,,5,,,,,,,,,,,,,,,,,,,9,1,5,9,,,,
