"age_NA","ageolder_BP","ageyounger_BP","depth","Asphodelus","Plantago coronopus-type","Erica arborea","Unknown (trilete)","Cyperaceae","Poaceae","Cistus monspeliensis","Unknown (monolete)","Asteroideae","Cichorioideae","Quercus canariensis","Unknown","Salix","Caryophyllaceae","Pinus pinaster-type","Olea europaea","Apiaceae","Phillyrea","Lythrum","Myriophyllum","Ephedra","Amaranthaceae","Campanulaceae","Hypericum","Fraxinus"
NA,NA,NA,45,4,4,8,8,12,18,18,18,26,27,29,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,NA,2,2,16,20,9,26,60,14,50,210,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40,NA,NA,8,12,10,20,NA,24,28,20,40,195,5,NA,4,4,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,NA,NA,12,9,12,21,NA,40,69,24,60,275,3,9,7,NA,NA,3,6,NA,NA,NA,NA,NA,NA
NA,NA,NA,65,12,9,11,6,9,15,NA,26,33,15,51,206,NA,NA,5,NA,9,NA,NA,5,NA,NA,NA,NA,NA
NA,NA,NA,85,3,NA,4,1,15,116,5,14,45,12,63,292,4,2,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
NA,NA,NA,70,12,12,10,NA,10,21,6,27,45,18,60,248,3,NA,9,NA,12,NA,NA,NA,3,NA,NA,NA,NA
NA,NA,NA,15,3,19,3,6,51,24,5,5,43,36,57,291,NA,9,4,NA,24,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,30,1,18,1,NA,50,21,NA,4,33,18,60,229,4,4,2,1,10,NA,NA,NA,NA,1,1,NA,NA
NA,NA,NA,60,8,12,10,10,40,16,NA,29,32,40,60,293,NA,4,8,2,12,NA,NA,NA,NA,6,NA,4,NA
NA,NA,NA,20,6,15,3,NA,45,12,3,6,42,21,54,225,3,3,3,NA,3,NA,3,NA,NA,NA,NA,NA,3
NA,NA,NA,50,3,9,3,5,41,15,15,22,25,16,52,224,4,NA,2,NA,8,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,55,4,6,6,4,39,13,12,19,23,15,50,218,5,2,5,NA,10,NA,NA,3,NA,1,NA,1,NA
NA,NA,NA,10,3,16,2,4,40,18,2,3,53,43,41,252,NA,10,3,2,8,1,NA,NA,2,1,NA,NA,NA
NA,NA,NA,35,6,14,6,4,28,20,NA,16,40,28,44,244,4,4,6,NA,14,NA,NA,2,4,2,NA,2,NA
NA,NA,NA,0,4,30,9,1,64,12,NA,5,35,24,75,310,12,10,3,NA,10,6,NA,NA,1,4,NA,2,3
NA,NA,NA,25,2,20,2,2,40,20,2,6,20,16,106,278,18,10,NA,2,4,NA,2,2,NA,NA,NA,2,2
NA,NA,NA,5,2,17,6,5,55,10,2,6,39,29,67,278,9,8,3,NA,10,2,NA,1,1,4,1,1,NA
