"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Platanus","Salix","Apiaceae","Vitis","Lythrum","Lemna","Potamogeton","Butomus umbellatus","Rumex acetosa-type","Olea","Symphytum-type","Centaurea solstitialis-type","Fraxinus ornus","Matricaria-type","Cladium mariscus","Onobrychis-type","Rubus fruticosus","Thelypteris palustris","Castanea","Juglans","Plantago lanceolata-type","Brassica-type","Pteridium","Alnus","Plantago maritima-type","Ranunculus sect. Batrachium-type","Pseudopediastrum boryanum","Fagus","Asteroideae","Capsella-type","Artemisia herba-alba-type","Ostrya/Carpinus orientalis","Polygonum aviculare-type","Galium-type","Poaceae (Cerealia-type)","Dryopteris-type","Unknown","Quercus robur-type","Pinus","Typha latifolia","Sparganium-type","Amaranthaceae","Poaceae","Cyperaceae","Pediastrum duplex","Caryophyllaceae","Ulmus","Juniperus","Rhinanthus-type","Artemisia vulgaris-type","Myriophyllum spicatum/M. verticillatum","Ophioglossum","Alisma","Pseudopediastrum kawraiskyi","Betula","Ericaceae","Sambucus","Carpinus betulus","Filipendula","Melampyrum","Teucrium","Fraxinus excelsior","Paliurus","Ranunculus sceleratus-type","Fabaceae","Ranunculaceae","Clematis-type","Solanum dulcamara","Thalictrum","Tilia","Malva","Humulus/Cannabis","Phillyrea","Corylus","Urtica","Thymus/Mentha","Plantago undiff.","Nymphaea","Pistacia","Ephedra fragilis-type","Hypericum perforatum-type","Ranunculus repens-type","Utricularia","Calystegia","Sanguisorba-type","Picea","Quercus ilex-type","Acer","Lotus-type","Loranthus","Onosma-type","Rosaceae","Trifolium-type","Bupleurum-type","Senecio-type","Potentilla-type","Astragalus-type","Hedera","Viburnum-type","Scrophularia/Verbascum","Rumex hydrolapathum","Helianthemum","Isoëtes","Campanula-type","Helleborus","Xanthium","Viscum","Plantago media-type","Plantago coronopus-type","Populus","Cotinus coggygria","Centaurea","Cistaceae","Valeriana","Centaurea scabiosa-type","Epilobium","Equisetum","Boraginaceae","Persicaria maculosa-type","Calligonum","Hippophaë","Menyanthes trifoliata","Liliaceae","Frangula","Centaurea cyanus-type","Euphorbia","Plumbaginaceae","Ephedra distachya-type","Myriophyllum alterniflorum","Valerianella","Betulaceae","Pediastrum undiff.","Sagittaria"
131,577,-303,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,5,6,7,7,7,7,9,25,36,37,64,88,107,1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,589,-260,40,NA,3,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,32,4,7,NA,NA,1,1,3,5,10,5,13,13,8,9,54,79,246,1,1,1,1,1,1,1,1,2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,606,-198,50,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,6,NA,NA,NA,4,2,3,1,2,4,3,7,3,9,8,30,31,8,6,11,87,140,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,623,-136,60,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,1,4,NA,NA,4,10,5,NA,2,2,3,3,3,13,2,95,23,46,60,52,206,1631,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,1,1,1,1,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,641,-74,70,3,NA,6,NA,3,2,2,NA,NA,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,48,5,5,NA,3,36,7,4,NA,3,9,9,8,15,13,14,77,47,67,84,23,344,443,NA,NA,1,5,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,15,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,658,-13,80,1,2,1,2,5,2,NA,3,NA,NA,5,NA,NA,NA,3,2,NA,NA,NA,NA,1,1,3,7,1,4,NA,19,NA,6,5,NA,2,14,7,1,6,33,22,73,38,7,42,53,271,374,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,75,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,670,29,87,2,1,1,1,3,1,1,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,1,1,NA,9,3,4,NA,2,4,7,89,1,5,6,6,3,6,44,21,85,40,34,61,23,223,235,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,1,5,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,697,125,103,10,NA,1,22,25,NA,1,NA,NA,NA,8,2,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,30,1,NA,21,7,2,7,5,9,3,1,9,6,29,114,84,7,25,4,376,32,NA,NA,NA,8,NA,NA,2,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,709,166,110,22,5,NA,375,8,3,NA,NA,NA,NA,5,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,64,5,264,NA,1,37,16,17,1,4,25,4,6,9,77,93,383,265,14,29,12,341,76,4,1,3,9,NA,NA,NA,NA,NA,11,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,1,1,6,7,3,2,NA,2,NA,1,1,NA,NA,2,NA,NA,1,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,726,224,120,9,2,NA,11,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,7,2,13,NA,1,362,2,NA,2,2,6,2,5,2,366,14,67,121,29,17,5,245,9,NA,NA,NA,2,NA,NA,NA,NA,NA,37,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
