"age_NA","ageolder_BP","ageyounger_BP","depth","Ostrya-type","Ephedra distachya","Quercus","Apiaceae","Pinus","Rubiaceae","Amaranthaceae","Artemisia","Juniperus-type","Poaceae","Ulmus","Alnus","Hippophaë","Ephedra fragilis","Betula","Fagus","Abies","Acer","Salix","Corylus","Buxus","Carpinus betulus","Picea","Tilia","Fraxinus","Hedera","Taxus"
NA,NA,NA,2385,1,1,3,3,5,9,25,43,83,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2405,NA,NA,1,1,5,6,21,48,33,80,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2375,NA,NA,1,2,10,2,20,45,58,81,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2175,NA,NA,16,NA,37,3,20,29,13,96,1,3,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2445,NA,NA,4,1,3,3,41,52,17,109,NA,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2185,NA,NA,11,6,35,5,20,26,5,123,NA,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2224,NA,NA,7,4,31,4,31,57,NA,141,1,NA,NA,2,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2585,NA,NA,9,NA,25,3,12,21,2,161,1,2,1,2,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2465,NA,NA,14,1,37,5,14,19,16,79,2,7,NA,1,NA,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2005,NA,NA,6,4,22,4,44,45,4,106,NA,13,1,NA,3,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2545,NA,NA,4,NA,40,8,27,32,21,132,NA,3,1,1,1,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2525,NA,1,9,3,13,8,13,42,32,128,2,11,NA,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2315,1,NA,42,2,25,6,16,25,30,124,NA,2,NA,1,8,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2345,NA,NA,10,1,15,3,6,41,18,128,NA,3,1,1,1,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,2605,1,NA,26,2,31,5,8,26,NA,134,7,3,1,NA,3,4,29,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2425,NA,NA,6,2,6,3,23,43,14,62,1,4,2,1,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1985,NA,NA,13,3,20,3,43,63,53,122,1,5,1,NA,2,7,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,2325,NA,1,25,1,26,5,12,41,22,110,NA,1,NA,2,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,2565,NA,NA,11,2,27,6,10,19,10,125,1,3,1,NA,1,3,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2365,NA,NA,4,3,21,6,20,53,57,127,NA,2,2,3,1,3,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA
NA,NA,NA,1925,NA,NA,12,2,22,10,24,43,4,168,1,1,NA,NA,3,2,5,NA,1,1,NA,2,NA,NA,NA,NA,NA
NA,NA,NA,1905,NA,NA,19,4,13,3,28,32,5,69,2,7,NA,NA,5,4,8,3,NA,1,NA,3,NA,NA,NA,NA,NA
NA,NA,NA,1865,1,1,7,2,20,11,16,28,4,141,NA,1,1,NA,NA,11,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA
