"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
59,NA,NA,0.5,"1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","5","6","9","10","10","11","12","17","23","54","56","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63,NA,NA,2,"","","","","","","","1","","6","6","","","2","","1","8","3","","1","","2","4","1","","6","4","4","9","5","5","4","15","6","5","8","6","29","12","55","48","130","1","1","1","1","1","2","2","2","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67,NA,NA,4,"1","","3","2","1","","6","","1","2","","","","","1","1","5","1","","3","2","4","","","","3","5","1","11","3","3","5","10","2","7","5","6","16","15","85","55","79","1","","","1","","1","","1","1","5","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87,NA,NA,5,"","","1","","2","","1","2","","","1","","3","","6","","5","5","2","3","2","","","","","","3","2","12","","1","","12","1","6","","2","19","20","74","38","148","2","1","","","","2","","2","2","","","","","","","","","1","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
403,NA,NA,25,"","","1","","2","1","2","1","","3","","","3","","2","","4","","","5","1","3","","","3","","","","13","2","3","10","6","2","4","3","1","30","21","70","57","67","","2","","","","1","","4","2","3","","","","","","","3","","","2","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
735,NA,NA,45,"2","","","1","3","1","2","","","1","1","","2","","","","5","1","","1","3","2","","1","4","1","","","13","","2","11","6","4","1","4","4","24","29","96","54","77","","1","","","3","","","1","10","5","","","","3","2","","5","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
753,NA,NA,46.5,"","","","","2","","2","","","","1","","3","","","12","3","5","","2","2","","2","3","","","1","","13","1","4","","18","2","3","1","3","24","26","36","29","117","","","","","3","","","2","3","76","1","","","","","","2","","","","11","","","","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
829,NA,NA,52.9,"","","1","","","","4","","","","5","","1","","","1","3","1","2","3","2","","1","","","","2","1","50","","3","","14","3","3","","5","24","27","39","49","180","","","","","3","","1","1","5","15","","","","","","","10","","","3","21","","","","6","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
887,NA,NA,57.7,"","","2","","2","","9","","","","7","","2","","","","7","3","","6","","","2","","","","1","1","34","","5","","2","3","11","1","1","32","27","105","42","181","","","","","5","","2","2","4","","","","","","","","3","","","7","4","","","","6","1","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
913,NA,NA,59.9,"","","1","","2","","","","","","2","","4","","","1","7","3","2","","2","","","","","","2","1","24","","5","","10","3","2","","3","37","9","82","35","154","","","","","2","","2","3","3","","3","","","","","","1","","","1","4","","","","3","3","4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
