"age_NA","ageolder_BP","ageyounger_BP","depth","Tilia","Ulmus","Pistacia","Phillyrea","Unknown","Artemisia","Corylus","Cyperaceae","Fagus","Alnus","Carpinus betulus","Polypodiaceae","Pinus","Poaceae","Pteridium","Erica","Ostrya/Carpinus orientalis-type","Quercus ilex-type","Quercus pubescens/Q. robur-type","Abies","Bidens-type","Plantago lanceolata-type","Varia","Caryophyllaceae","Vitis","Brassicaceae","Rumex acetosa-type","Olea","Botryococcus","Amaranthaceae","Apiaceae","Fabaceae","Urticaceae","Ranunculus acris-type","Dinoflagellata","Cichorioideae","Fraxinus ornus","Salix","Acer","Juniperus-type","Myriophyllum alterniflorum","Rhamnus-type","Fraxinus excelsior-type","Populus","Rosaceae","Arbutus","Asparagus","Polypodium","Anogramma","Anthemis-type","Ficus carica","Myrtus communis","Aspiromitus punctatus","Hedera","Mercurialis annua","Sparganium-type","Picea","Triticum-type","Rubiaceae","Betula","Rhinanthus-type","Plantago maritima-type","Anthoceros laevis","Pseudopediastrum boryanum","Cladium","Cistus","Taxus","Prunella-type","Sanguisorba minor-type","Sphagnum","Polygonum aviculare-type","Ephedra fragilis-type","Myriophyllum spicatum/M. verticillatum","Humulus/Cannabis-type","Avena-type"
NA,NA,NA,500,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,8,10,31,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,510,NA,3,3,1,6,5,18,3,10,6,1,1,1,12,10,6,33,96,69,1,1,1,1,2,2,2,2,2,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,526,NA,3,3,3,9,3,16,6,16,7,4,NA,1,31,12,5,47,100,106,NA,NA,4,1,2,1,1,NA,NA,53,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,520,NA,2,NA,1,12,7,16,10,17,6,12,NA,5,29,9,19,44,76,130,1,2,3,1,2,1,NA,NA,1,65,3,1,NA,NA,2,NA,1,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,554,NA,3,NA,2,1,8,6,NA,8,11,3,1,4,47,20,12,43,32,59,1,3,2,1,2,1,NA,6,1,53,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,450,NA,11,7,11,6,5,17,6,17,5,3,NA,1,20,8,1,45,166,110,NA,1,1,4,5,4,20,8,8,33,4,NA,NA,NA,NA,10,1,1,NA,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,536,NA,4,3,3,1,4,5,2,22,7,5,1,NA,30,3,7,85,96,206,2,3,1,2,2,1,7,4,1,35,3,2,NA,NA,1,NA,1,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,470,NA,9,23,15,12,6,9,10,38,16,15,2,4,55,22,6,41,169,104,1,NA,4,2,8,5,6,7,1,301,3,2,NA,NA,1,133,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,9,NA,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,490,NA,14,14,6,12,3,39,5,18,21,4,2,2,47,40,10,58,156,163,NA,2,4,4,2,3,8,8,NA,91,9,7,NA,NA,NA,149,3,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,4,10,NA,3,NA,1,NA,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,460,NA,23,21,14,19,7,27,5,21,4,10,1,1,32,10,7,39,277,127,NA,NA,6,5,5,5,30,5,9,28,4,NA,NA,2,NA,11,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,8,2,NA,NA,1,3,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA
