"age_Calendar_years_AD/BC","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Asteraceae undiff.","Rosaceae","Alnus","Pinus","Fagus sylvatica","Acer","Urtica","Abies alba","Cichorioideae","Polypodiophyta (trilete)","Amaranthaceae","Poaceae","Indeterminable","Polypodiophyta undiff. (monolete, without perine)","Carpinus betulus","Poaceae (Cerealia-type)","Cupressaceae","Ranunculaceae","Corylus","Trifolium","Fraxinus ornus-type","Ostrya-type","Quercus (deciduous)","Apiaceae","Castanea sativa","Artemisia","Ulmus","Ericaceae","Tilia","Quercus ilex-type","Plantago lanceolata","Rhamnus-type","Brassicaceae","Juglans","Olea","Rumex","Salvia","Salix","Hedera","Citrus","Primula","Plantago undiff.","Myrtaceae","Scrophulariaceae","Phillyrea","Fabaceae","Vitis vinifera","Fraxinus excelsior-type","Pistacia-type","Galium","Sanguisorba","Polygonum","Cedrus"
903,NA,NA,240,1,1,1,2,2,2,3,4,4,5,5,6,9,14,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
935,NA,NA,229.1,NA,2,NA,2,2,1,NA,1,3,5,4,28,15,18,55,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,NA,NA,208.8,NA,1,NA,7,3,NA,2,NA,4.5,6,10,5,9,14,49,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,NA,NA,195.3,2,NA,1,16,18,7,21,NA,60.5,NA,14,NA,9,38,71,NA,2,1,2,1,1,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,NA,NA,181.8,NA,NA,NA,3,14,6,8,1,100.5,2,5,1,4,16,17,NA,1,7,5,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165,NA,NA,169.6,3,NA,1,4,8,4,6,NA,104,3,4,2,2,14,12,3,3,5,4,NA,NA,4,2,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,NA,NA,162.8,4,NA,NA,7,13,8,12,NA,125,NA,5,NA,4,16,30,2,1,NA,3,NA,NA,NA,1,23,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,NA,NA,149.3,2,NA,1,4,8,9,16,1,143.5,NA,NA,1,4,28,23,NA,5,3,8,NA,NA,7,6,45,NA,1,NA,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305,NA,NA,135.8,NA,NA,2,7,10,17,17,NA,102,NA,2,2,5,31,20,NA,4,4,17,NA,NA,4,4,42,NA,1,NA,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,NA,NA,122.3,NA,NA,1,5,7,62,6,NA,99.5,NA,1,NA,5,20,3,3,3,NA,4,NA,NA,3,4,19,NA,NA,NA,NA,2,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
