"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Lamiaceae undiff.","Cichorioideae","Apiaceae","Polygala","Rumex acetosella-type","Betula pubescens","Sedum-type","Gentiana lutea/G. pneumonanthe","Ranunculus sect. Batrachium-type","Asteroideae undiff.","Potamogeton","Alnus glutinosa","Corylus avellana","Fritillaria lusitanica","Poaceae (Cerealia-type)","Erica australis","Halimium-type","Cyperaceae","Indeterminable undiff.","Quercus","Quercus ilex-type","Olea europaea","Pinus pinaster","Erica arborea-type","Poaceae","Pinus sylvestris-type","Pinus","Armeria","Plantago lanceolata-type","Rumex obtusifolius-type","Castanea sativa","Erica umbellata","Hedysarum cf. H. hedysaroides","Amaranthaceae-type","Vitis","Narcissus pseudonarcissus-type","Potentilla","Calluna vulgaris","Quercus robur-type","Nymphaea","Filipendula","Echium","Polypodium","Taxus baccata","Caryophyllaceae","Brassicaceae","Anthemis-type","Sphagnum","Filago-type","Plantago coronopus","Pteridium aquilinum","Juglans regia","Liliaceae-type undiff.","Dryopteris-type","Aquilegia","Narcissus bulbocodium","Vaccinium myrtillus","Hypericum perforatum-type","Juniperus communis","Equisetum","Galium-type","Campanulaceae","Hedera helix","Polygonum aviculare-type","Salix","Frangula alnus","Plantago alpina-type","Genista-type","Pedicularis sylvatica","Asphodelus","Cytisus grandiflorus","Ilex aquifolium","Micranthes stellaris-type","Hedwigia","Phillyrea","Myriophyllum spicatum","Fraxinus excelsior","Botrychium","Dipsacoideae","Fabaceae undiff.","Sparganium","Thalictrum","Helianthemum-type","Gentianella","Aconitum","Pistacia","Teucrium","Sanguisorba officinalis-type","Ulmus","Vicia","Typha latifolia","Rhamnus","Ephedra","Thymelaeaceae","Saxifraga granulata-type","Lycopodium clavatum","Lonicera periclymenum","Veratrum album","Centaurea nigra-type","Myrtus communis","Poterium sanguisorba","Lythrum","Lysimachia","Nigella","Myrica","Sorbus aucuparia","Lotus","Plantago major-type"
-30,20,-81,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,21,21,25,42,47,61,106,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,58,-40,2.5,NA,NA,NA,NA,NA,3,NA,2,NA,3,NA,NA,NA,NA,1,1,3,2,3,1,19,NA,36,93,60,127,37,130,1,1,1,1,1,1,1,2,2,3,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,97,0,5,1,NA,1,1,NA,3,1,4,NA,1,NA,1,2,1,5,14,14,21,NA,1,47,1,54,40,101,131,94,134,1,2,NA,NA,6,3,1,NA,NA,NA,14,46,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,138,39,7.5,NA,NA,3,3,NA,4,4,3,1,11,3,NA,1,1,2,1,3,6,21,NA,17,NA,22,23,75,141,26,49,NA,NA,NA,1,NA,NA,NA,1,1,6,15,17,NA,NA,NA,NA,1,4,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,181,76,10,NA,2,NA,1,NA,NA,NA,10,NA,2,3,1,7,NA,7,9,13,4,11,6,38,2,68,46,86,96,68,114,1,3,NA,1,NA,1,NA,NA,NA,NA,13,36,NA,NA,NA,NA,3,3,NA,NA,2,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,223,111,12.5,1,NA,1,NA,NA,7,NA,35,NA,4,3,NA,2,NA,1,4,2,2,1,NA,30,2,61,24,60,140,22,46,NA,1,NA,NA,NA,NA,NA,2,4,18,7,28,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,267,146,15,NA,3,6,2,NA,3,NA,32,NA,1,3,NA,1,NA,11,22,8,1,9,8,95,3,96,38,83,227,41,79,NA,6,NA,1,6,4,1,NA,NA,23,17,92,NA,NA,1,NA,4,3,NA,NA,1,NA,NA,5,NA,3,1,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,312,181,17.5,1,NA,2,NA,NA,5,1,26,NA,7,1,NA,1,NA,2,8,17,2,7,1,58,2,75,43,69,287,14,57,NA,4,2,3,1,NA,1,NA,5,22,4,56,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,2,NA,6,NA,NA,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,359,218,20,NA,NA,NA,NA,NA,1,NA,8,1,5,2,2,3,NA,5,29,44,NA,9,3,49,7,64,7,85,302,11,18,NA,5,2,3,3,2,NA,NA,NA,NA,12,42,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,452,288,25,2,NA,NA,5,NA,10,1,2,1,2,NA,NA,3,1,NA,3,7,NA,10,NA,33,8,50,67,76,159,3,70,NA,3,NA,2,4,NA,3,NA,NA,69,7,25,NA,NA,NA,NA,NA,2,2,1,NA,1,1,9,NA,NA,NA,NA,21,1,1,9,NA,1,1,NA,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
