"age_NA","ageolder_BP","ageyounger_BP","depth","Ephedra","Plantago lanceolata","Ulmus","Fraxinus","Indeterminable","Oleaceae","Unknown (periporate)","Quercus ilex-type","Quercus","Cyperaceae","Poaceae","Amaranthaceae","Polygonum","Alchemilla","Apiaceae","Rosaceae","Cichorioideae","Asteroideae","Pinus","Juniperus","Ericaceae","Rumex acetosella-type","Artemisia","Sparganium","Betula","Myriophyllum","Lobelia-type","Filipendula","Polypodiophyta","Rubus","Osmunda regalis","Rhamnus","Alnus","Fabaceae","Brassicaceae","Poaceae (Cerealia-type)","Salix","Rhinanthus","Lamium-type","Caryophyllaceae","Campanula","Unknown","Armeria","Thalictrum","Helianthemum","Calluna vulgaris","Ilex","Pteridium","Malva","Potamogeton","Ranunculus","Dipsacoideae","Fagus"
NA,NA,NA,1267,"1","2","2","2","3","6","6","8","13","16","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1405,"","","","","1","1","","1","2","12","16","1","1","1","2","4","13","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1245,"","2","","","1","18","2","86","76","44","70","","","","3","6","","","2","2","4","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1230,"1","2","","","1","7","1","62","35","9","12","","1","","1","1","3","4","1","","","","1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1160,"","7","","","","40","","26","4","5","16","2","","","","3","1","4","5","1","","2","","","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1180,"","1","","","","18","","35","10","8","12","1","","","1","3","2","5","1","","","3","1","","1","1","","2","1","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1240,"","6","","","1, 4","12","","71","26","7","17","","","","2","5","","","2","1","","2","","2","1","1","","","","1","1","14","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1280,"","13","","2","3","7","2","21","28","12","49","","","","2","4","1","4","2","","6","","","1","","","","3","","","","","1","1","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,1150,"2","8","","3","","47","","36","14","5","28","1","","","1","7","","3","","","","1","","","","1","","2","","2","","2","","","1","3","","","","","","","","","","","","","","","","",""
NA,NA,NA,1170,"","7","","","","54","","50","35","6","26","1","1","","","3","4","1","3","5","","3","","","","1","","","","1","","","","2","","","1","1","1","","","","","","","","","","","","","",""
NA,NA,NA,1395,"","","","","8","4","","5","6","20","32","11","","","7","20","43","17","5","","3","","2","","3","","","4","2","","","","","2","","","3","","","2","","","","","","","","","","","","",""
NA,NA,NA,1140,"1","16","","","","38","","16","15","8","13","","","","3","4","4","9","3","4","","5","2","","","","","2","1","1","","","","","1","","","2","","","2","","","","","","","","","","","",""
NA,NA,NA,1210,"","1","","","2, 3","10","","60","18","8","10","1","","","1","7","1","1","2","1","","","2","3","","","","2","","1","","2","","","","","","1","","","","1","","","","","","","","","","",""
NA,NA,NA,1295,"","","","","2, 3","","3","5","6","11","40","5","","","","4","3","1","","3","2","2","4","4","","","","1","","","","","","2","","","","","","","","","1","1","1","2","3","","","","","",""
NA,NA,NA,1125,"1","8","","","1, 2, 7","86","","48","8","11","20","","","","","2","3","8","4","5","","7","","","","","","3","","1","1","1","","","","","1","","1","","","","","","","","","1","","","","",""
NA,NA,NA,1310,"","5","","2","1, 2","2","1","9","3","6","54","1","","","3","5","8","2","","","2","","","","","2","","10","1","1","","","","","","","1","","","","","","","","","1","","","1","","","",""
NA,NA,NA,1260,"","10","","1","","1","","40","9","7","25","3","","","2","5","2","5","","1","1","2","3","","","","","1","2","","","1","","","","1","","","1","","","","","","","","","","","1","1","1",""
NA,NA,NA,1220,"2","16","","1","6","36","","94","65","29","27","","","","","3","5","2","1","1","2","10","1","4","","2","","","","1","6","","","2","1","","","","2","","","","","","","","","","","","","","2"
NA,NA,NA,1290,"","23","2","1","1","","4","70","21","23","95","5","","","3","4","5","7","","4","7","16","7","3","","","","15","","2","","1","1","3","","","","","1","","","","","","3","","4","","","","","",""
NA,NA,NA,1334,"","5","","3","1","10","3","56","3","29","84","","","","5","13","18","7","8","5","5","8","1","","2","1","","3","2","3","","3","2","2","","","","","","","","","","","","","5","","","","","1",""
NA,NA,NA,1350,"","2","","2","1, 3, 8","104","5","62","51","17","63","","","","3","11","23","8","8","20","1","11","2","","1","","","1","3","","","","1","4","","","1","1","3","","","","","","1","","20","","","","1","",""
NA,NA,NA,1200,"","6","1","","7, 9, 15","31","","61","24","11","11","1","","","3","5","5","5","5","3","1","1","","","3","","","1","1","1","","","","1","1","","2","","","2","","","1","1","1","","","","","","1","","1"
NA,NA,NA,1270,"1","18","","3","3, 4","7","3","70","52","29","56","1","","","5","6","4","3","1","3","1","6","1","","1","3","","1","","1","","1","1","1","","","","","3","","","","","","","","3","","","","1","","1"
