Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Afraegle,Alchornea,Alnus,Amaranthaceae/Chenopodiaceae,Antidesma,Apocynaceae,Araliaceae,Artemisia,Balanites,Betula,Bombax,Borassus/Hyphaene,Borreria,Caesalpinioideae,Capparis,Caryophyllaceae,Cassia,Celtis,Chrozophora,Cissampelos mucronata-type,Clematis,Combretaceae,Commelinaceae,Compositae,Connaraceae,Corylus,Cucurbitaceae,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Ephedra,Ericaceae,Euphorbiaceae,Ficus,Gramineae,Hymenocardia,Ilex,Indeterminables,Indetermines,Indigofera,Ipomaea,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Lycopodium,Macaranga,Menispermaceae,Mitragyna,Monoletes,Moraceae,Morelia senegalensis,Nymphaea,Oldenlandia,Papilionoideae,Phoenix,Phyllanthus,Phyllanthus reticularus-type,Piliostigma,Pinus,Podocarpus,Polycarpaea,Polygala,Polygonum senegalense-type,Quercus,Rubiaceae,Salvadoraceae,Securinega virosa,Sesbania,Solanum,Syzygium,Tephrosia,Triletes,Typha,Uapaca,Vitex,Ziziphus
341.371,1,,,,,1,,,,,,,,26,,,,,,,,,,,,,,,,313,,,,,,,,140,,,,13,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
354.6935,8,,,,,2,,,,,,,,21,,,,,,,,,,,,1,,,,318,,,,,,,,131,,,,14,,,,,,,,73,,,,,,,,,,,,,,,1,,,,,,,,,,,,,38,,,
368.0161,15,,,,,3,,,,,,,,8,,,,,,,,,,,,1,,,,266,,,,,,,,199,,,,2,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,
383.2419,23,,,,,2,,,,,,,,2,,,,,,1,,,,,,,,,,256,,,,,,,,195,,,,4,1,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,
422.2328,31,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,247,,,,,,,,162,,,,1,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,
478.25,40,,,,,,,,,,,,,1,,,,,,,,,,2,,2,,,,239,,,,,,1,,190,,,,2,,,,1,1,,,43,,,,,,,,,2,,,,,,,,,,,,,,,,,,,78,,,
528.0431,48,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,206,,,,,,,,192,,,,5,,,,,,,,58,,,,,,,,,2,,,,,,,,,,,,,,,,,,,123,,,
593.175,55,1,,,,3,,,,,1,,,1,1,,,,,,,,,1,,,,,,145,,,,,,,,254,,,,1,,,1,,,,,70,,,,,,,,,1,,,,,,,,,,,,,,,,,,,97,,,
987.975,63,,,,,6,,,,,2,,,13,1,,,,,2,,,,2,,,,,,120,,,1,,,,,317,,,,2,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,
1432.125,72,,,,,3,,,,1,,,,24,,,,,,,,,,,,1,,,,118,,,,,,,,346,,,,11,,,,1,,,,145,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,13,,,
