Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia I,Acacia III,Acalypha,Adenium,Aerva-type javanica,Aeschynomene,Alchornea,Allophyllus,Aloe-type,Amaranthaceae/Chenopodiaceae undiff.,Anopyxis-type klaineana,Anthocleista,Anthospermum,Aphania-type senegalensis,Apiaceae undiff.,Apocynaceae undiff. [undefined],Apocynaceae undiff.,Artemisia,Asparagus,Asteraceae undiff.,Balanites aegyptiaca-type,Bombax buonopozense-type,Brassicaceae undiff.,Bridelia ferruginea-type,Cadaba-type,Capparis,Cassia-type,Cassia-type italica,Catunaregam-type,Celosia argentea-type,Celtis,Chlorophytum-type,Cissus,Cleome-type,Combretaceae undiff.,Combretum-type,Commiphora africana-type,Convolvulaceae undiff.,Convolvulaceae undiff. (Cressa type),Cyperaceae undiff.,Ekebergia-type capensis,Ericaceae undiff.,Euphorbiaceae undiff. [undefined],Euphorbiaceae undiff.,Euphorbia-type,Fabaceae undiff.,Ficus,Fluegga virosa,Hallea-type,Hygrophila,Hymenocardia acida-type,Hypericum,Indigofera,Irvingia-type,Ixora-type brachypoda,Justicia anselliana-type,Kohautia,Lamiaceae undiff. [undefined],Lamiaceae undiff.,Lannea-type,Laportea-type aestuans,Laurembergia tetrandra,Lawsonia-type inermis,Leonotis-type,Leucas-type,Lophira,Ludwigia-type,Macaranga-type,Maerua-type,Mansonia altissima-type,Markhamia zanzibarica-type,Meliaceae undiff.,Menispermaceae undiff.,Monocotyledoneae undiff.,Monoletes undiff. [undefined],Monoletes undiff.,Morelia senegalensis,Nauclea-type,Nymphea lothus-type,Olea capensis-type,Pausinystalia-type [undefined],Pausinystalia-type,Paveta eliotti-type,Pavetta,Phyllanthus-type,Plantago,Poaceae undiff.,Podocarpus,Polycarpaea-type,Polygala-type,Polygonum senegalense-type,Prosopis-type africana,Psydrax-type subcordata,Pycnanthus angolensis-type,Rubiaceae undiff. [undefined],Rubiaceae undiff. [undefined],Rubiaceae undiff. [undefined],Rubiaceae undiff.,Salvadora,Sapotaceae undiff. Argania spinosa,Sapotaceae undiff. Chrysophylum,Sapotaceae undiff. Sideroxylon-type,Scrophulariaceae undiff. Stemodia serrata-type,Striga-type hermonthica,Syzygium-type guineense,Tamarix,Tapinanthus-type,Tephrosia uniflora-type,Treculia,Triletes undiff. [undefined],Triletes undiff.,Typha,Uapaca,Uncaria-type africana,Undetermined,Urticaceae undiff. [undefined],Urticaceae undiff. [undefined],Urticaceae undiff.,Vernoniae undiff.,Zanthoxylum-type,Ziziphus-type,Zygophillum simplex-type
5040,10.25,,,,,,2,3,,,16,,,,,,,,,,4,,,,,,,,,,,10,,,,17,,1,,,67,,,,,1,,2,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,1,,,,,,,,,,,,,,4,21,,0,5,,,,,,
5156,15.25,,,1,1,2,,8,,,15,,,,,,,,,,1,,1,,,,,2,,,,10,,,1,22,,,,,89,,,,,,3,3,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,2,,1,2,,2,,,1,,,1,119,1,,,,,,,,,,,,,,,,,1,,,,,1,,5,33,,0,1,,,,,,2
5271,20.25,,,,,1,,5,1,,15,1,,,,,1,,,,3,,,,,1,,2,,,,14,,1,,20,,,,,89,,1,,,,2,2,,,,,,1,,,,,1,3,1,3,,,,,,,,1,,,1,,,3,,,1,,1,,1,,,,1,144,1,,,,,,,,,,,2,,,,,,,,,,1,,,6,30,,1,1,,,,,,1
5387,25.25,,,,,2,,4,,,11,,,1,2,1,,,1,,2,,,1,,,,1,,,,18,,1,,19,,,,,102,,,,,,,3,,,,,,1,,,,,,,,4,,,,,,,,1,1,,1,,,3,,,1,,3,,,,1,,1,148,,1,,,,,,,1,1,,,,,,,,,1,,,1,,,6,32,,7,,3,,,,1,
5438,30.25,,,3,,,,2,,,9,,,,,2,,,,,1,,,,1,,1,5,,,,19,,2,,22,,,,,80,,,,,,,2,,,,,,2,,,,,3,,,2,,,,1,,,,,,,,1,,,,,,,2,,,,,,,161,1,,,,,,,,,1,,2,,,,,1,1,,,,,,,9,29,,3,,2,,,,,
5482,35.25,,1,3,,2,,5,,,5,,,,,,1,,,,4,,,,1,,,4,2,,,12,,,,25,,,,,95,,1,,,,,1,,,,,,,,1,,,2,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,133,1,,,,,1,,1,,,,1,1,,,,,,,,,,,,8,31,,3,6,,,,,,
5537,40.75,,,3,,1,,7,,,11,,,,,,,,,,3,,,,,1,,5,,,,15,,,,27,,,,,67,,,,,,,1,,,,4,,2,,,,,2,,,3,1,,,,,,1,1,,,,,,1,,,,,2,,,,,,1,131,1,,,,,,,4,1,,,,,,,,,2,,,,,,1,7,49,,1,3,,,,,,
5642,45.25,2,,5,,,,2,,1,7,,,,,1,,1,,1,7,,,,,,,10,,,,12,,2,,21,,,,,79,,1,,,1,,2,1,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,2,1,2,,,,,,1,151,1,,,1,,,,,,,,1,,,,,,3,,,,,,,5,45,,2,4,,1,,,,
5759,50.25,2,,2,,2,,2,,,10,,2,,,1,,,,,1,,,,,,,3,,,,12,1,,,24,,,,,75,,2,,,,,2,,,,,,1,,,,,,,,4,,,,,,,,1,,,,,1,2,,,1,,4,,,,,,2,152,,,,,,,,,3,,,,,,,,,2,,1,,,1,,13,49,,2,,6,,,1,,
5864,54.75,,,4,,,,2,,,11,,3,,,,,,,,2,,,,,,,5,,,,16,,,,24,,,,,60,,2,,,,,2,,,,,,,,,1,,1,,,2,1,,,,,,2,,,,,,,2,,,1,,8,,,,,,1,157,,,,,,1,,,3,,,,,,,1,,3,,,,,,,5,50,,0,,,,,,,
