Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe I,Acacia groupe III,Acalypha,Acanthus-type,Adansonia digitata,Aerva javanica-type,Aerva lanata-type,Alchornea,Amannia-type,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anthostema senegalense,Antidesma venosum,Artemisia,Ascolepis,Balanites aegyptiaca-type,Basilicum-type,Bridelia micrantha,Caesalpinioideae,Canthium subcordatum,Canthium-type,Cassia-type,Ceiba pentandra,Celtis integrifolia,Centaurea perrottetii,Chenopodium-type,Cissus-type,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina forskalaei-type,Commiphora africana,Crossopteryx-type,Cyperaceae,Detarium,Dichrostachys cinerea,Euphorbia,Ficus,Galium-type,Garcinia,Gomphrena,Gramineae,Gynandropsis gynandra,Hygrophila,Indeterminables,Indetermines,Ixora brachypoda-type,Jussiaea-type,Kohautia,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Liguliflorae,Lophira alata,Macaranga,Maerua/Ritchiea,Maytenus senegalensis,Millettia,Mitracarpus villosus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Nymphaea lotus-type,Phoenix reclinata,Plantago lanceolata-type,Polycarpaea,Polycarpon prostratum,Polygala,Polygonum senegalense,Potamogeton,Pteris-type,Resedaceae,Rhizophora,Rhus,Rubiaceae,Rumex,Salacia senegalensis,Salix,Salvadora persica,Sapindaceae,Sapotaceae,Spermacoce radiata,Spermacoce-type,Spores indeterminees,Suaeda,Syzygium,Tamarix senegalensis,Treculia africana,Tribulus terrestris,Triletes,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia perrottetii,Ximenia americana,Zanthoxylum zanthoxyloides
1121.1,12,3,,,1,,,,,,30,,,,,,1,,,1,,,4,,,,,,,1,,,,,226,,,,,,,3,1680,1,,21,4,,1,,,1,,2,,,,,1,1,1,,,6,25,,,5,11,1,,,,,,,,,,,,,,6,,,,,,,1,,,782,,,,,,
1961.1,62,,1,,,1,,4,,,12,5,,,,,,,,,,,,,1,1,,,,1,6,,2,,114,,,1,,,,,551,,,6,5,,,,1,,1,,,,1,,,1,,1,,,13,,,,5,,,43,,,4,,,,,,,,,2,1,,,,2,,,,8,459,,,,,,
2347.5,85,,,,,,,,,1,12,,,,,,,,,,,,,,3,,,,,2,10,,,,25,,2,,1,,,,322,,,3,2,,,,2,,,,,,,1,,2,1,,,1,11,2,,1,,,,,,,49,,,,,,,,,1,,,,1,,,,,9,102,,,,1,1,
2943.339,109,,3,,,,2,3,3,,10,,,,,,,,,,,,,1,5,,5,,8,,6,,,,36,,,,,,,,247,,,10,,,,,1,,,,,1,,,,,,,3,1,9,,,2,,,,,,1,59,,,,,,,,,2,,,,2,1,,,,8,109,,,,,,1
4853.557,159,,1,,,,1,8,,,8,,,,,,,,,,,,,,2,,1,,1,,8,,,,73,,1,,,,,,386,,,7,5,,,,,,1,,,,,,,2,,,,2,19,,,1,2,1,1,16,,,25,,,1,,1,,,,,,,3,,,,,,11,643,,,,1,,
5846.87,185,,,,,,,2,3,,8,2,,,,,,,1,,,,,,5,,,,4,1,12,1,,,19,,,,,1,,,109,,,10,1,,,,1,,,,,,,,,,1,,,,5,,,,,,,,,,121,,,,,,,,1,,,,,3,,,,,,40,,,,1,,
6763.774,209,,,,,,,,3,,2,1,,,,,,,,,,1,,,3,,,,,,10,,,,33,,,,1,,1,1,112,,,25,3,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,487,1,1,,,,,,,1,,,,4,,,1,,,9,,,,,,
0,235,,,,,,1,,8,,,,,,,,,,,,,,,,1,,,,1,1,4,,,,12,,,,,,,,57,,,2,2,,,1,,,,1,,,,,,,2,1,,1,,,,,1,,,,,,800,,,,,,,,,,2,,,2,,,,1,,14,,,,,,
0,262,,,,,,,3,1,,4,1,,,1,,,,,,,,,1,7,,1,,,1,8,,,,41,,,,,,,,235,,1,6,2,,,,,,,,,,,1,,,,2,3,2,10,,,1,1,,,1,,,144,,,,,,1,,,1,,1,1,,,,,,6,162,,,,,,
0,284,,,1,,,1,,2,,2,1,,1,,,,,,,,,,,1,,,,3,1,4,,,,4,,,,,,,,55,,,6,2,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,567,,,,1,,1,,,1,,,,6,,,,,,15,,,,1,,
