depth,Cupressaceae,Zanthoxylum,Croton,Poaceae >40,Liliaceae,Capparidaceae,Hildebrantia,Pediastrum boryanum,cf. Nuxia,Pterolobium,Solanum,Coelastrum,Olea europaea ssp. africana,Ricinus communis,Indeterminate,Euclea,Zea mays,Unknowns various,Clematis,Teclea,Hagenia abyssinica,Apiaceae,Rhus,Papilionoideae undiff.,Urticaceae,Rumex,Potamogeton,Artemisia,Asteroideae,Botryococcus,Celtis,Nymphaea,Eucalyptus,Chenopodiaceae/Amaranthaceae,Unknown tetracolpate,Cyperaceae,Hypoestes,Indigofera,Prunus africana,Spores monolete,Podocarpus falcatus,Typha type-angustifolia,Myrica,Poaceae <40,Acacia group III,Brassicaceae,Plantago,Dodonaea angustifolia,Tiliaceae,Acacia group I,Alchemilla,Carissa,Tapithus,Olea capensis,Senna,Lamiaceae hexacolpate,Combretum,cf. Rosa,Acanthaceae undiff.,Acalypha,Ranunculaceae/Papaveraceae undiff.,Rapanea,Euphorbia,Terminalia,Tribulus,Spores trilete,Rubiaceae undiff.,Typha latifolia,Caryophyllaceae,Lamiaceae tricolpate,Allophylus,Euphorbiaceae undiff.,Blepharis,Maesa,Bersama,Commiphora,Phyllanthus,Ericaceae,Kohautia,Maytenus,Polygonum,Polyschias,Ficus,Lactucoideae,Trilepisium,Jasminum,cf. Kedrostis,Sapotaceae,Ekebergia,Combretaceae undiff.,Dombeya,Anacardiaceae undiff.,Ziziphus,Leucas,cf. Svensonia,Myriophyllum,Canthium,Phoenix,Schefflera,Justicia,Commelina
0.25,155,1,1,18,1,1,1,11700,1,1,1,3296,29,8,24,2,4,4,2,1,2,2,1,2,2,46,12,1,11,548,3,9,4,22,4,78,1,2,1,2,18,2,3,177,2,1,4,24,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,721,,,10,,,1,8580,2,,,,67,,24,2,,4,3,1,,,2,,4,12,2,1,12,622,10,22,,26,5,41,1,,,12,23,4,4,149,2,,2,9,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,659,,,15,,1,,25083,3,1,,,64,,12,1,,2,1,,2,,6,1,1,6,1,,4,493,8,2,,17,8,35,1,,1,6,42,2,9,142,1,1,1,8,,1,,,,2,,,2,,,,,2,,,,,1,,,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
12,79,,,8,,3,,33063,1,2,,,49,,11,1,,3,1,,,1,4,1,3,18,1,,1,377,21,3,,17,4,29,1,,,3,54,1,30,120,1,,3,71,,1,,,,,,,2,,,3,2,,,,,2,4,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
16,60,,,11,,,2,49980,4,1,2,,24,,12,1,,3,5,1,4,,2,1,4,9,1,,4,303,10,,,16,1,53,,,,1,109,,5,201,3,,,9,2,1,,,,2,,,,,,1,,,,1,1,1,2,1,,,,1,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,
20,84,,1,10,,,,100555,1,,3,,26,,13,,,2,6,,8,,,,1,,,,8,143,8,1,,15,1,56,,,,5,150,1,3,154,2,,,5,2,,,,,3,,,1,,,,,,2,1,,1,2,,,,,1,,,,,,,,,,,1,,1,1,2,1,1,1,,,,,,,,,,,
24,77,,,9,,,,18864,3,,2,,15,1,12,2,,1,2,1,4,,1,,2,1,,,2,35,8,,,11,,65,,,,9,162,,3,98,3,,,2,,1,,,,2,,,,,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,,,,,,,,,,,
26,75,,,12,,,1,25632,3,,,,24,,9,,,3,2,,4,,2,,4,4,,1,,69,4,,,11,1,48,,,1,5,194,,2,135,1,,1,4,,,,,,5,,,2,,,1,,1,,2,,,,,,1,,,,1,,1,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,
36,80,,1,11,,,1,55104,4,,2,,31,,9,2,,4,3,,5,1,1,2,17,2,3,,8,158,17,2,,4,,69,2,,,7,161,,4,115,4,,,5,,1,,,,5,,,2,,,1,1,2,1,1,,2,2,,,,,,,,,,,,,,1,,,,,,1,1,1,2,1,1,,,,,,,,,
49,78,,,9,1,,,51277,7,,3,,25,,10,,,9,5,2,2,,3,1,10,2,2,,6,191,20,1,,9,1,47,2,,,4,158,,2,134,4,,,5,,1,,,,5,,,,,,3,,1,1,,,3,2,,,,1,,,,,,,,,1,,,,1,,,1,,1,4,,,1,,,,,,,,
62,68,,,12,,,,77645,4,1,4,,23,,10,,,2,3,,8,,3,1,4,1,,,6,189,12,2,,14,2,38,1,,,4,157,1,2,141,4,,,5,,,,,,,,,3,,,,1,1,2,,,2,1,,,,2,,1,,1,1,,2,,,1,,,6,,,,,5,3,,,,1,,,,,,,
75,97,,,17,1,,,42228,6,,1,,10,,13,,,4,2,,7,,1,2,,5,,,1,334,10,2,,15,,47,,1,,4,148,,7,157,3,,,1,,,,,,3,,,1,,,1,,,2,,,,3,,,,1,1,,,,,,,,1,,,,,,,,,2,3,,,,,1,1,,,,,
88,55,,,13,1,2,,17618,4,1,,,15,,14,1,,2,3,,2,,2,,2,2,2,1,4,797,8,7,,7,,37,,,,9,177,,9,188,3,,,,,2,,,,2,,,3,,1,1,,,1,1,,2,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,2,,,,
101,60,,1,13,,1,,70400,3,1,,,12,,7,,,2,2,1,3,1,1,1,3,2,,,,2024,14,7,,17,1,39,,,,6,186,,9,158,3,1,,,,,,,,4,,,3,,,3,1,1,,,,1,2,1,,,2,,1,1,1,,,,,,,,,1,,,,,,2,,1,,,,,1,1,,,
114,54,,,17,,,,152760,2,,,,17,1,8,,,2,,,2,,,2,6,1,,,2,823,14,5,,14,,40,,1,,7,182,1,9,161,5,,,,,1,,,,1,,,,,,1,1,1,,,,1,1,,,,,1,,1,,2,,1,,,1,,,,,,1,,1,2,,,,,,,1,1,1,1,1
