sample_name,depth,Macaranga,Cyperaceae,Monoletes,Olea africana,Euclea,Triletes,thickness,Podocarpus,Olea capensis,Ambrosieae,Urticaceae,Combretaceae,Gramineae,Chenopodiaceae,Tubuliflorae,Liguliflorae,Hagenia abyssinica,Indetermines,Hypoestes-type,Ericaceae,Croton-type,Achyranthes-type aspera,Rumex,Juniperus procera,Amaranthaceae/Chenopodiaceae,Boscia-type,Acalypha,Cruciferae,Celtis,Dodonaea viscosa,Umbelliferae,Rhus-type,Schefflera myriantha-type,Aerva-type javanica,Typha,Anthospermum,Commiphora africana-type,Euphorbia,Ricinus communis,Myrica,Salvadora persica,Euphorbia hirta-type,Syzygium,Trema-type orientalis,Aidia-type micrantha,Celosia-type trigyna,Cyathula-type orthacantha,Schefflera abyssinica-type,Apodytes dimidiata,Lantana-type virbunoides,Ilex mitis,Clematis,Allophylus,Vernonieae,Alchemilla,Aningeria-type,Teclea-type,Celastraceae,Justicia flava-type,Convolvulaceae,Rubiaceae,Artemisia,Psilotrichum-type elliottii,Prunus africana,Trichodesma zeylanicum-type,Zanthoxylum-type usambarense,Papilionoideae,Solanum,Combretum-type molle,Corbichonia-type decumbens,Lepisanthes-type senegalensis,Canthium schimperianum-type,Spiniluma-type oxyacantha,Pterolobium stellatum,Cussonia,Oldenlandia-type,Digera-type muricata,Ekebergia-type,Rapanea melanophloeos
,2,1,29,4,1,3,1,2,66,3,1,1,1,27,3,5,3,6,7,1,1,2,1,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,34,1,10,3,,2,80,3,,,,84,,,,7,6,,7,,,1,12,4,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,15,,11,3,,2,122,4,,,3,96,,1,,7,2,,1,,,2,9,2,,5,,14,5,3,3,1,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,57,5,6,1,1,2,118,7,,,1,110,3,,1,11,1,2,1,,,,3,4,,1,,2,,2,,,,9,,,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,70,7,7,1,,2,274,17,,,2,170,,,,9,8,1,,,,,24,,,,,4,,,,1,,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,153,11,8,7,1,2,114,3,,,3,168,,4,,7,2,,2,,2,,8,5,,4,,2,4,,1,,,8,,,,,1,,,1,,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,,56,8,10,3,1,2,71,3,,,1,83,8,6,,12,2,2,3,,,1,9,1,,,,3,6,3,1,,,3,,,3,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,,96,4,2,4,3,2,66,21,,,5,146,2,8,,4,2,,6,,,3,8,3,,2,,5,2,,1,2,,3,,,,,1,,,1,,,,,,,,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
,200,,23,1,24,6,1,2,75,8,,,1,110,5,1,1,3,5,,2,,,,2,,,1,,1,2,,1,,,3,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,225,,41,3,27,12,,2,85,13,,,2,121,,3,,3,1,,3,,,1,2,10,,2,,6,,1,1,1,,7,,2,,,1,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
,250,,31,4,21,2,1,2,133,15,,,1,99,3,4,,1,,1,,,,1,4,3,,,,6,,,2,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,275,,65,1,10,9,,2,123,10,,,,128,,3,,,2,,,,,,1,1,,4,,5,1,,1,,,2,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,,24,1,7,3,,2,71,8,,,1,82,2,,1,5,3,,1,,,,12,,,1,,1,3,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,
,325,,38,8,5,1,,2,132,9,,,1,116,2,9,,2,3,,8,,,1,21,3,,,,,4,2,4,2,,2,,,,,1,,,,1,,1,,,,,,,,,,,,,,,3,,,,,1,1,,,,,,,,,,,,
,350,,31,5,4,,1,2,123,8,,,1,166,,4,,6,,,2,,1,,7,2,,2,,4,5,6,,,,,,3,1,2,1,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,
,375,,32,5,4,4,1,2,101,14,,,,122,3,1,,5,1,,6,,,1,7,2,,,,2,2,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,
,400,,21,4,1,,,2,151,14,,1,,101,,2,1,3,2,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,,73,7,8,3,2,2,253,11,,,4,228,,3,,5,,,5,,1,3,7,6,1,,,4,1,2,3,1,,17,1,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,450,,20,3,7,2,1,2,117,3,,,1,175,,1,,5,2,,3,,,2,,3,,,5,,1,1,2,,,3,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
,475,,45,6,4,,1,2,129,2,,,6,142,,1,,2,3,,9,,,1,7,,,,,5,1,,,,,7,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,
,500,,23,4,1,2,,2,101,7,,1,1,116,,2,,5,4,,4,,,1,8,2,,,,5,2,1,1,,,4,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
,525,,47,10,2,,5,2,98,6,,,3,121,2,5,,1,1,1,4,,,,4,1,,,,2,1,2,1,,1,3,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,
,550,,25,2,2,1,,2,126,5,,,1,191,,5,,2,1,2,5,,,,5,2,,,,2,2,2,1,,1,5,,,1,,1,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,1,
,575,1,32,2,6,4,1,2,93,2,,,1,142,,3,,8,,1,6,,,2,1,3,,,,1,1,1,1,1,,10,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,587,,28,2,2,8,3,2,98,9,,,2,181,4,5,,4,3,,3,,,1,2,2,,,,4,,1,,,,1,,1,,5,1,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1
