"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Betula","Ranunculaceae","Rosaceae","Alisma","Secale","Ranunculus acris-type","Littorella","Fraxinus ornus","Rumex acetosa","Poterium sanguisorba","Indeterminable undiff.","Equisetum","Tilia","Vitis","Pinaceae","Brassicaceae","Filipendula","Castanea","Potamogeton","Urticaceae/Moraceae","Rumex acetosella","Quercus ilex","Unknown (trilete, psilate)","Cyperaceae","Cichorioideae","Ericaceae","Salix","Corylus","Amaranthaceae","Plantago lanceolata","Fraxinus excelsior-type","Platanus","Juglans","Ulmus/Zelkova","Unknown","Artemisia","Cupressaceae","Pteridium aquilinum-type","Poaceae","Alnus","Carpinus betulus-type","Pinus","Fagus","Quercus (deciduous)","Pollen concentration","Euphorbia","Ilex","Plantago major","Rubiaceae","Rumex undiff.","Cedrus","Olea","Pterocarya","Poaceae (>37 µm)","Dryopteris filix-mas","Unknown (monolete, non-psilate)","Plantago","Pistacia","Indeterminable","Rhododendron","Unknown (monolete, psilate)","Cladium","Apiaceae","Centaurea cyanus","Ostrya/Carpinus orientalis","Sagina","Anthoceros","Asplenium","Fabaceae","Asteroideae","Lamiaceae","Melampyrum","Valerianella","Typha/Sparganium","Myrica","Taxus","Hedera","Acer","Nymphaea","Riccia","Thelypteris palustris","Polypodium vulgare","Phacelia","Myriophyllum verticillatum","Calligonum","Sambucus","Mercurialis annua","Lycopodium","Caryophyllaceae","Buxus","Pinguicula","Hippophaë","Celtis","Elaeagnus","Picea","Cannabis","Polygonum aviculare/Bistorta officinalis","Boraginaceae","Liliaceae","Unknown (trilete, non-psilate)","Polygonum sensu lato undiff.","Viburnum","Ephedra fragilis-type","Silene","Chrozophora","Knautia","Geranium","Helianthemum","Centaurea jacea","Cistus","Loranthus","Calystegia","Thalictrum","Typha (tetrad)","Lythrum"
6,NA,NA,18.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,6,6,7,7,8,8,8,10,14,16,26,45,52,52,68,82,94,26959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,40,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,1,NA,3,NA,NA,4,4,1,1,1,4,1,4,NA,1,3,5,24,3,3,NA,11,21,22,34,11,15,6558,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,NA,74,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,1,NA,4,NA,1,NA,2,5,1,NA,NA,NA,6,2,1,1,1,NA,1,10,3,NA,NA,4,8,8,23,19,11,3315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,20,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,NA,NA,102.5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,1,NA,1,NA,2,2,NA,NA,6,3,6,NA,6,6,8,1,1,4,4,1,3,9,6,19,2,24,50,49,27,41,73,48248,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,NA,NA,128.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,NA,6,2,NA,4,6,NA,6,16,7,4,1,15,41,51,56,40,140,59501,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,NA,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,3,2,7,NA,2,14,13,3,13,2,5,7,NA,12,55,23,38,14,127,19032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,NA,NA,194.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,7,NA,2,NA,NA,14,17,NA,7,5,3,2,NA,9,4,2,3,35,3,3,4,3,30,32,80,34,76,5963,NA,1,NA,1,NA,NA,NA,NA,NA,8,5,NA,NA,NA,12,18,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,NA,NA,217.25,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,14,NA,2,NA,NA,21,3,NA,2,1,3,1,NA,6,8,1,2,25,5,NA,2,9,56,19,70,23,58,15042,NA,1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,5,21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,NA,NA,263,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,7,NA,NA,NA,NA,NA,2,NA,1,11,5,NA,2,7,1,4,2,4,13,1,6,12,5,3,1,22,39,22,110,33,104,98089,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,NA,NA,298.5,1,1,1,1,NA,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,2,1,15,NA,NA,NA,NA,4,5,NA,4,1,4,1,NA,3,6,2,6,40,6,3,7,11,43,20,43,25,96,8884,NA,NA,NA,NA,NA,NA,NA,NA,1,7,13,NA,NA,3,1,31,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
