"age_NA","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ericaceae","Cichorioideae","Rhododendron","Ranunculaceae","Lamiaceae","Rumex undiff.","Urticaceae/Moraceae","Cistus","Sagina","Unknown (trilete, non-psilate)","Salix","Quercus ilex","Castanea","Plantago lanceolata","Alnus","Juglans","Quercus (deciduous)","Carpinus betulus-type","Indeterminable","Asplenium","Unknown (monolete, non-psilate)","Pteridium aquilinum-type","Fagus","Dryopteris filix-mas","Amaranthaceae","Poaceae","Unknown","Unknown (trilete, psilate)","Pinus","Unknown (monolete, psilate)","Pollen concentration","Artemisia","Boraginaceae","Vitis","Pistacia","Potamogeton","Pterocarya","Poterium sanguisorba","Tilia","Apiaceae","Rosaceae","Typha/Sparganium","Mercurialis annua","Ulmus/Zelkova","Indeterminable undiff.","Asteroideae","Fraxinus excelsior-type","Olea","Platanus","Corylus","Cupressaceae","Brassicaceae","Secale","Rumex acetosella","Sambucus racemosa","Ostrya/Carpinus orientalis","Poaceae (>37 µm)","Betula","Ranunculus acris-type","Oleaceae","Fabaceae","Rubiaceae","Rumex acetosa","Anthoceros","Abies","Viburnum","Scabiosa","Polypodium vulgare","Plantago major","Liliaceae","Hedera","Centaurea jacea","Trifolium","Potentilla","Persicaria maculosa","Sphagnum","Buxus","Ailanthus","Polygonum aviculare/Bistorta officinalis-type","Thelypteris palustris","Cornus sanguinea","Fraxinus ornus","Caryophyllaceae","Plantago","Typha (tetrad)","Filipendula","Solanum","Convolvulus","Acer","Cladium","Myriophyllum alterniflorum","Ligustrum","Hippophaë","Rumex subg. Emex","Taxus","Ephedra fragilis","Thalictrum","Populus","Zea mays","Euphorbia","Myriophyllum verticillatum","Rhus","Cedrus","Polygonum sensu lato undiff.","Centaurea cyanus","Equisetum","Stellaria","Phillyrea","Knautia","Rhamnus","Succisa","Celtis","Pinus subg. Strobus","Lamium","Echium","Isoëtes","Ophioglossum","Humulus","Symphytum","Myrica","Sanguisorba officinalis","Riccia","Calligonum","Cathaya-type","Ilex","Polemonium","Ephedra distachya","Picea","Scleranthus","Menyanthes","Cannabaceae","Lythrum","Campanula","Plantago media","Phacelia","Silene","Tamarix","Daphne"
NA,NA,NA,37.13,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,4,5,6,7,7,8,9,9,9,17,23,3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.38,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,4,20,4,40,12,NA,NA,NA,NA,15,NA,6,39,4,NA,88,1,41982,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,5,6,22,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1.88,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,9,5,1,2,15,10,68,14,NA,NA,NA,NA,14,NA,9,38,5,NA,72,1,19245.55859375,1,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,NA,5,15,6,2,12,14,27,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6.63,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,6,9,6,3,19,3,21,23,2,NA,NA,NA,11,NA,7,47,6,NA,102,1,35986.34765625,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,3,NA,3,7,2,1,8,15,24,4,NA,2,NA,2,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,36.12,2,NA,2,2,NA,NA,2,2,NA,NA,NA,1,NA,7,NA,6,5,8,3,1,6,NA,4,10,12,9,6,6,10,16,21,2875,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,4,1,NA,1,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22.13,1,2,15,NA,2,2,2,NA,NA,NA,NA,NA,2,3,2,3,3,7,3,NA,NA,NA,1,2,NA,9,10,3,6,77,3,4072,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,5,NA,2,7,NA,2,1,1,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.88,1,5,NA,NA,NA,NA,NA,2,NA,NA,NA,11,1,6,NA,31,6,38,19,NA,NA,NA,NA,17,1,5,32,8,NA,53,NA,27355,2,NA,NA,NA,1,NA,NA,1,1,2,NA,2,2,4,10,8,7,16,12,20,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6.38,1,5,NA,NA,NA,NA,1,NA,1,NA,NA,4,1,4,6,24,13,31,22,NA,NA,NA,NA,14,NA,8,55,10,NA,102,NA,25462,3,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,1,1,3,7,3,6,18,11,2,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.38,2,2,2,1,NA,NA,NA,2,NA,NA,NA,2,8,8,4,23,5,24,20,NA,NA,5,NA,9,NA,2,40,7,NA,97,2,18387,1,NA,NA,1,NA,NA,1,NA,3,NA,NA,2,1,5,NA,1,7,4,11,20,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5.38,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,2,27,2,14,6,29,13,NA,NA,2,1,16,NA,4,27,9,NA,77,4,25747,7,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,1,2,9,6,2,3,11,9,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
