Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Sesbania sesban,Lannea-type,Maerua-type,Maytenus,Meliaceae undiff.,Mimosa pigra-type,Moltkiopsis ciliata,Morelia senegalensis,Aeschynomene afraspera-type,Alchornea,Balanites,Betula,Boscia-type angustifolia,Boscia-type salicifolia,Brachystegia,Cadaba-type,Calligonum polygonoides,Carissa edulis-type,Celtis,Combretum-type,Commiphora,Cordia africana-type,Corylus,Crateva adansonii,Dialium,Dichrostachys cinerea-type,Dodonaea viscosa-type,Ephedra distachya-type,Ephedra fragilis-type,Erica-type arborea,Faidherbia albida,Ficus,Flueggea virosa,Fraxinus,Guiera senegalensis,Juniperus-type,Myrica,Olea,Oleaceae undiff.,Picea,Piliostigma,Pinus,Pistacia,Podocarpus,Quercus,Quercus ilex-type,Rhus-type,Salix,Salvadora persica-type,Syzygium-type,Tamarindus-type indica,Tamarix,Ziziphus-type,Pavetta,Jasminum,Mimosaceae undiff.,Acacia,Capparis,Capparis fascicularis-type,Capparis tomentosa-type,Clematis-type,Grewia-type,Tapinanthus-type,Phyllanthus-type,Polygala-type,Psoralea,Resedaceae undiff.,Rumex,Scrophulariaceae undiff.,Triumfetta-type,Urticaceae undiff.,Veronica,Vigna-type,Vitaceae undiff.,Zygophyllum,Indigofera,Ipomoea-type,Lamiaceae undiff.,Limeum,Malvaceae undiff.,Monocotyledoneae undiff.,Abutilon,Aizoaceae undiff.,Amaranthaceae/Chenopodiaceae undiff.,Apiaceae undiff.,Asteraceae undiff.,Brassicaceae undiff.,Capparidaceae undiff.,Caryophyllaceae undiff.,Cassia-type,Cichorieae undiff.,Cissus,Euphorbiaceae undiff.,Euphorbia-type,Fabaceae undiff.,Fagonia,Gentianaceae undiff.,Geraniaceae undiff.,Hibiscus,type 6 (exine type Leucas),Undetermined,Artemisia,Cissampelos-type mucronata,Cocculus pendulus-type,Phyllanthus-type amarus,Phyllanthus-type fraternus,Phyllanthus-type maderaspatensis,Polycarpaea-type,Polycarpon-type,Psilotrichum-type,Solanum-type nigrum,Spermacoce-type,Spermacoce-type radiata,Tribulus,Vernonia perrottetii-type,Waltheria,Centaurea-type senegalensis,Leucas-type,Monocotyledonae undiff.,Lotus arabicus-type,Mitracarpus villosus,Aerva-type persica,Alysicarpus,Amaranthus-type,Ambrosia-type maritima,Anchusa-type,Arnebia hispidissima-type,Atractylis-type,Blepharis-type,Boerhavia-type,Celosia-type,Cerealia,Chrozophora brocchiana-type,Cistanche,Cleome-type,Cleome-type gynandra,Commelina-type benghalensis,Cornulaca-type,Cynoglossum-type,Eriosema-type,Euphorbia-type hirta,Helianthemum,Heliotropium,Hewittia-type scandens,Plantago ciliata-type,Plantago lanceolata-type,Poaceae undiff.,Ricinus communis,Rhynchosia-type,Luffa-type,Citrullus,Convolvulus-type,Cucumis dispaceus-type,Cucurbitaceae undiff.,Ludwigia-type,Polygonum senegalense-type,Ammannia-type,Cyperaceae undiff.,Typha,Hyphaene-type,Phoenix,Ophioglossum-type,Ceratopteris cornuta,Lycopodium,Monoletes undiff.,Pteris-type,Triletes undiff.,Indéterminables
-56.5,0.5,0,0,4,0,0,0,1,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,3,10,4,0,0,10,0,0,1,0,0,0,1,0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,13,1,4,11,0,2,1,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,11,0,0,0,0,1,0,1,1,66,0,0,0,0,0,0,0,0,0,0,113,5,1,18,0,0,0,0,0,0,0
-3,8.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,10,0,0,2,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,73,1,1,10,0,0,0,0,0,0,0
51.5,16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,48,1,0,8,0,0,0,0,0,0,0
105.5,24.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,0,0,0
160,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,1,0,0,1,1,92,0,0,0,0,0,0,0,0,0,0,60,5,0,10,0,0,0,0,0,0,0
214.5,40.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,0,0,26,3,0,21,0,0,0,1,0,0,0
269.5,48.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,55,2,1,0,0,0,0,0,0,0,0
325.5,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,9,2,0,0,2,1,0,0,1,0,0,0,1,0,0,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,4,78,0,0,0,0,0,0,0,0,0,0,55,1,3,15,0,0,0,0,0,1,0
436.5,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,66,2,0,9,0,0,0,0,0,1,0
492.5,80.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,25,0,0,0,0,0,0,2,1,342,0,0,0,0,0,0,0,0,0,0,56,2,2,21,0,0,0,0,0,0,0
