"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fagus","Cichorioideae","Apiaceae","Fabaceae","Mentha-type","Rumex/Oxyria","Abies","Artemisia","Quercus","Asteraceae","Brassicaceae","Sparganium","Quercus ilex-type","Fraxinus ornus","Quercus cerris-type","Poaceae (Cerealia)","Unknown","Lythrum","Quercus robur-type","Pteridium","Poaceae","Cyperaceae","Salix","Alnus","Amaranthaceae","Pteridophyta undiff.","Pinus","Corylus","Juglans","Rosaceae","Fallopia convolvulus","Ostrya/Carpinus orientalis","Caryophyllaceae","Rubiaceae","Spergularia-type","Castanea","Rhamnus/Frangula","Typha","Thalictrum","Vitis","Viburnum opulus","Plantago lanceolata-type","Fraxinus excelsior","Hedera helix","Juniperus","Dryopteris","Platanus","Pistacia","Myriophyllum spicatum","Cistus incanus-type","Varia","Ranunculaceae","Phillyrea","Ulmus","Erica","Carpinus betulus","Centaurea jacea","Centaurea scabiosa","Potamogeton","Humulus","Teucrium","Geranium","Helianthemum","Poterium sanguisorba","Buxus sempervirens","Calicotome villosa","Tilia","Rumex acetosella","Ericaceae","Picea","Acer","Ilex aquifolium","Ephedra","Olea","Cistus creticus","Cornus","Periploca","Paliurus spina-christi","Urtica","Cotinus coggygria","Potentilla","Epilobium","Scabiosa","Gypsophila","Osyris alba","Centaurea cyanus","Ononis-type","Vaccinium-type","Trifolium","Vitex agnus-castus","Arbutus","Betula","Campanulaceae","Cercis siliquastrum","Myosotis","Asphodelus","Lonicera"
-19,NA,NA,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,12,15,15,35,63,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,10,NA,3,1,NA,NA,NA,2,2,1,7,3,NA,3,1,NA,NA,4,3,5,9,7,9,4,20,27,47,67,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,20,NA,4,NA,1,NA,NA,2,2,1,4,NA,1,4,NA,NA,NA,2,1,5,5,3,3,4,22,14,54,65,1,NA,2,1,1,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,30,1,NA,1,1,NA,NA,3,4,NA,1,3,5,5,5,1,2,3,4,4,2,6,4,21,23,11,36,50,1,2,2,NA,2,NA,2,1,NA,NA,4,1,1,1,2,2,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,40,7,5,NA,1,2,8,8,4,3,5,9,23,15,6,2,1,4,14,12,4,17,26,54,79,18,103,71,3,4,11,3,8,NA,6,1,1,6,2,NA,1,NA,5,7,NA,3,19,1,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,50,3,NA,NA,3,NA,2,4,4,NA,2,7,15,7,9,2,4,2,7,13,5,21,13,19,220,7,115,53,3,2,4,1,10,NA,NA,2,NA,9,NA,NA,3,NA,6,1,NA,6,77,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,NA,NA,60,7,1,3,6,NA,7,3,6,4,3,4,12,12,5,1,1,4,4,10,7,37,16,40,145,9,90,61,5,3,5,2,7,1,1,NA,4,7,11,1,4,NA,6,4,NA,7,17,2,NA,1,NA,NA,NA,1,3,NA,1,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,NA,70,3,1,2,3,NA,1,3,3,1,1,4,7,4,3,1,2,1,4,4,4,16,18,25,170,6,128,45,5,5,6,NA,5,NA,NA,NA,2,29,6,NA,4,NA,3,NA,2,10,83,NA,1,1,2,1,NA,NA,2,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,NA,80,2,3,NA,NA,NA,2,NA,6,NA,5,5,7,10,6,2,NA,1,6,7,3,17,12,28,186,6,63,27,7,3,1,1,2,1,1,1,1,3,1,NA,1,NA,5,2,2,2,15,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,NA,NA,90,2,1,NA,NA,1,3,2,7,NA,6,5,5,6,4,NA,NA,NA,3,6,8,10,15,32,255,2,60,34,3,NA,7,NA,7,NA,2,NA,NA,NA,NA,NA,1,NA,2,4,1,1,24,NA,1,NA,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
