Age cal.BP,Depth (cm),Abies,Acer,Arbutus,Betula,Carpinus/Ostrya,Cedrus,Cistus,Corylus,Cupressaceae,Ephedra distachya-type,Erica-type,Eucalyptus,Hedera,Ilex,Juglans,Myrtus,Nerium,Olea,Phillyrea,Pinus,Pinus-fgt,Pistacia,Quercus ilex/coccifera,Quercus canariensis-type,Quercus suber,Tamarix,Thymeleaceae,Ulmus,Viscum,Amaranthaceae,Artemisia,Asphodelus,Asteroideae,Campanulaceae,Cannabis/Humulus,Carduus-type,Cichorioideae,Convolvulus,Crassulaceae,Digitalis-type,Echium-type,Euphrasia-type,Fabaceae,Gentianaceae,Geraniaceae,Helianthemum-type,Hypericum,Narcissus-type,Plantago lanceolata-type,Plantago major-media,Rosaceae,Rumex,Scilla-type,Secale,Teucrium-type,Trifolium,Urticaceae,Valerianaceae,Xanthium-type,Alnus,Calluna,Frangula,Fraxinus,Genista-type,Prunus-type,Salix,Vitis,Poaceae,Alisma-type,Anagallis tenella-type,Apiaceae,Brassicaceae,Callitriche,Centaurium-type,Cicendia/Exaculum,Cyperaceae,Elatine,Glyceria-type,Gratiola-type,Illecebrum/Paronychia,Juncaceae,Lotus-type,Lythrum borysthenicum-type,Lythrum junceum/salicaria,Mentha-type,Myriophyllum alterniflorum,Myriophyllum spicatum,Nymphaea,Persicaria,Potamogeton,Potentilla,Ranunculus-type,Rubiaceae,Silene-type,Adiantum,Isoetes,Osmunda,Polypodium,Selaginella,Monolete spores,Trilete spores,Sphagnum,Unidentified,Pollen sum,Taxonomic richness,Sample volume (ml),Culot volume (ml),Drop volume (ml),Counted lines,Total number of lines,Concentration (grains/cm3)
0,0,1,,3,,,4,14,,,,11,,,1,,,,3,1,15,2,5,6,183,69,,,,,1,,,8,1,4,2,4,,,,,,,,,,,,6,,,7,,,,,,,,71,4,2,,4,1,,1,20,3,,4,1,1,,1,2,,50,,1,,,1,,,4,1,,,,,1,2,2,,,1,,,1,,3,14,542,45,2.0,2.0,0.025,7,45,"139,371"
88,8,1,1,5,,,1,13,,1,,20,1,,4,,,,,1,15,,,5,235,17,,,,,,1,,6,,2,,3,1,,1,1,,,,,4,,,6,,,3,,,1,,,,,78,1,2,,,,,,10,5,,2,3,,,1,,,42,1,,,,,1,1,,2,,1,,1,6,,,,,,,,1,,6,4,510,7,1.0,1.5,0.025,5,45,"275,400"
177,16,2,,2,,,2,9,,1,,24,,,2,,,,10,1,16,2,,4,175,32,1,,,,,,,7,,8,,4,,,,,,1,,,,,,8,,,4,,,,,,,,85,4,4,,1,3,,1,13,3,,1,1,8,1,1,8,,59,,,3,,,,,1,1,,,3,2,6,,1,,1,,,,1,,8,9,534,9,1.1,1.5,0.025,7,45,"187,247"
354,32,,1,2,,,1,14,,1,,12,,,8,,,,3,3,,,1,6,264,39,2,1,,,4,1,,5,,,,2,,1,,,,1,,,,,,9,,,6,,,,,,,,154,2,8,1,1,1,2,,38,2,1,9,4,9,1,1,3,,82,3,,,,,,,2,,,,,,3,1,1,,2,,,,4,,1,10,726,6,1.5,2,0.025,5,45,"348,480"
531,48,,,5,,,5,11,,,,6,,1,3,,,,1,,,,1,7,250,38,,2,,,,2,,4,,1,,5,,,,,,,,,,,,7,,,3,,,,,,,1,136,,6,,3,2,6,,29,4,,5,1,7,1,,4,,36,4,1,1,,,,,,,,,,2,4,,,,,2,,,1,,9,14,619,5,1.7,3,0.025,4,45,"491,559"
707,64,,,2,,,4,13,,,,7,,,4,,,,1,3,,,2,4,173,45,,,1,,,,1,5,,1,3,5,,,,1,,1,,,,3,,1,,,,,,,,,,1,640,3,3,,2,1,23,,26,2,,6,3,1,,1,,,28,2,,2,,,,1,,,,,,1,3,,1,,,8,,,1,,6,5,1035,7,2.3,3,0.025,4,45,"607,500"
884,80,1,2,3,,,5,15,,,,5,,1,11,1,,,6,,,,1,2,359,47,,,,,1,2,,6,,2,,4,,,,,,,,,1,,1,,,,2,,,,,,,,761,1,9,,3,1,65,,43,,,11,1,,,,6,,23,1,,1,,,,,,,,,,,3,,,,,1,,,4,1,10,14,1421,5,2.2,3,0.025,10,45,"348,791"
1062,96,,,,,,2,7,,,,2,,,,,,,,,,,4,4,202,39,1,,,,,,,3,,,,1,,,,1,2,,,,,3,,1,1,,4,,,,,1,,1,80,,9,,1,2,18,,20,,,5,1,31,,,5,,52,3,,7,,,,,,,,,,2,5,,,,,1,,,5,,3,15,535,5,1.8,3,0.025,6,45,"267,500"
1262,112,,3,3,,,16,10,,,,3,,,6,,,,,,,,,1,368,41,,,,,2,,2,7,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,108,,5,1,,3,35,,37,,,9,1,,,,3,,90,,,,,,,,,3,,,3,1,3,,1,,,1,,,3,,,6,774,6,1.5,3,0.025,6,45,"464,400"
1462,128,,,2,,,21,5,,,,1,,3,1,1,2,,,,1,,1,3,294,38,,1,,,1,,,5,,,,1,,,,1,,,,,,1,,3,,,1,,,,,,,,56,1,5,,4,1,44,1,34,,,4,1,3,,1,2,,16,2,2,1,1,,,1,,,,,2,1,8,,,,,,,,5,,7,23,601,7,1.0,2.5,0.025,10,45,"270,450"
