Depth (cm),Betula,Corylus,Alnus,Mercurialis,Quercus,Vitis,Abietaceae (Pinus),Artemisia,Cupressaceae,Calligonum,Echium,Ephedra,Compositae Liguliflorae,Fagonia,Moltkia ciliata,Plantago,Zygophyllum,Chenopodiaceae,Cruciferea,Umbelliferae,Urticaceae,Gramineae,Cyperaceae,Typha,Hygrophila-type,Polygonum plebeium,Pteridophytes,Acacia sp.,Acacia cf. nilotica,Balanites aegyptiaca,Blepharis,Boscia,Capparis cf. corymbosa,Cleome sp.,Cleome cf. africana,Commiphora,Compositae Tubuliflorae,Euphorbia,Gynandropsis gynandra,Heliotropium,Indigofera,Maerua,Mitracarpus scaber,Monechma,Phyllanthus rotundifolius,Phyllanthus maderaspatensis,Phoenix,Salix,Salvadora persica,Trianthema,Tribulus,Trichodesma,Zizyphus,Loranthaceae,Nyctaginaceae,Papilionaceae,Acalypha,Ambrosia,Borreria,Cassia,Celtis cf. philippensis,Khaya senegalensis,Lannea,Oldenlandia,Polycarpea,Securigena virosa,Sterculia cf. tragacantha,Xeromphis,Combretaceae,Sapotaceae,Alchornea cordifolia,Bridelia cf. ferruginea,Drypetes,Elaeis guineensis,Eugenia,Macaranga,Sizygium,Tetracera,Uapaca,Rhizophora,Indeterminable: crumpled,Pollen indeterminata,Spores
5,0,0,0,0,1,0,0,1,1,2,0,0,4,0,3,0,0,93,6,0,0,298,141,2,0,0,1,9,3,0,0,0,0,1,2,1,13,0,3,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,1,16,0,8,0,0,0,0,0,0,0,0,38,11,6,152
30,0,1,0,0,0,1,1,2,0,1,0,1,1,2,2,2,0,137,5,0,1,631,229,9,2,0,6,12,3,2,0,0,1,1,0,0,23,2,0,1,2,13,13,0,0,1,3,0,1,0,0,0,1,0,0,11,0,0,2,0,0,1,6,0,7,0,2,0,37,1,40,0,0,0,0,0,2,0,3,124,22,17,302
50,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,22,4,0,0,203,79,5,0,0,6,6,0,0,0,1,0,0,0,0,3,0,0,0,0,1,4,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,0,1,0,1,0,0,0,13,0,5,1,0,1,0,0,1,0,1,53,8,5,103
70,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,2,0,0,152,75,10,0,0,3,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,3,2,0,1,0,0,17,2,10,0,4,0,0,0,2,0,0,72,16,13,63
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,145,68,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,3,0,2,0,8,0,16,0,0,0,0,0,0,0,0,102,10,6,71
145,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,0,29,2,1,0,273,72,10,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,0,0,1,0,14,0,1,2,1,0,0,0,6,0,21,0,9,2,0,0,1,0,1,323,24,12,126
195,0,0,0,0,0,0,0,6,0,2,0,12,0,2,3,0,0,82,7,0,0,272,215,4,0,0,1,2,0,0,0,1,0,0,0,0,5,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,3,3,0,0,0,0,10,0,2,0,0,0,0,3,2,0,0,33,11,5,62
245,0,0,0,0,0,0,2,2,2,2,0,12,1,2,1,0,0,259,9,0,0,290,130,2,0,0,2,1,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,2,1,5,0,0,0,5,0,2,0,0,2,0,0,1,0,0,4,7,4,164
295,0,0,0,0,0,0,1,7,1,1,0,9,4,1,0,0,0,898,23,1,0,516,334,0,0,0,2,5,0,0,4,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,13,9,317
345,0,0,0,0,0,0,1,14,0,1,0,8,16,2,1,0,1,925,31,1,0,632,632,1,0,0,0,6,0,1,4,1,0,0,0,0,19,1,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,1,3,0,0,0,0,0,0,1,0,8,0,0,0,3,0,3,0,0,1,0,0,0,0,0,5,17,15,263
