"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Corylus","Ulmus","Alnus","Asteroideae","Brassicaceae","Olea","Cistus","Unknown (trilete)","Spike","Lamiaceae (hexacolpate)","Amaranthaceae","Plantago","Apium","Cichorioideae","Ericaceae","Quercus robur-type","Unknown (monolete)","Lycopodium","Typha","Quercus ilex-type","Poaceae","Cyperaceae","Zygnema/Spirogyra","Pinus","Betula","Cupressaceae","Artemisia","Hypericum","Nuphar","Ranunculaceae","Centaurea","Phillyrea","Helianthemum","Epilobium","Salix","Polygonaceae","Lamiaceae (tricolpate)","Pistacia","Boraginaceae","Apiaceae","Fraxinus","Dipsacoideae","Sparganium","Cistus salviifolius","Thalictrum","Myrtus","Urticaceae","Lysimachia","Rubiaceae","Verbenaceae","Lotus","Lathyrus","Ephedra fragilis","Rumex","Euphorbiaceae","Malvaceae","Fabaceae","Ephedra distachya","Hydrocharis","Geraniaceae","Rosaceae"
3173,3824,2527,32,"1","1","1","1","1","1","1","1","1","1, 12100","3","4","4","4","5","10","10","11","21","34","43","44","45","94","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3336,3949,2730,37,"","","","","3","1","","","2","1, 12100","","4","7","1","4","9","5","","40","35","25","27","62","156","102","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3500,4073,2933,42,"","","","","4","","","2","","1, 12100","2","5","1","","4","12","4","1","37","34","59","41","73","137","95","","","3","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3696,4222,3177,48,"","","","","8","1","4","3","","1, 12100","","5","","1","6","16","10","10","70","16","95","57","89","188","71","1","1","6","","3","","","4","4","1","1","1","2","4","","","","","","","","","","","","","","","","","","","","","","",""
3827,4320,3337,52,"1","","","6","3","1","8","3","","1, 12100","5","1","6","1","5","7","16","10","53","28","114","61","106","187","91","1","3","10","","","","","3","4","","","1","","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","",""
3990,4444,3539,57,"","2","3","1","3","","7","2","","1, 12100","1","5","4","5","3","15","10","","49","","98","28","63","171","115","1","1","9","","","","2","6","5","","3","","1","2","1","","3","2","","","1","1","2","6","","","","","","","","","","","","",""
4088,4518,3659,60,"5","3","","","1","","7","","2","1, 12100","2","4","17","14","","10","7","3","34","2","119","65","103","150","117","1","1","8","","","2","4","","3","","","","","2","","1","","1","","","2","1","1","","1","1","1","","","","","","","","","",""
4251,4641,3859,65,"1","2","","2","5","","3","1","2","1, 12100","1","3","7","16","7","8","3","3","45","4","77","27","29","146","121","1","","5","","","2","2","1","4","","2","","","2","","","","","","","","","","","","","","","","","","","","","","",""
4415,4766,4060,70,"2","","","3","1","1","","2","","1, 12100","","1","4","2","3","3","3","1","31","","33","26","21","175","144","1","1","14","","","","","","3","","1","1","","","","2","","","","","","","","","3","","","2","","","","","","","","",""
4578,4892,4260,75,"","4","","1","6","","","","","1, 12100","1","2","5","","2","1","2","","92","4","34","34","17","184","138","4","","9","","","3","","2","","","","","","","","","","2","","","1","","","","","","","","2","3","","","","","","",""
4742,5022,4462,80,"","","","","","","","1","","1, 12100","2","","","","34","","1","","144","1","2","12","12","72","96","2","2","3","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","",""
