Sample Age (cal yr BP) [cal yr BP],Depth (cm) [cm],Gramineae,Lannea,Khaya,Adansonia digitata,Tribulus,Acacia,Combretaceae,Compositae,Borreria,Hygrophylla,Amaranthaceae/Chenopodiaceae,Caryophyllaceae,Acanthaceae,Labiatae,Abutilon,Malvaceae cf. Gossypium
,20,65,0,0,0,29,0,2,0,2,0,0,0,0,0,0,2
,40,93,0,0,0,65,0,0,0,5,0,0,0,0,12,0,5
736,60,53,3,0,0,3,0,3,20,6,64,18,0,76,4,0,4
,80,15,5,0,0,0,0,0,0,0,0,0,4,0,4,4,0
,100,40,2,0,0,2,2,0,2,0,0,0,0,0,2,0,0
,120,64,5,0,0,5,0,0,0,0,0,0,0,0,5,5,10
,140,144,1,0,0,5,3,0,0,0,0,0,5,0,0,5,0
,160,121,0,0,0,10,1,1,0,7,0,1,0,0,5,1,1
,180,67,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
,200,168,5,0,0,10,5,0,0,0,0,5,0,5,5,0,0
,220,68,0,0,0,18,0,0,0,5,0,0,0,0,6,1,0
,240,182,5,0,8,20,7,0,0,0,0,7,0,0,4,8,0
,260,153,6,0,0,5,0,0,5,0,0,0,0,0,6,0,0
,280,26,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0
,300,42,2,0,0,2,2,0,8,0,0,2,2,0,0,0,0
,320,28,8,1,0,0,0,0,9,0,0,0,0,0,1,0,0
