Sample Age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe I,Acacia groupe III,Aerva javanica-type,Alchornea,Allophylus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia,Anacardiaceae,Anthostema,Artemisia,Ascolepis,Balanites,Basilicum-type,Blighia,Bridelia,Caperonia senegalensis,Capparidaceae,Capparis tomentosa,Cassia-type,Casuarina equisetifolia,Ceiba,Celastraceae,Celtis,Centaurea perrottetii,Ceratopteris cornuta,Chrysobalanus/Parinari,Cissampelos,Cissus-type,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis-type,Commelina forskalaei-type,Commiphora,Cucurbitaceae,Cynometra-type,Cyperaceae,Detarium,Dichrostachys,Diospyros,Dodonaea,Echium,Elaeis guineensis,Eriocaulon-type,Erythrococca,Euphorbia,Euphorbia hirta-type,Euphorbiaceae,Ficus,Gardenia imperialis,Gomphrena,Gramineae,Guttiferae,Gynandropsis gynandra,Haematostaphis barteri,Harungana,Indeterminables,Indetermines,Ipomaea-type,Jussiaea-type,Kohautia,Lannea/Sclerocarya,Laurembergia,Leucas-type,Liguliflorae,Lophira,Lotus arabicus-type,Lycopodiaceae,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Maytenus,Mitracarpus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Myrtaceae,Nymphaea lotus-type,Ocimum-type,Papilionoideae,Phoenix,Phyllanthus,Phyllanthus amarus-type,Phyllanthus reticularus-type,Polycarpaea,Polycarpon,Polygala,Polygonum senegalense,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rutaceae,Salix,Salvinia,Sapindaceae,Sapium,Sapotaceae,Securinega,Spermacoce radiata-type,Spermacoce-type,Spores indeterminees,Stereospermum,Syzygium,Tamarix,Tetracera,Tiliaceae,Treculia,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia perrottetii-type,Vernonieae,Ximenia,Zanthoxylum zanthoxyloides
193.1861,3,,,1,5,,,,1,,,,,,,,1,,,,,3,,,1,,,,,,,,4,2,,,,,81,,1,,,,,,,3,,,1,,,212,,,,,22,7,,,,1,2,,,,,,10,3,,,2,1,,2,65,,9,,,3,,,,,,,1,,,4,,2,,,,,,,,6,,11,,27,,,1,,2,,,2,142,1,,,,,,4
439.9302,8,1,,,3,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,1,,2,,,246,,,,,,2,,,,2,,,,,402,,,,,7,2,,1,,,,1,,,,3,12,4,,,11,,,,80,,29,,,7,,2,,,,,,,,2,,,,,,,3,,1,10,,5,,10,1,,,,,1,,2,299,,,,,,,2
982.7675,19,,,,16,,,5,3,,,,,1,,,,,,,,1,,,,,1,,,,4,,5,3,3,,,,317,1,,,,,1,,,1,,,,,,417,,,,,19,3,,2,3,1,2,1,,,,,5,1,1,,2,,,,128,,32,,1,14,,,,,,,3,,,,,,,,,,,,,5,,24,,21,,,,,3,3,,,417,2,,,,,,4
1426.907,28,1,,,23,,,2,2,,3,,,,,,,,,,2,,,,,,,,,,,1,5,5,,,1,,509,,,,,,1,,,,,,1,,,504,,,,,10,7,1,,3,,3,,1,,,4,7,2,,,8,,,,108,,38,,,6,,,,1,,,,,,1,,1,,,,,1,,,2,,9,,25,1,2,,,,,,4,276,,,,3,,,1
1969.744,39,,,,11,,,2,,,1,,,,1,,,,,,,,,,,,,,,,1,1,5,,,,,,192,,,,,,1,,,1,,1,1,,1,265,,,,,20,7,,,,,,1,,,,,5,1,,4,3,,,,89,,30,,,2,,,1,,,,,,,1,,,,,2,,,,,,,8,,17,,,,2,2,,,3,277,,1,,,,,1
2216.488,44,,,,12,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,265,1,,,,,1,,1,,,,,,,267,,,,,7,10,,,,3,12,,,,,,3,4,,,2,2,1,,69,,18,,,2,,,,,,,,,,,,,,,,,1,,,1,1,,,134,,1,,1,,,,1,69,,,,,,1,1
2611.279,52,,,,12,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,202,1,,,,,,,,1,,,,,,239,,,,,15,6,,,1,,10,,,,,,3,5,,,1,1,,,37,,5,,,4,,,,,,,2,,,13,,,,,,,,,,,,2,1,46,5,2,,,,,,1,21,,,1,,,,3
3055.419,61,,,,12,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,584,2,1,,,,,,,,,,1,,,411,,,,,6,20,,,,,30,,,,,,1,9,,,2,3,,,101,,,,,15,,,,2,,,,,,1,,1,,,,,,,,1,,1,,303,6,,,,1,,,,13,,,,,,,3
3450.209,69,,,,32,,,1,5,,2,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,262,1,,,,,,,2,,,,2,,,123,,,,,14,48,1,,,6,2,2,,,,,7,7,,,1,1,,,34,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1199,,,,2,,,1,1,6,,,,,,,8
3936.382,80,,,,46,1,,,1,,13,,,,,,,,,,,,,,1,,,,,,1,1,2,1,,,,,358,3,,,,,18,9,,1,,,,,,138,1,,,,12,9,,,1,8,14,,,2,,,9,14,,,18,,,5,97,,7,1,,12,,,,,,,1,,,7,,,,,2,1,,1,,6,,9,,237,,5,,5,301,,1,4,8,6,,1,,,,13
